M,m,k_star,s_min,analytic_s_min,s_min_abs_error,F_min_tau0_3,plane_concave_L_over_R,P_noise_at_boundary,ER_sum_dB_at_boundary,eta_sort_at_boundary
3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,9.0,0.7499999999999999,0.07806082051233543,11.075668880777421,0.9275914502901256
4,1,0.25,0.25,0.25,0.0,12.0,0.5000000000000001,0.0831140294082382,10.803256623732684,0.9232638234280395
5,1,0.2,0.19999999999999996,0.2,5.551115123125783e-17,15.0,0.3454915028125263,0.08548637179875129,10.681031147963896,0.9212460201991367
5,2,0.4,0.19999999999999984,0.2,1.6653345369377348e-16,15.0,0.9045084971874736,0.08548637179875129,10.681031147963896,0.9212460201991367
6,1,0.16666666666666666,0.16666666666666663,0.16666666666666666,2.7755575615628914e-17,18.0,0.24999999999999994,0.08678408506568047,10.615599107898072,0.9201459735579072
7,1,0.14285714285714285,0.1428571428571428,0.14285714285714285,5.551115123125783e-17,21.0,0.18825509907063323,0.08756966791123211,10.576462972558138,0.9194813256612637
7,2,0.2857142857142857,0.14285714285714268,0.14285714285714285,1.6653345369377348e-16,21.0,0.6112604669781572,0.08756966791123211,10.576462972558138,0.9194813256612637
7,3,0.42857142857142855,0.14285714285714263,0.14285714285714285,2.220446049250313e-16,21.0,0.9504844339512096,0.08756966791123211,10.576462972558138,0.9194813256612637
8,1,0.125,0.125,0.125,0.0,24.0,0.14644660940672624,0.08808079742829356,10.55118762188667,0.9190493962980739
8,3,0.375,0.125,0.125,0.0,24.0,0.8535533905932737,0.08808079742829356,10.55118762188667,0.9190493962980739
9,1,0.1111111111111111,0.11111111111111105,0.1111111111111111,5.551115123125783e-17,27.0,0.11697777844051097,0.08843179944424207,10.533915377039246,0.9187530174243387
9,2,0.2222222222222222,0.11111111111111094,0.1111111111111111,1.6653345369377348e-16,27.0,0.41317591116653474,0.08843179944424207,10.533915377039246,0.9187530174243387
9,4,0.4444444444444444,0.11111111111111072,0.1111111111111111,3.885780586188048e-16,27.0,0.9698463103929541,0.08843179944424207,10.533915377039246,0.9187530174243387
10,1,0.1,0.09999999999999998,0.1,2.7755575615628914e-17,30.0,0.09549150281252627,0.08868315590072173,10.521588603716957,0.9185408946394971
10,3,0.3,0.09999999999999976,0.1,2.498001805406602e-16,30.0,0.6545084971874737,0.08868315590072173,10.521588603716957,0.9185408946394971
11,1,0.09090909090909091,0.09090909090909083,0.09090909090909091,8.326672684688674e-17,33.0,0.0793732335844094,0.08886928545973216,10.512483116978599,0.9183838807408269
11,2,0.18181818181818182,0.09090909090909083,0.09090909090909091,8.326672684688674e-17,33.0,0.2922924934990568,0.08886928545973216,10.512483116978599,0.9183838807408269
11,3,0.2727272727272727,0.0909090909090906,0.09090909090909091,3.0531133177191805e-16,33.0,0.5711574191366425,0.08886928545973216,10.512483116978599,0.9183838807408269
11,4,0.36363636363636365,0.0909090909090906,0.09090909090909091,3.0531133177191805e-16,33.0,0.8274303669726425,0.08886928545973216,10.512483116978599,0.9183838807408269
11,5,0.45454545454545453,0.09090909090909044,0.09090909090909091,4.718447854656915e-16,33.0,0.9797464868072486,0.08886928545973216,10.512483116978599,0.9183838807408269
12,1,0.08333333333333333,0.08333333333333326,0.08333333333333333,6.938893903907228e-17,36.0,0.06698729810778066,0.08901094017364919,10.505566117253036,0.9182644205948419
12,5,0.4166666666666667,0.08333333333333282,0.08333333333333333,5.134781488891349e-16,36.0,0.9330127018922194,0.08901094017364919,10.505566117253036,0.9182644205948419
13,1,0.07692307692307693,0.07692307692307687,0.07692307692307693,5.551115123125783e-17,39.0,0.05727198717339505,0.08912123346148948,10.500188113780272,0.9181714296596342
13,2,0.15384615384615385,0.07692307692307676,0.07692307692307693,1.6653345369377348e-16,39.0,0.21596762663442212,0.08912123346148948,10.500188113780272,0.9181714296596342
13,3,0.23076923076923078,0.07692307692307665,0.07692307692307693,2.7755575615628914e-16,39.0,0.4397316598723385,0.08912123346148948,10.500188113780272,0.9181714296596342
13,4,0.3076923076923077,0.07692307692307665,0.07692307692307693,2.7755575615628914e-16,39.0,0.6773024435212679,0.08912123346148948,10.500188113780272,0.9181714296596342
13,5,0.38461538461538464,0.07692307692307665,0.07692307692307693,2.7755575615628914e-16,39.0,0.8742553740855505,0.08912123346148948,10.500188113780272,0.9181714296596342
13,6,0.46153846153846156,0.07692307692307665,0.07692307692307693,2.7755575615628914e-16,39.0,0.985470908713026,0.08912123346148948,10.500188113780272,0.9181714296596342
14,1,0.07142857142857142,0.0714285714285714,0.07142857142857142,2.7755575615628914e-17,42.0,0.049515566048790434,0.08920878059877269,10.495923969925027,0.9180976299605923
14,3,0.21428571428571427,0.07142857142857117,0.07142857142857142,2.498001805406602e-16,42.0,0.3887395330218427,0.08920878059877269,10.495923969925027,0.9180976299605923
14,5,0.35714285714285715,0.07142857142857106,0.07142857142857142,3.608224830031759e-16,42.0,0.8117449009293668,0.08920878059877269,10.495923969925027,0.9180976299605923
15,1,0.06666666666666667,0.06666666666666665,0.06666666666666667,1.3877787807814457e-17,45.0,0.043227271178699546,0.089279430318852,10.49248589577737,0.9180380829437693
15,2,0.13333333333333333,0.06666666666666654,0.06666666666666667,1.249000902703301e-16,45.0,0.16543469682057085,0.089279430318852,10.49248589577737,0.9180380829437693
15,4,0.26666666666666666,0.06666666666666643,0.06666666666666667,2.3592239273284576e-16,45.0,0.5522642316338265,0.089279430318852,10.49248589577737,0.9180380829437693
15,7,0.4666666666666667,0.06666666666666643,0.06666666666666667,2.3592239273284576e-16,45.0,0.9890738003669027,0.089279430318852,10.49248589577737,0.9180380829437693
16,1,0.0625,0.0625,0.0625,0.0,48.0,0.03806023374435662,0.08933726600386604,10.489673424126778,0.9179893419678998
16,3,0.1875,0.0625,0.0625,0.0,48.0,0.3086582838174551,0.08933726600386604,10.489673424126778,0.9179893419678998
16,5,0.3125,0.0625,0.0625,0.0,48.0,0.6913417161825449,0.08933726600386604,10.489673424126778,0.9179893419678998
16,7,0.4375,0.0625,0.0625,0.0,48.0,0.9619397662556434,0.08933726600386604,10.489673424126778,0.9179893419678998
17,1,0.058823529411764705,0.05882352941176461,0.058823529411764705,9.71445146547012e-17,51.0,0.0337638852978221,0.08938520840331199,10.48734342952514,0.9179489424734141
17,2,0.11764705882352941,0.05882352941176461,0.058823529411764705,9.71445146547012e-17,51.0,0.13049554138967043,0.08938520840331199,10.48734342952514,0.9179489424734141
17,3,0.17647058823529413,0.058823529411764386,0.058823529411764705,3.191891195797325e-16,51.0,0.2771308221117308,0.08938520840331199,10.48734342952514,0.9179489424734141
17,4,0.23529411764705882,0.0588235294117645,0.058823529411764705,2.0816681711721685e-16,51.0,0.453865820268349,0.08938520840331199,10.48734342952514,0.9179489424734141
17,5,0.29411764705882354,0.058823529411764275,0.058823529411764705,4.3021142204224816e-16,51.0,0.6368314950360414,0.08938520840331199,10.48734342952514,0.9179489424734141
17,6,0.35294117647058826,0.058823529411764,0.058823529411764705,7.077671781985373e-16,51.0,0.8013173181896283,0.08938520840331199,10.48734342952514,0.9179489424734141
17,7,0.4117647058823529,0.0588235294117645,0.058823529411764705,2.0816681711721685e-16,51.0,0.925108567864807,0.08938520840331199,10.48734342952514,0.9179489424734141
17,8,0.47058823529411764,0.0588235294117645,0.058823529411764705,2.0816681711721685e-16,51.0,0.9914865498419507,0.08938520840331199,10.48734342952514,0.9179489424734141
18,1,0.05555555555555555,0.05555555555555547,0.05555555555555555,8.326672684688674e-17,54.0,0.030153689607045803,0.0894253913026708,10.485391508131123,0.9179150843953241
18,5,0.2777777777777778,0.05555555555555536,0.05555555555555555,1.942890293094024e-16,54.0,0.5868240888334652,0.0894253913026708,10.485391508131123,0.9179150843953241
18,7,0.3888888888888889,0.05555555555555525,0.05555555555555555,3.0531133177191805e-16,54.0,0.8830222215594888,0.0894253913026708,10.485391508131123,0.9179150843953241
19,1,0.05263157894736842,0.05263157894736836,0.05263157894736842,5.551115123125783e-17,57.0,0.02709137914968266,0.08945940286480192,10.483740050386913,0.9178864282326052
