case,branch,target_k_eff,length,R1,R2,recovered_k_eff,abs_error,geometry_parameter,sensitivity
plane_concave,single,0.08333333333333333,0.06698729810778066,inf,1.0,0.08333333333333331,1.3877787807814457e-17,L/R=0.066987298108,0.6366197723675815
symmetric_double_concave,near_planar,0.08333333333333333,0.03407417371093169,1.0,1.0,0.08333333333333331,1.3877787807814457e-17,L/R=0.034074173711,1.2298549593122299
symmetric_double_concave,near_concentric,0.08333333333333333,1.9659258262890682,1.0,1.0,0.08333333333333344,1.1102230246251565e-16,L/R=1.965925826289,1.2298549593122279
asymmetric_two_mirror,short_root,0.08333333333333333,1.2258060385279421,30.0,45.0,0.08333333333333344,1.1102230246251565e-16,"L=1.225806038528, R1=30.0, R2=45.0",0.034211657905275424
asymmetric_two_mirror,long_root,0.08333333333333333,73.77419396147206,30.0,45.0,0.08333333333333316,1.6653345369377348e-16,"L=73.774193961472, R1=30.0, R2=45.0",0.03421165791944814
plane_concave,single,0.1111111111111111,0.11697777844051097,inf,1.0,0.11111111111111108,2.7755575615628914e-17,L/R=0.116977778441,0.49520227426134916
symmetric_double_concave,near_planar,0.1111111111111111,0.06030737921409157,1.0,1.0,0.11111111111111108,2.7755575615628914e-17,L/R=0.060307379214,0.9306758458395792
symmetric_double_concave,near_concentric,0.1111111111111111,1.9396926207859084,1.0,1.0,0.11111111111111108,2.7755575615628914e-17,L/R=1.939692620786,0.9306758458395792
asymmetric_two_mirror,short_root,0.1111111111111111,2.168286213299666,30.0,45.0,0.11111111111111097,1.3877787807814457e-16,"L=2.168286213300, R1=30.0, R2=45.0",0.025920511136630728
asymmetric_two_mirror,long_root,0.1111111111111111,72.83171378670033,30.0,45.0,0.11111111111111086,2.498001805406602e-16,"L=72.831713786700, R1=30.0, R2=45.0",0.025920511108552327
plane_concave,single,0.2222222222222222,0.41317591116653474,inf,1.0,0.22222222222222218,2.7755575615628914e-17,L/R=0.413175911167,0.3232203292573437
symmetric_double_concave,near_planar,0.2222222222222222,0.233955556881022,1.0,1.0,0.22222222222222227,5.551115123125783e-17,L/R=0.233955556881,0.49520227426134905
symmetric_double_concave,near_concentric,0.2222222222222222,1.766044443118978,1.0,1.0,0.2222222222222223,8.326672684688674e-17,L/R=1.766044443119,0.49520227426134905
asymmetric_two_mirror,short_root,0.2222222222222222,8.371620025734728,30.0,45.0,0.22222222222222218,2.7755575615628914e-17,"L=8.371620025735, R1=30.0, R2=45.0",0.01394797714482623
asymmetric_two_mirror,long_root,0.2222222222222222,66.62837997426527,30.0,45.0,0.22222222222222218,2.7755575615628914e-17,"L=66.628379974265, R1=30.0, R2=45.0",0.013947977127969451
plane_concave,single,0.2413793103448276,0.4729305457072911,inf,1.0,0.24137931034482754,5.551115123125783e-17,L/R=0.472930545707,0.31877740070423827
symmetric_double_concave,near_planar,0.2413793103448276,0.27400450807686916,1.0,1.0,0.24137931034482762,2.7755575615628914e-17,L/R=0.274004508077,0.46286191167650087
symmetric_double_concave,near_concentric,0.2413793103448276,1.7259954919231308,1.0,1.0,0.24137931034482762,2.7755575615628914e-17,L/R=1.725995491923,0.46286191167650087
asymmetric_two_mirror,short_root,0.2413793103448276,9.790908291768979,30.0,45.0,0.2413793103448275,8.326672684688674e-17,"L=9.790908291769, R1=30.0, R2=45.0",0.013085973661698662
asymmetric_two_mirror,long_root,0.2413793103448276,65.20909170823103,30.0,45.0,0.24137931034482743,1.6653345369377348e-16,"L=65.209091708231, R1=30.0, R2=45.0",0.013085973657188445
plane_concave,single,0.2777777777777778,0.5868240888334652,inf,1.0,0.2777777777777778,0.0,L/R=0.586824088833,0.3232203292573437
symmetric_double_concave,near_planar,0.2777777777777778,0.35721239031346064,1.0,1.0,0.2777777777777778,0.0,L/R=0.357212390313,0.41552404569084844
symmetric_double_concave,near_concentric,0.2777777777777778,1.6427876096865393,1.0,1.0,0.2777777777777778,0.0,L/R=1.642787609687,0.4155240456908483
asymmetric_two_mirror,short_root,0.2777777777777778,12.720220338452926,30.0,45.0,0.2777777777777778,0.0,"L=12.720220338453, R1=30.0, R2=45.0",0.011865671926124133
asymmetric_two_mirror,long_root,0.2777777777777778,62.279779661547074,30.0,45.0,0.2777777777777778,0.0,"L=62.279779661547, R1=30.0, R2=45.0",0.011865671919446225
plane_concave,single,0.4444444444444444,0.9698463103929541,inf,1.0,0.44444444444444436,5.551115123125783e-17,L/R=0.969846310393,0.9306758458395774
symmetric_double_concave,near_planar,0.4444444444444444,0.8263518223330696,1.0,1.0,0.4444444444444444,0.0,L/R=0.826351822333,0.3232203292573437
symmetric_double_concave,near_concentric,0.4444444444444444,1.1736481776669305,1.0,1.0,0.44444444444444436,5.551115123125783e-17,L/R=1.173648177667,0.3232203292573437
asymmetric_two_mirror,short_root,0.4444444444444444,27.65330101153122,30.0,45.0,0.4444444444444443,1.1102230246251565e-16,"L=27.653301011531, R1=30.0, R2=45.0",0.013576422083693784
asymmetric_two_mirror,long_root,0.4444444444444444,47.34669898846878,30.0,45.0,0.4444444444444443,1.1102230246251565e-16,"L=47.346698988469, R1=30.0, R2=45.0",0.013576422076415774
