p,q,k_fraction,k,s_min,limiting_differences
6,29,6/29,0.20689655172413793,0.034482758620689655,"5,24,34"
7,29,7/29,0.2413793103448276,0.034482758620689655,"4,25,33"
8,29,8/29,0.27586206896551724,0.034482758620689655,"11,18,40"
7,32,7/32,0.21875,0.03125,"9,23"
9,32,9/32,0.28125,0.03125,"7,25,39"
8,35,8/35,0.22857142857142856,0.02857142857142857,"13,22"
9,35,9/35,0.2571428571428571,0.02857142857142857,"4,31,39"
16,73,16/73,0.2191780821917808,0.0273972602739726,9
8,37,8/37,0.21621621621621623,0.02702702702702703,"14,23"
9,37,9/37,0.24324324324324326,0.02702702702702703,"4,33"
10,37,10/37,0.2702702702702703,0.02702702702702703,"11,26"
11,37,11/37,0.2972972972972973,0.02702702702702703,"10,27"
9,38,9/38,0.23684210526315788,0.02631578947368421,"17,21"
11,38,11/38,0.2894736842105263,0.02631578947368421,"7,31,45"
21,76,21/76,0.27631578947368424,0.02631578947368421,18
19,78,19/78,0.24358974358974358,0.02564102564102564,4
9,41,9/41,0.21951219512195122,0.024390243902439025,9
10,41,10/41,0.24390243902439024,0.024390243902439025,"4,45"
11,41,11/41,0.2682926829268293,0.024390243902439025,"15,26"
12,41,12/41,0.2926829268292683,0.024390243902439025,"17,24"
17,82,17/82,0.2073170731707317,0.024390243902439025,24
19,83,19/83,0.2289156626506024,0.024096385542168676,13
20,83,20/83,0.24096385542168675,0.024096385542168676,25
25,84,25/84,0.2976190476190476,0.023809523809523808,10
23,85,23/85,0.27058823529411763,0.023529411764705882,11
9,43,9/43,0.20930232558139536,0.023255813953488372,"19,24"
10,43,10/43,0.23255813953488372,0.023255813953488372,"13,30"
11,43,11/43,0.2558139534883721,0.023255813953488372,"4,39"
12,43,12/43,0.27906976744186046,0.023255813953488372,"18,25"
19,87,19/87,0.21839080459770116,0.022988505747126436,23
