case,p,l,abs_l,N,note
single_sign_p0_OAM,0,0,0,1,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,1,1,2,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,2,2,3,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,3,3,4,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,4,4,5,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,5,5,6,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,6,6,7,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,7,7,8,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,8,8,9,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,9,9,10,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,10,10,11,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
single_sign_p0_OAM,0,11,11,12,"For p=0 and one sign of l, sorting by N is equivalent to consecutive OAM sorting."
signed_OAM_degeneracy,0,-1,1,2,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-2,2,3,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-3,3,4,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-4,4,5,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-5,5,6,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-6,6,7,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-7,7,8,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-8,8,9,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-9,9,10,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-10,10,11,+l and -l share the same N in an isotropic FP cavity.
signed_OAM_degeneracy,0,-11,11,12,+l and -l share the same N in an isotropic FP cavity.
