abs_l,eta_w_in_over_w0,p,power,partial_sum_p0_to_p6
0,0.99,0,0.9998989975507551,
0,0.99,1,0.00010099224775024081,
0,0.99,2,1.0200464377531589e-08,
0,0.99,3,1.0302718855670066e-12,
0,0.99,4,1.0405998383052616e-16,
0,0.99,5,1.0510313235277646e-20,
0,0.99,6,1.0615673790951223e-24,
0,0.99,partial_sum_0_to_6,,1.0
0,0.98,0,0.9995919616486415,
0,0.98,1,0.0004078718560623536,
0,0.98,2,1.664273597132276e-07,
0,0.98,3,6.790874547833892e-11,
0,0.98,4,2.7709372547807645e-14,
0,0.98,5,1.1306486691586823e-17,
0,0.98,6,4.613480189292281e-21,
0,0.98,partial_sum_0_to_6,,1.0
0,0.95,0,0.9973736058612968,
0,0.95,1,0.002619496192531498,
0,0.95,2,6.8798294464203715e-06,
0,0.95,3,1.8069143733356917e-08,
0,0.95,4,4.745669319267631e-11,
0,0.95,5,1.2463998084348647e-13,
0,0.95,6,3.2735371513542607e-16,
0,0.95,partial_sum_0_to_6,,1.0000000000000002
0,0.9,0,0.98898080034187,
0,0.9,1,0.010897776897024354,
0,0.9,2,0.00012008477945806871,
0,0.9,3,1.3232381607509775e-06,
0,0.9,4,1.4581025488571858e-08,
0,0.9,5,1.606712310788571e-10,
0,0.9,6,1.7704683745754824e-12,
0,0.9,partial_sum_0_to_6,,0.9999999999999802
4,0.99,0,0.9994950897584197,
4,0.99,1,0.000504757260369729,
4,0.99,2,1.529451587146078e-07,
4,0.99,3,3.604494980412614e-11,
4,0.99,4,7.281256426259234e-15,
4,0.99,5,1.3237645187394663e-18,
4,0.99,6,2.228390976938454e-22,
4,0.99,partial_sum_0_to_6,,1.0000000000000004
4,0.98,0,0.9979614725169433,
4,0.98,1,0.0020360327698257376,
4,0.98,2,2.4923383641349235e-06,
4,0.98,3,2.3729291533015534e-09,
4,0.98,4,1.9364921992075307e-12,
4,0.98,5,1.4222935518899414e-15,
4,0.98,6,9.67250526768406e-19,
4,0.98,partial_sum_0_to_6,,1.0000000000000002
4,0.95,0,0.9869368278387314,
4,0.95,1,0.012960425499530423,
4,0.95,2,0.00010211755670120298,
4,0.95,3,6.258022222170663e-07,
4,0.95,4,3.287206576836822e-09,
4,0.95,5,1.554030015500018e-11,
4,0.95,6,6.80249220679711e-14,
4,0.95,partial_sum_0_to_6,,1.0000000000000002
4,0.9,0,0.9461049230589035,
4,0.9,1,0.05212659522362931,
4,0.9,2,0.0017231800808031044,
4,0.9,3,4.4305485833658335e-05,
4,0.9,4,9.764219887030706e-07,
4,0.9,5,1.9366899919393637e-08,
4,0.9,6,3.556795616180366e-10,
4,0.9,partial_sum_0_to_6,,0.9999999999937378
8,0.99,0,0.9990913451240684,
8,0.99,1,0.0009081960558930611,
8,0.99,2,4.5865013019921457e-07,
8,0.99,3,1.698575504877394e-10,
8,0.99,4,5.146808586605086e-14,
8,0.99,5,1.3515847099099308e-17,
8,0.99,6,3.1853118748030568e-21,
8,0.99,partial_sum_0_to_6,,1.0000000000000007
8,0.98,0,0.9963336429652643,
8,0.98,1,0.0036588810337072892,
8,0.98,2,7.464818924054634e-06,
8,0.98,3,1.1168418825524515e-08,
8,0.98,4,1.3671429614545878e-11,
8,0.98,5,1.450401576164716e-14,
8,0.98,6,1.3809120918741596e-17,
8,0.98,partial_sum_0_to_6,,1.0000000000000004
8,0.95,0,0.976609262988494,
8,0.95,1,0.02308464759704709,
8,0.95,2,0.00030314691571457997,
8,0.95,3,2.919338702862119e-06,
8,0.95,4,2.300200217426041e-08,
8,0.95,5,1.5707204159118783e-10,
8,0.95,6,9.62577208574937e-13,
8,0.95,partial_sum_0_to_6,,0.9999999999999953
8,0.9,0,0.9050878693771116,
8,0.9,1,0.08976009546736162,
8,0.9,2,0.004945422066438375,
8,0.9,3,0.00019981350819395802,
8,0.9,4,6.605354823541907e-06,
8,0.9,5,1.8924288139484236e-07,
8,0.9,6,4.865711885929065e-09,
8,0.9,partial_sum_0_to_6,,0.9999999998825223
12,0.99,0,0.9986877635817937,
12,0.99,1,0.0013113088319859707,
12,0.99,2,9.271178262302304e-07,
12,0.99,3,4.682058559397415e-10,
12,0.99,4,1.891597528030514e-13,
12,0.99,5,6.495903432773195e-17,
12,0.99,6,1.9683064703071763e-20,
12,0.99,partial_sum_0_to_6,,1.0000000000000007
12,0.98,0,0.9947084686554181,
12,0.98,1,0.00527642964722286,
12,0.98,2,1.5070899580184711e-05,
12,0.98,3,3.074752509094288e-08,
12,0.98,4,5.0184677785853836e-11,
12,0.98,5,6.962272883647657e-14,
12,0.98,6,8.522623047455427e-17,
12,0.98,partial_sum_0_to_6,,1.0000000000000004
12,0.95,0,0.9663897684754124,
12,0.95,1,0.03299556550714677,
12,0.95,2,0.0006066155189582003,
12,0.95,3,7.966057217191429e-06,
12,0.95,4,8.368802393522716e-08,
12,0.95,5,7.473123008466869e-10,
12,0.95,6,5.8882099401738754e-12,
12,0.95,partial_sum_0_to_6,,0.999999999999959
12,0.9,0,0.8658490526030145,
12,0.9,1,0.12403252659766018,
12,0.9,2,0.009567174222773634,
12,0.9,3,0.0005271130146242911,
12,0.9,4,2.323345420217563e-05,
12,0.9,5,8.704478400461022e-07,
12,0.9,6,2.8774915624368242e-08,
12,0.9,partial_sum_0_to_6,,0.9999999991150305
