N,one_over_N,delta,margin,continuous_full_load_feasible,M_max_floor(F/tau0)
1,1.000000000000,0.100671140940,0.899328859060,yes,9
2,0.500000000000,0.100671140940,0.399328859060,yes,9
3,0.333333333333,0.100671140940,0.232662192394,yes,9
4,0.250000000000,0.100671140940,0.149328859060,yes,9
5,0.200000000000,0.100671140940,0.099328859060,yes,9
6,0.166666666667,0.100671140940,0.065995525727,yes,9
7,0.142857142857,0.100671140940,0.042186001918,yes,9
8,0.125000000000,0.100671140940,0.024328859060,yes,9
9,0.111111111111,0.100671140940,0.010439970172,yes,9
10,0.100000000000,0.100671140940,-0.000671140940,no,9
11,0.090909090909,0.100671140940,-0.009762050031,no,9
12,0.083333333333,0.100671140940,-0.017337807606,no,9
13,0.076923076923,0.100671140940,-0.023748064017,no,9
14,0.071428571429,0.100671140940,-0.029242569511,no,9
15,0.066666666667,0.100671140940,-0.034004474273,no,9
