k,lr,mis_size,mis_set,prefix_size,best_consecutive_block_size,best_consecutive_block,gap_vs_prefix,gap_vs_best_consecutive
0.002777777778,0.000076152422,1,15,1,1,1-1,0,0
0.005555555556,0.000304586490,1,15,1,1,1-1,0,0
0.008333333333,0.000685232623,2,1 15,1,1,1-1,1,1
0.011111111111,0.001217974870,2,3 15,1,1,1-1,1,1
0.013888888889,0.001902650954,2,4 15,1,1,1-1,1,1
0.016666666667,0.002739052316,3,8 1 15,1,1,1-1,2,2
0.019444444444,0.003726924179,3,9 3 15,1,1,1-1,2,2
0.022222222222,0.004865965629,3,2 8 15,1,1,1-1,2,2
0.025000000000,0.006155829702,3,2 8 15,1,1,1-1,2,2
0.027777777778,0.007596123494,4,1 5 10 15,1,1,1-1,3,3
0.030555555556,0.009186408276,4,1 5 10 15,1,1,1-1,3,3
0.033333333333,0.010926199633,4,1 5 10 15,1,1,1-1,3,3
0.036111111111,0.012814967607,5,1 4 7 11 15,1,1,1-1,4,4
0.038888888889,0.014852136862,5,1 4 7 11 15,1,1,1-1,4,4
0.041666666667,0.017037086855,5,1 4 7 11 15,1,1,1-1,4,4
0.044444444444,0.019369152031,5,1 4 7 11 15,1,1,1-1,4,4
0.047222222222,0.021847622018,5,1 4 7 11 15,1,1,1-1,4,4
0.050000000000,0.024471741852,5,1 4 7 11 15,1,1,1-1,4,4
0.052777777778,0.027240712200,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.055555555556,0.030153689607,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.058333333333,0.033209786751,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.061111111111,0.036408072717,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.063888888889,0.039747573274,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.066666666667,0.043227271179,7,2 4 6 8 10 12 15,1,1,1-1,6,6
0.069444444444,0.046846106482,7,3 5 7 9 11 13 15,1,1,1-1,6,6
0.072222222222,0.050602976850,7,3 5 7 9 11 13 15,1,1,1-1,6,6
0.075000000000,0.054496737906,6,4 6 8 10 12 15,1,1,1-1,5,5
0.077777777778,0.058526203571,6,4 6 8 10 12 15,1,1,1-1,5,5
0.080555555556,0.062690146430,7,1 4 6 8 10 12 15,1,1,1-1,6,6
0.083333333333,0.066987298108,6,5 7 9 11 13 15,1,1,1-1,5,5
