k,lr,mis_size,mis_set,prefix_size,best_consecutive_block_size,best_consecutive_block,gap_vs_prefix,gap_vs_best_consecutive
0.052777777778,0.027240712200,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.055555555556,0.030153689607,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.058333333333,0.033209786751,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.061111111111,0.036408072717,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.063888888889,0.039747573274,8,1 3 5 7 9 11 13 15,1,1,1-1,7,7
0.066666666667,0.043227271179,7,2 4 6 8 10 12 15,1,1,1-1,6,6
0.069444444444,0.046846106482,7,3 5 7 9 11 13 15,1,1,1-1,6,6
0.072222222222,0.050602976850,7,3 5 7 9 11 13 15,1,1,1-1,6,6
0.080555555556,0.062690146430,7,1 4 6 8 10 12 15,1,1,1-1,6,6
0.469444444444,0.990813591724,8,1 2 5 6 9 10 14 15,2,2,1-2,6,6
0.472222222222,0.992403876506,8,1 2 5 6 9 10 14 15,2,2,1-2,6,6
0.075000000000,0.054496737906,6,4 6 8 10 12 15,1,1,1-1,5,5
