dataset,detector_l,lock_l,theory_pct,experiment_pct,abs_error_pp
aggregate,0,0,94.513995,94.089869,0.424126
aggregate,0,1,0.488643,0.592105,0.103462
aggregate,0,2,0.122630,0.527858,0.405228
aggregate,0,3,0.211885,0.398336,0.186451
aggregate,0,4,1.781995,2.242871,0.460876
aggregate,0,5,2.092608,2.424853,0.332245
aggregate,0,6,0.223972,0.313894,0.089922
aggregate,0,7,0.117674,0.325633,0.207959
aggregate,0,8,0.450581,0.583920,0.133339
aggregate,1,0,0.488830,0.675521,0.186691
aggregate,1,1,94.477858,94.881770,0.403912
aggregate,1,2,0.488619,0.575170,0.086551
aggregate,1,3,0.122645,0.761179,0.638534
aggregate,1,4,0.212558,0.506086,0.293528
aggregate,1,5,1.776360,2.027281,0.250921
aggregate,1,6,2.092355,2.401475,0.309120
aggregate,1,7,0.223983,0.346714,0.122731
aggregate,1,8,0.117719,0.296295,0.178576
aggregate,2,0,0.122683,0.029207,0.093476
aggregate,2,1,0.488643,0.198820,0.289823
aggregate,2,2,94.473170,94.762733,0.289563
aggregate,2,3,0.488678,0.794562,0.305884
aggregate,2,4,0.123034,0.883309,0.760275
aggregate,2,5,0.211885,0.572106,0.360221
aggregate,2,6,1.776145,2.069411,0.293266
aggregate,2,7,2.092458,2.468860,0.376402
aggregate,2,8,0.224069,0.247596,0.023527
aggregate,3,0,0.211951,0.195704,0.016247
aggregate,3,1,0.122637,0.000000,0.122637
aggregate,3,2,0.488619,0.280285,0.208334
aggregate,3,3,94.484614,93.785639,0.698975
aggregate,3,4,0.490229,0.665565,0.175336
aggregate,3,5,0.122645,1.214205,1.091560
aggregate,3,6,0.211860,0.721556,0.509696
aggregate,3,7,1.776233,2.018731,0.242498
aggregate,3,8,2.093259,1.967835,0.125424
aggregate,4,0,1.776912,1.397857,0.379055
aggregate,4,1,0.211870,0.142648,0.069222
aggregate,4,2,0.122630,0.000000,0.122630
aggregate,4,3,0.488678,0.369231,0.119447
aggregate,4,4,94.784368,92.881491,1.902877
aggregate,4,5,0.488678,0.464810,0.023868
aggregate,4,6,0.122630,1.418447,1.295817
aggregate,4,7,0.211870,0.694094,0.482224
aggregate,4,8,1.776912,1.859299,0.082387
aggregate,5,0,2.093259,1.652337,0.440922
aggregate,5,1,1.776233,1.605718,0.170515
aggregate,5,2,0.211860,0.130973,0.080887
aggregate,5,3,0.122645,0.000000,0.122645
aggregate,5,4,0.490229,0.380792,0.109437
aggregate,5,5,94.484614,92.716705,1.767909
aggregate,5,6,0.488619,0.535982,0.047363
aggregate,5,7,0.122637,1.730686,1.608049
aggregate,5,8,0.211951,0.639995,0.428044
aggregate,6,0,0.224069,0.522673,0.298604
aggregate,6,1,2.092458,1.595962,0.496496
aggregate,6,2,1.776145,1.540325,0.235820
aggregate,6,3,0.211885,0.075026,0.136859
aggregate,6,4,0.123034,0.000000,0.123034
aggregate,6,5,0.488678,0.472418,0.016260
aggregate,6,6,94.473170,92.177563,2.295607
aggregate,6,7,0.488643,0.072443,0.416200
aggregate,6,8,0.122683,1.959823,1.837140
aggregate,7,0,0.117719,0.423127,0.305408
aggregate,7,1,0.223983,0.436388,0.212405
aggregate,7,2,2.092355,1.642123,0.450232
aggregate,7,3,1.776360,1.498708,0.277652
aggregate,7,4,0.212558,0.080205,0.132353
aggregate,7,5,0.122645,0.000000,0.122645
aggregate,7,6,0.488619,0.361672,0.126947
aggregate,7,7,94.477858,91.573556,2.904302
aggregate,7,8,0.488830,0.000000,0.488830
aggregate,8,0,0.450581,1.013705,0.563124
aggregate,8,1,0.117674,0.546589,0.428915
aggregate,8,2,0.223972,0.540533,0.316561
aggregate,8,3,2.092608,2.317319,0.224711
aggregate,8,4,1.781995,2.359681,0.577686
aggregate,8,5,0.211885,0.107622,0.104263
aggregate,8,6,0.122630,0.000000,0.122630
aggregate,8,7,0.488643,0.769283,0.280640
aggregate,8,8,94.513995,92.445237,2.068758
