dataset,detector_l,lock_l,theory_pct,experiment_pct,abs_error_pp
run_1,0,0,94.513995,94.587073,0.073078
run_1,0,1,0.488643,0.792667,0.304023
run_1,0,2,0.122630,0.504289,0.381659
run_1,0,3,0.211885,0.392202,0.180317
run_1,0,4,1.781995,2.045289,0.263293
run_1,0,5,2.092608,2.099102,0.006494
run_1,0,6,0.223972,0.279668,0.055696
run_1,0,7,0.117674,0.298227,0.180553
run_1,0,8,0.450581,0.509302,0.058720
run_1,1,0,0.488830,0.478222,0.010608
run_1,1,1,94.477858,94.864849,0.386990
run_1,1,2,0.488619,0.725047,0.236428
run_1,1,3,0.122645,0.735215,0.612569
run_1,1,4,0.212558,0.467372,0.254814
run_1,1,5,1.776360,2.023672,0.247312
run_1,1,6,2.092355,2.165858,0.073504
run_1,1,7,0.223983,0.334194,0.110210
run_1,1,8,0.117719,0.285246,0.167528
run_1,2,0,0.122683,0.047752,0.074931
run_1,2,1,0.488643,0.007683,0.480960
run_1,2,2,94.473170,94.531115,0.057945
run_1,2,3,0.488678,0.881393,0.392715
run_1,2,4,0.123034,0.749935,0.626900
run_1,2,5,0.211885,0.553573,0.341688
run_1,2,6,1.776145,2.319559,0.543414
run_1,2,7,2.092458,2.291205,0.198746
run_1,2,8,0.224069,0.229954,0.005885
run_1,3,0,0.211951,0.236414,0.024463
run_1,3,1,0.122637,0.000000,0.122637
run_1,3,2,0.488619,0.175792,0.312827
run_1,3,3,94.484614,93.384248,1.100367
run_1,3,4,0.490229,1.252677,0.762449
run_1,3,5,0.122645,0.930698,0.808052
run_1,3,6,0.211860,0.666836,0.454976
run_1,3,7,1.776233,2.229380,0.453147
run_1,3,8,2.093259,1.609658,0.483601
run_1,4,0,1.776912,1.526028,0.250884
run_1,4,1,0.211870,0.188704,0.023166
run_1,4,2,0.122630,0.000000,0.122630
run_1,4,3,0.488678,0.216274,0.272405
run_1,4,4,94.784368,92.441573,2.342795
run_1,4,5,0.488678,0.838344,0.349666
