detector_l,lock_l,detector_N,lock_N,s_ij_fsr,tau_ij,kernel_K_ij,is_diagonal
0,0,1,1,0.000000000000,inf,1.000000000000,1
0,1,1,2,0.221195111651,6.934466750273,0.005172039718,0
0,2,1,3,0.442390223303,13.868933500546,0.001298045085,0
0,3,1,4,0.336414665046,10.546599749181,0.002242539304,0
0,4,1,5,0.115219553394,3.612132998908,0.018800519626,0
0,5,1,6,0.105975558257,3.322333751365,0.022147606335,0
0,6,1,7,0.327170669909,10.256800501638,0.002370747857,0
0,7,1,8,0.451634218440,14.158732748089,0.001245517923,0
0,8,1,9,0.230439106788,7.224265997816,0.004767351419,0
1,0,2,1,0.221195111651,6.934466750273,0.005172039718,0
1,1,2,2,0.000000000000,inf,1.000000000000,1
1,2,2,3,0.221195111651,6.934466750273,0.005172039718,0
1,3,2,4,0.442390223303,13.868933500546,0.001298045085,0
1,4,2,5,0.336414665046,10.546599749181,0.002242539304,0
1,5,2,6,0.115219553394,3.612132998908,0.018800519626,0
1,6,2,7,0.105975558257,3.322333751365,0.022147606335,0
1,7,2,8,0.327170669909,10.256800501638,0.002370747857,0
1,8,2,9,0.451634218440,14.158732748089,0.001245517923,0
2,0,3,1,0.442390223303,13.868933500546,0.001298045085,0
2,1,3,2,0.221195111651,6.934466750273,0.005172039718,0
2,2,3,3,0.000000000000,inf,1.000000000000,1
2,3,3,4,0.221195111651,6.934466750273,0.005172039718,0
2,4,3,5,0.442390223303,13.868933500546,0.001298045085,0
2,5,3,6,0.336414665046,10.546599749181,0.002242539304,0
2,6,3,7,0.115219553394,3.612132998908,0.018800519626,0
2,7,3,8,0.105975558257,3.322333751365,0.022147606335,0
2,8,3,9,0.327170669909,10.256800501638,0.002370747857,0
3,0,4,1,0.336414665046,10.546599749181,0.002242539304,0
3,1,4,2,0.442390223303,13.868933500546,0.001298045085,0
3,2,4,3,0.221195111651,6.934466750273,0.005172039718,0
3,3,4,4,0.000000000000,inf,1.000000000000,1
3,4,4,5,0.221195111651,6.934466750273,0.005172039718,0
3,5,4,6,0.442390223303,13.868933500546,0.001298045085,0
3,6,4,7,0.336414665046,10.546599749181,0.002242539304,0
3,7,4,8,0.115219553394,3.612132998908,0.018800519626,0
3,8,4,9,0.105975558257,3.322333751365,0.022147606335,0
4,0,5,1,0.115219553394,3.612132998908,0.018800519626,0
4,1,5,2,0.336414665046,10.546599749181,0.002242539304,0
4,2,5,3,0.442390223303,13.868933500546,0.001298045085,0
4,3,5,4,0.221195111651,6.934466750273,0.005172039718,0
4,4,5,5,0.000000000000,inf,1.000000000000,1
4,5,5,6,0.221195111651,6.934466750273,0.005172039718,0
4,6,5,7,0.442390223303,13.868933500546,0.001298045085,0
4,7,5,8,0.336414665046,10.546599749181,0.002242539304,0
4,8,5,9,0.115219553394,3.612132998908,0.018800519626,0
5,0,6,1,0.105975558257,3.322333751365,0.022147606335,0
5,1,6,2,0.115219553394,3.612132998908,0.018800519626,0
5,2,6,3,0.336414665046,10.546599749181,0.002242539304,0
5,3,6,4,0.442390223303,13.868933500546,0.001298045085,0
5,4,6,5,0.221195111651,6.934466750273,0.005172039718,0
5,5,6,6,0.000000000000,inf,1.000000000000,1
5,6,6,7,0.221195111651,6.934466750273,0.005172039718,0
5,7,6,8,0.442390223303,13.868933500546,0.001298045085,0
5,8,6,9,0.336414665046,10.546599749181,0.002242539304,0
6,0,7,1,0.327170669909,10.256800501638,0.002370747857,0
6,1,7,2,0.105975558257,3.322333751365,0.022147606335,0
6,2,7,3,0.115219553394,3.612132998908,0.018800519626,0
6,3,7,4,0.336414665046,10.546599749181,0.002242539304,0
6,4,7,5,0.442390223303,13.868933500546,0.001298045085,0
6,5,7,6,0.221195111651,6.934466750273,0.005172039718,0
6,6,7,7,0.000000000000,inf,1.000000000000,1
6,7,7,8,0.221195111651,6.934466750273,0.005172039718,0
6,8,7,9,0.442390223303,13.868933500546,0.001298045085,0
7,0,8,1,0.451634218440,14.158732748089,0.001245517923,0
7,1,8,2,0.327170669909,10.256800501638,0.002370747857,0
7,2,8,3,0.105975558257,3.322333751365,0.022147606335,0
7,3,8,4,0.115219553394,3.612132998908,0.018800519626,0
7,4,8,5,0.336414665046,10.546599749181,0.002242539304,0
7,5,8,6,0.442390223303,13.868933500546,0.001298045085,0
7,6,8,7,0.221195111651,6.934466750273,0.005172039718,0
7,7,8,8,0.000000000000,inf,1.000000000000,1
7,8,8,9,0.221195111651,6.934466750273,0.005172039718,0
8,0,9,1,0.230439106788,7.224265997816,0.004767351419,0
8,1,9,2,0.451634218440,14.158732748089,0.001245517923,0
8,2,9,3,0.327170669909,10.256800501638,0.002370747857,0
8,3,9,4,0.105975558257,3.322333751365,0.022147606335,0
8,4,9,5,0.115219553394,3.612132998908,0.018800519626,0
8,5,9,6,0.336414665046,10.546599749181,0.002242539304,0
8,6,9,7,0.442390223303,13.868933500546,0.001298045085,0
8,7,9,8,0.221195111651,6.934466750273,0.005172039718,0
8,8,9,9,0.000000000000,inf,1.000000000000,1
