dataset,channel_l,diag_share_pct,e_sort_pct,ER_sum_db_from_matrix,ER_max_db_from_matrix
theory,0,94.513995,5.486005,12.362399,16.546732
theory,1,94.477858,5.522142,12.332225,16.546732
theory,2,94.473170,5.526830,12.328324,16.546732
theory,3,94.484614,5.515386,12.337852,16.546732
theory,4,94.784368,5.215632,12.594298,17.258301
theory,5,94.484614,5.515386,12.337852,16.546732
theory,6,94.473170,5.526830,12.328324,16.546732
theory,7,94.477858,5.522142,12.332225,16.546732
theory,8,94.513995,5.486005,12.362399,16.546732
theory,ALL,94.520405,5.479595,,
theory,mutual_information_bits,2.738164,,,
