left_fraction,right_fraction,left_den,right_den,mediant_fraction,peak_height,denominator_sum,left_L_over_R,right_L_over_R,peak_L_over_R
0/1,1/14,1,14,1/15,0.066666666667,15,0.000000000000,0.049515566049,0.043227271179
1/14,1/13,14,13,2/27,0.037037037037,27,0.049515566049,0.057271987173,0.053183679838
1/13,1/12,13,12,2/25,0.040000000000,25,0.057271987173,0.066987298108,0.061846659978
1/12,1/11,12,11,2/23,0.043478260870,23,0.066987298108,0.079373233584,0.072790297727
1/11,1/10,11,10,2/21,0.047619047619,21,0.079373233584,0.095491502813,0.086880612842
1/10,1/9,10,9,2/19,0.052631578947,19,0.095491502813,0.116977778441,0.105429745302
1/9,1/8,9,8,2/17,0.058823529412,17,0.116977778441,0.146446609407,0.130495541390
1/8,1/7,8,7,2/15,0.066666666667,15,0.146446609407,0.188255099071,0.165434696821
1/7,2/13,7,13,3/20,0.050000000000,20,0.188255099071,0.215967626634,0.206107373854
2/13,1/6,13,6,3/19,0.052631578947,19,0.215967626634,0.250000000000,0.226525920939
1/6,2/11,6,11,3/17,0.058823529412,17,0.250000000000,0.292292493499,0.277130822112
2/11,1/5,11,5,3/16,0.062500000000,16,0.292292493499,0.345491502813,0.308658283817
1/5,3/14,5,14,4/19,0.052631578947,19,0.345491502813,0.388739533022,0.377257256430
3/14,2/9,14,9,5/23,0.043478260870,23,0.388739533022,0.413175911167,0.398271993474
2/9,3/13,9,13,5/22,0.045454545455,22,0.413175911167,0.439731659872,0.428842580863
3/13,1/4,13,4,4/17,0.058823529412,17,0.439731659872,0.500000000000,0.453865820268
1/4,3/11,4,11,4/15,0.066666666667,15,0.500000000000,0.571157419137,0.552264231634
3/11,2/7,11,7,5/18,0.055555555556,18,0.571157419137,0.611260466978,0.586824088833
2/7,3/10,7,10,5/17,0.058823529412,17,0.611260466978,0.654508497187,0.636831495036
3/10,4/13,10,13,7/23,0.043478260870,23,0.654508497187,0.677302443521,0.667439806085
4/13,1/3,13,3,5/16,0.062500000000,16,0.677302443521,0.750000000000,0.691341716183
1/3,5/14,3,14,6/17,0.058823529412,17,0.750000000000,0.811744900929,0.801317318190
5/14,4/11,14,11,9/25,0.040000000000,25,0.811744900929,0.827430366973,0.818711994874
4/11,3/8,11,8,7/19,0.052631578947,19,0.827430366973,0.853553390593,0.838640785813
3/8,5/13,8,13,8/21,0.047619047619,21,0.853553390593,0.874255374086,0.866525935915
5/13,2/5,13,5,7/18,0.055555555556,18,0.874255374086,0.904508497187,0.883022221559
2/5,5/12,5,12,7/17,0.058823529412,17,0.904508497187,0.933012701892,0.925108567865
5/12,3/7,12,7,8/19,0.052631578947,19,0.933012701892,0.950484433951,0.939736875603
3/7,4/9,7,9,7/16,0.062500000000,16,0.950484433951,0.969846310393,0.961939766256
4/9,5/11,9,11,9/20,0.050000000000,20,0.969846310393,0.979746486807,0.975528258148
5/11,6/13,11,13,11/24,0.041666666667,24,0.979746486807,0.985470908713,0.982962913145
6/13,1/2,13,2,7/15,0.066666666667,15,0.985470908713,1.000000000000,0.989073800367
