N,m,k_star,lr_star,L_star_mm,status
9,1,0.111111111111,0.116977778441,2.924444461,too_short
9,2,0.222222222222,0.413175911167,10.329397779,practical
9,4,0.444444444444,0.969846310393,24.246157760,near_hemispherical_boundary
15,1,0.066666666667,0.043227271179,1.080681779,too_short
15,2,0.133333333333,0.165434696821,4.135867421,too_short
15,4,0.266666666667,0.552264231634,13.806605791,practical
15,7,0.466666666667,0.989073800367,24.726845009,near_hemispherical_boundary
30,1,0.033333333333,0.010926199633,0.273154991,too_short
30,7,0.233333333333,0.447735768366,11.193394209,practical
30,11,0.366666666667,0.834565303179,20.864132579,near_hemispherical_boundary
30,13,0.433333333333,0.956772728821,23.919318221,near_hemispherical_boundary
50,1,0.020000000000,0.003942649343,0.098566234,too_short
50,3,0.060000000000,0.035111757056,0.877793926,too_short
50,7,0.140000000000,0.181288005126,4.532200128,too_short
50,9,0.180000000000,0.287110354217,7.177758855,practical
50,11,0.220000000000,0.406309342707,10.157733568,practical
50,13,0.260000000000,0.531395259765,13.284881494,practical
50,17,0.340000000000,0.767913397489,19.197834937,practical
50,19,0.380000000000,0.864484313711,21.612107843,near_hemispherical_boundary
50,21,0.420000000000,0.938153340022,23.453833501,near_hemispherical_boundary
50,23,0.460000000000,0.984291580564,24.607289514,near_hemispherical_boundary
