family,N,parameter,k_star,lr_exact,lr_asymptotic,relative_error,L_exact_mm
fixed_m,6,1,0.166666666667,0.250000000000,0.274155677808,0.096622711232,6.250000000
fixed_m,6,2,0.333333333333,0.750000000000,1.096622711232,0.462163614976,18.750000000
fixed_r_to_half,6,1,0.333333333333,0.750000000000,0.725844322192,0.096622711232,18.750000000
fixed_r_to_half,6,2,0.166666666667,0.250000000000,-0.096622711232,0.462163614976,6.250000000
fixed_m,7,1,0.142857142857,0.188255099071,0.201420497981,0.069933823709,4.706377477
fixed_m,7,2,0.285714285714,0.611260466978,0.805681991926,0.318066577917,15.281511674
fixed_m,8,1,0.125000000000,0.146446609407,0.154212568767,0.053029287546,3.661165235
fixed_m,8,2,0.250000000000,0.500000000000,0.616850275068,0.233700550136,12.500000000
fixed_r_to_half,8,1,0.375000000000,0.853553390593,0.845787431233,0.053029287546,21.338834765
fixed_r_to_half,8,2,0.250000000000,0.500000000000,0.383149724932,0.233700550136,12.500000000
fixed_m,9,1,0.111111111111,0.116977778441,0.121846967915,0.041624909783,2.924444461
fixed_m,9,2,0.222222222222,0.413175911167,0.487387871659,0.179613473309,10.329397779
fixed_m,9,4,0.444444444444,0.969846310393,1.949551486635,1.010165389860,24.246157760
fixed_m,10,1,0.100000000000,0.095491502813,0.098696044011,0.033558391103,2.387287570
fixed_m,10,2,0.200000000000,0.345491502813,0.394784176044,0.142674053717,8.637287570
fixed_m,10,4,0.400000000000,0.904508497187,1.579136704174,0.745850601829,22.612712430
fixed_r_to_half,10,1,0.400000000000,0.904508497187,0.901303955989,0.033558391103,22.612712430
fixed_r_to_half,10,2,0.300000000000,0.654508497187,0.605215823956,0.142674053717,16.362712430
fixed_r_to_half,10,4,0.100000000000,0.095491502813,-0.579136704174,0.745850601829,2.387287570
fixed_m,11,1,0.090909090909,0.079373233584,0.081566978521,0.027638346555,1.984330840
fixed_m,11,2,0.181818181818,0.292292493499,0.326267914086,0.116237745896,7.307312337
fixed_m,11,4,0.363636363636,0.827430366973,1.305071656342,0.577258592910,20.685759174
fixed_m,12,1,0.083333333333,0.066987298108,0.068538919452,0.023162918763,1.674682453
fixed_m,12,2,0.166666666667,0.250000000000,0.274155677808,0.096622711232,6.250000000
fixed_m,12,4,0.333333333333,0.750000000000,1.096622711232,0.462163614976,18.750000000
fixed_r_to_half,12,1,0.416666666667,0.933012701892,0.931461080548,0.023162918763,23.325317547
fixed_r_to_half,12,2,0.333333333333,0.750000000000,0.725844322192,0.096622711232,18.750000000
fixed_r_to_half,12,4,0.166666666667,0.250000000000,-0.096622711232,0.462163614976,6.250000000
fixed_m,13,1,0.076923076923,0.057271987173,0.058400026042,0.019696171274,1.431799679
fixed_m,13,2,0.153846153846,0.215967626634,0.233600104168,0.081644076977,5.399190666
fixed_m,13,4,0.307692307692,0.677302443521,0.934400416671,0.379591090523,16.932561088
fixed_m,14,1,0.071428571429,0.049515566049,0.050355124495,0.016955444794,1.237889151
fixed_m,14,2,0.142857142857,0.188255099071,0.201420497981,0.069933823709,4.706377477
fixed_m,14,4,0.285714285714,0.611260466978,0.805681991926,0.318066577917,15.281511674
fixed_r_to_half,14,1,0.428571428571,0.950484433951,0.949644875505,0.016955444794,23.762110849
fixed_r_to_half,14,2,0.357142857143,0.811744900929,0.798579502019,0.069933823709,20.293622523
fixed_r_to_half,14,4,0.214285714286,0.388739533022,0.194318008074,0.318066577917,9.718488326
fixed_m,15,1,0.066666666667,0.043227271179,0.043864908449,0.014750810153,1.080681779
fixed_m,15,2,0.133333333333,0.165434696821,0.175459633797,0.060597547971,4.135867421
fixed_m,15,4,0.266666666667,0.552264231634,0.701838535189,0.270838296212,13.806605791
fixed_m,16,1,0.062500000000,0.038060233744,0.038553142192,0.012950746722,0.951505844
fixed_m,16,2,0.125000000000,0.146446609407,0.154212568767,0.053029287546,3.661165235
fixed_m,16,4,0.250000000000,0.500000000000,0.616850275068,0.233700550136,12.500000000
fixed_r_to_half,16,1,0.437500000000,0.961939766256,0.961446857808,0.012950746722,24.048494156
fixed_r_to_half,16,2,0.375000000000,0.853553390593,0.845787431233,0.053029287546,21.338834765
fixed_r_to_half,16,4,0.250000000000,0.500000000000,0.383149724932,0.233700550136,12.500000000
fixed_m,17,1,0.058823529412,0.033763885298,0.034150880281,0.011461802436,0.844097132
fixed_m,17,2,0.117647058824,0.130495541390,0.136603521122,0.046806041552,3.262388535
fixed_m,17,4,0.235294117647,0.453865820268,0.546414084489,0.203911068179,11.346645507
fixed_m,17,8,0.470588235294,0.991486549842,2.185656337958,1.204423588304,24.787163746
fixed_m,18,1,0.055555555556,0.030153689607,0.030461741979,0.010216075566,0.753842240
fixed_m,18,2,0.111111111111,0.116977778441,0.121846967915,0.041624909783,2.924444461
fixed_m,18,4,0.222222222222,0.413175911167,0.487387871659,0.179613473309,10.329397779
fixed_m,18,8,0.444444444444,0.969846310393,1.949551486635,1.010165389860,24.246157760
fixed_r_to_half,18,1,0.444444444444,0.969846310393,0.969538258021,0.010216075566,24.246157760
fixed_r_to_half,18,2,0.388888888889,0.883022221559,0.878153032085,0.041624909783,22.075555539
fixed_r_to_half,18,4,0.277777777778,0.586824088833,0.512612128341,0.179613473309,14.670602221
fixed_r_to_half,18,8,0.055555555556,0.030153689607,-0.949551486635,1.010165389860,0.753842240
fixed_m,19,1,0.052631578947,0.027091379150,0.027339624380,0.009163255540,0.677284479
fixed_m,19,2,0.105263157895,0.105429745302,0.109358497519,0.037264172516,2.635743633
fixed_m,19,4,0.210526315789,0.377257256430,0.437433990076,0.159511136289,9.431431411
fixed_m,19,8,0.421052631579,0.939736875603,1.749735960304,0.861942428492,23.493421890
fixed_m,20,1,0.050000000000,0.024471741852,0.024674011003,0.008265416966,0.611793546
fixed_m,20,2,0.100000000000,0.095491502813,0.098696044011,0.033558391103,2.387287570
fixed_m,20,4,0.200000000000,0.345491502813,0.394784176044,0.142674053717,8.637287570
fixed_m,20,8,0.400000000000,0.904508497187,1.579136704174,0.745850601829,22.612712430
fixed_r_to_half,20,1,0.450000000000,0.975528258148,0.975325988997,0.008265416966,24.388206454
fixed_r_to_half,20,2,0.400000000000,0.904508497187,0.901303955989,0.033558391103,22.612712430
fixed_r_to_half,20,4,0.300000000000,0.654508497187,0.605215823956,0.142674053717,16.362712430
fixed_r_to_half,20,8,0.100000000000,0.095491502813,-0.579136704174,0.745850601829,2.387287570
fixed_m,21,1,0.047619047619,0.022213597107,0.022380055331,0.007493528560,0.555339928
fixed_m,21,2,0.095238095238,0.086880612842,0.089520221325,0.030382019610,2.172015321
fixed_m,21,4,0.190476190476,0.317329487817,0.358080885300,0.128419825601,7.933237195
fixed_m,21,8,0.380952380952,0.866525935915,1.432323541201,0.652949417710,21.663148398
fixed_m,22,1,0.045454545455,0.020253513193,0.020391744630,0.006825059746,0.506337830
fixed_m,22,2,0.090909090909,0.079373233584,0.081566978521,0.027638346555,1.984330840
fixed_m,22,4,0.181818181818,0.292292493499,0.326267914086,0.116237745896,7.307312337
fixed_m,22,8,0.363636363636,0.827430366973,1.305071656342,0.577258592910,20.685759174
fixed_r_to_half,22,1,0.454545454545,0.979746486807,0.979608255370,0.006825059746,24.493662170
fixed_r_to_half,22,2,0.409090909091,0.920626766416,0.918433021479,0.027638346555,23.015669160
fixed_r_to_half,22,4,0.318181818182,0.707707506501,0.673732085914,0.116237745896,17.692687663
fixed_r_to_half,22,8,0.136363636364,0.172569633027,-0.305071656342,0.577258592910,4.314240826
fixed_m,23,1,0.043478260870,0.018541356326,0.018657097167,0.006242307110,0.463533908
fixed_m,23,2,0.086956521739,0.072790297727,0.074628388666,0.025251867306,1.819757443
fixed_m,23,4,0.173913043478,0.269967481134,0.298513554664,0.105738933482,6.749187028
fixed_m,23,8,0.347826086957,0.788340161057,1.194054218657,0.514643395886,19.708504026
fixed_m,24,1,0.041666666667,0.017037086855,0.017134729863,0.005731203249,0.425927171
fixed_m,24,2,0.083333333333,0.066987298108,0.068538919452,0.023162918763,1.674682453
fixed_m,24,4,0.166666666667,0.250000000000,0.274155677808,0.096622711232,6.250000000
fixed_m,24,8,0.333333333333,0.750000000000,1.096622711232,0.462163614976,18.750000000
fixed_r_to_half,24,1,0.458333333333,0.982962913145,0.982865270137,0.005731203249,24.574072829
fixed_r_to_half,24,2,0.416666666667,0.933012701892,0.931461080548,0.023162918763,23.325317547
fixed_r_to_half,24,4,0.333333333333,0.750000000000,0.725844322192,0.096622711232,18.750000000
fixed_r_to_half,24,8,0.166666666667,0.250000000000,-0.096622711232,0.462163614976,6.250000000
fixed_m,25,1,0.040000000000,0.015708419436,0.015791367042,0.005280455261,0.392710486
fixed_m,25,2,0.080000000000,0.061846659978,0.063165468167,0.021323838496,1.546166499
fixed_m,25,4,0.160000000000,0.232086602511,0.252661872668,0.088653416159,5.802165063
fixed_m,25,8,0.320000000000,0.712889645783,1.010647490672,0.417677331478,17.822241145
fixed_m,26,1,0.038461538462,0.014529091287,0.014600006510,0.004880912516,0.363227282
fixed_m,26,2,0.076923076923,0.057271987173,0.058400026042,0.019696171274,1.431799679
fixed_m,26,4,0.153846153846,0.215967626634,0.233600104168,0.081644076977,5.399190666
fixed_m,26,8,0.307692307692,0.677302443521,0.934400416671,0.379591090523,16.932561088
fixed_r_to_half,26,1,0.461538461538,0.985470908713,0.985399993490,0.004880912516,24.636772718
fixed_r_to_half,26,2,0.423076923077,0.942728012827,0.941599973958,0.019696171274,23.568200321
fixed_r_to_half,26,4,0.346153846154,0.784032373366,0.766399895832,0.081644076977,19.600809334
fixed_r_to_half,26,8,0.192307692308,0.322697556479,0.065599583329,0.379591090523,8.067438912
fixed_m,27,1,0.037037037037,0.013477564710,0.013538551991,0.004525096465,0.336939118
fixed_m,27,2,0.074074074074,0.053183679838,0.054154207962,0.018248607970,1.329591996
fixed_m,27,4,0.148148148148,0.201420704149,0.216616831848,0.075444715398,5.035517604
