N,m,eta,delta,k_star,lr_star,L_star_mm,geometry_status,platform_left_lr,platform_right_lr,platform_width_lr,platform_width_L_mm,passes_min_platform_width,final_status
9,1,0.900000,0.100000000000,0.111111111111,0.116977778441,2.924444461,too_short,0.095491502813,0.119797017200,0.024305514387,0.607637860,yes,screened_out
9,2,0.900000,0.100000000000,0.222222222222,0.413175911167,10.329397779,in_window,0.406309342707,0.421782767480,0.015473424773,0.386835619,yes,engineering_feasible
9,4,0.900000,0.100000000000,0.444444444444,0.969846310393,24.246157760,near_hemispherical_boundary,0.968117435320,0.975528258148,0.007410822828,0.185270571,yes,screened_out
15,1,0.900000,0.060000000000,0.066666666667,0.043227271179,1.080681779,too_short,0.035111757056,0.043837791384,0.008726034328,0.218150858,yes,screened_out
15,2,0.900000,0.060000000000,0.133333333333,0.165434696821,4.135867421,too_short,0.163493743245,0.167664157723,0.004170414478,0.104260362,yes,screened_out
15,4,0.900000,0.060000000000,0.266666666667,0.552264231634,13.806605791,in_window,0.547054156659,0.554157413382,0.007103256723,0.177581418,yes,engineering_feasible
15,7,0.900000,0.060000000000,0.466666666667,0.989073800367,24.726845009,near_hemispherical_boundary,0.988736301167,0.991143625364,0.002407324197,0.060183105,no,screened_out
30,1,0.900000,0.030000000000,0.033333333333,0.010926199633,0.273154991,too_short,0.008856374636,0.011001404625,0.002145029989,0.053625750,no,screened_out
30,7,0.900000,0.030000000000,0.233333333333,0.447735768366,11.193394209,in_window,0.446934712776,0.448348431930,0.001413719154,0.035342979,no,screened_out
30,11,0.900000,0.030000000000,0.366666666667,0.834565303179,20.864132579,near_hemispherical_boundary,0.833857224955,0.834974689012,0.001117464057,0.027936601,no,screened_out
30,13,0.900000,0.030000000000,0.433333333333,0.956772728821,23.919318221,near_hemispherical_boundary,0.956162208616,0.956957727946,0.000795519330,0.019887983,no,screened_out
50,1,0.900000,0.018000000000,0.020000000000,0.003942649343,0.098566234,too_short,0.003194344740,0.003958736919,0.000764392179,0.019109804,no,screened_out
50,3,0.900000,0.018000000000,0.060000000000,0.035111757056,0.877793926,too_short,0.034975825562,0.035181881511,0.000206055949,0.005151399,no,screened_out
50,7,0.900000,0.018000000000,0.140000000000,0.181288005126,4.532200128,too_short,0.181175430889,0.181980129384,0.000804698496,0.020117462,no,screened_out
50,9,0.900000,0.018000000000,0.180000000000,0.287110354217,7.177758855,in_window,0.286964591014,0.287627329027,0.000662738013,0.016568450,no,screened_out
50,11,0.900000,0.018000000000,0.220000000000,0.406309342707,10.157733568,in_window,0.406158813139,0.406995199681,0.000836386542,0.020909664,no,screened_out
50,13,0.900000,0.018000000000,0.260000000000,0.531395259765,13.284881494,in_window,0.531163005007,0.531667897973,0.000504892966,0.012622324,no,screened_out
50,17,0.900000,0.018000000000,0.340000000000,0.767913397489,19.197834937,in_window,0.766142695993,0.768026261717,0.001883565724,0.047089143,no,screened_out
50,19,0.900000,0.018000000000,0.380000000000,0.864484313711,21.612107843,near_hemispherical_boundary,0.864335964450,0.864689064456,0.000353100006,0.008827500,no,screened_out
50,21,0.900000,0.018000000000,0.420000000000,0.938153340022,23.453833501,near_hemispherical_boundary,0.938055660554,0.938312557211,0.000256896656,0.006422416,no,screened_out
50,23,0.900000,0.018000000000,0.460000000000,0.984291580564,24.607289514,near_hemispherical_boundary,0.984249321157,0.984411551565,0.000162230408,0.004055760,no,screened_out
