scenario,N,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,geometry_hard_fail_branches,w0_comfortable_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_branch_list,geometry_warning_branch_list,geometry_hard_fail_branch_list,w0_comfortable_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list
CURRENT_PLATFORM,5,2,2,2,0,0,0,2,2,"1,2","1,2",-,-,-,"1,2","1,2"
CURRENT_PLATFORM,6,1,1,1,0,0,0,1,1,1,1,-,-,-,1,1
CURRENT_PLATFORM,7,3,3,3,0,0,0,3,3,"1,2,3","1,2,3",-,-,-,"1,2,3","1,2,3"
CURRENT_PLATFORM,8,2,2,2,0,0,0,2,2,"1,3","1,3",-,-,-,"1,3","1,3"
CURRENT_PLATFORM,9,3,2,2,1,0,0,3,2,"2,4","2,4",1,-,-,"1,2,4","2,4"
CURRENT_PLATFORM,10,2,1,1,1,0,0,2,0,3,3,1,-,-,"1,3",-
CURRENT_PLATFORM,11,5,4,4,1,0,0,5,0,"2,3,4,5","2,3,4,5",1,-,-,"1,2,3,4,5",-
CURRENT_PLATFORM,12,2,1,1,1,0,0,2,0,5,5,1,-,-,"1,5",-
CURRENT_PLATFORM,13,6,4,4,2,0,0,6,0,"2,3,4,5","2,3,4,5","1,6",-,-,"1,2,3,4,5,6",-
CURRENT_PLATFORM,14,3,2,2,1,0,0,3,0,"3,5","3,5",1,-,-,"1,3,5",-
CURRENT_PLATFORM,15,4,2,2,2,0,0,4,0,"2,4","2,4","1,7",-,-,"1,2,4,7",-
CURRENT_PLATFORM,16,4,3,3,1,0,0,4,0,"3,5,7","3,5,7",1,-,-,"1,3,5,7",-
CURRENT_PLATFORM,17,8,6,6,2,0,0,8,0,"2,3,4,5,6,7","2,3,4,5,6,7","1,8",-,-,"1,2,3,4,5,6,7,8",-
CURRENT_PLATFORM,18,3,2,2,1,0,0,3,0,"5,7","5,7",1,-,-,"1,5,7",-
CURRENT_PLATFORM,19,9,6,6,3,0,0,9,0,"3,4,5,6,7,8","3,4,5,6,7,8","1,2,9",-,-,"1,2,3,4,5,6,7,8,9",-
CURRENT_PLATFORM,20,4,3,3,1,0,0,4,0,"3,7,9","3,7,9",1,-,-,"1,3,7,9",-
CURRENT_PLATFORM,21,6,3,3,3,0,0,6,0,"4,5,8","4,5,8","1,2,10",-,-,"1,2,4,5,8,10",-
CURRENT_PLATFORM,22,5,4,4,1,0,0,5,0,"3,5,7,9","3,5,7,9",1,-,-,"1,3,5,7,9",-
CURRENT_PLATFORM,23,11,8,8,3,0,0,11,0,"3,4,5,6,7,8,9,10","3,4,5,6,7,8,9,10","1,2,11",-,-,"1,2,3,4,5,6,7,8,9,10,11",-
CURRENT_PLATFORM,24,4,2,2,2,0,0,4,0,"5,7","5,7","1,11",-,-,"1,5,7,11",-
CURRENT_PLATFORM,25,10,7,7,3,0,0,10,0,"3,4,6,7,8,9,11","3,4,6,7,8,9,11","1,2,12",-,-,"1,2,3,4,6,7,8,9,11,12",-
CURRENT_PLATFORM,26,6,5,5,1,0,0,6,0,"3,5,7,9,11","3,5,7,9,11",1,-,-,"1,3,5,7,9,11",-
CURRENT_PLATFORM,27,9,6,6,3,0,0,9,0,"4,5,7,8,10,11","4,5,7,8,10,11","1,2,13",-,-,"1,2,4,5,7,8,10,11,13",-
CURRENT_PLATFORM,28,6,3,3,3,0,0,6,0,"5,9,11","5,9,11","1,3,13",-,-,"1,3,5,9,11,13",-
CURRENT_PLATFORM,29,14,10,10,4,0,0,14,0,"4,5,6,7,8,9,10,11,12,13","4,5,6,7,8,9,10,11,12,13","1,2,3,14",-,-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",-
CURRENT_PLATFORM,30,4,3,3,1,0,0,4,0,"7,11,13","7,11,13",1,-,-,"1,7,11,13",-
CURRENT_PLATFORM,31,15,11,11,4,0,0,15,0,"4,5,6,7,8,9,10,11,12,13,14","4,5,6,7,8,9,10,11,12,13,14","1,2,3,15",-,-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",-
CURRENT_PLATFORM,32,8,5,5,3,0,0,8,0,"5,7,9,11,13","5,7,9,11,13","1,3,15",-,-,"1,3,5,7,9,11,13,15",-
CURRENT_PLATFORM,33,10,7,7,3,0,0,10,0,"4,5,7,8,10,13,14","4,5,7,8,10,13,14","1,2,16",-,-,"1,2,4,5,7,8,10,13,14,16",-
CURRENT_PLATFORM,34,8,6,6,2,0,0,8,0,"5,7,9,11,13,15","5,7,9,11,13,15","1,3",-,-,"1,3,5,7,9,11,13,15",-
