scenario,N,tau0,rho,finesse,finesse_ceiling,delta,tau_eff,tau_margin,peak_headroom_ratio,platform_height_margin,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_branch_list,geometry_warning_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list,max_final_platform_width_L_mm,min_final_platform_width_L_mm,mean_final_platform_width_L_mm,pairwise_er_db,conservative_er_db,rho_is_boundary,final_exists
COMPARISON_RELAXED,5,3.000000000000,1.000000000000,15.000000000000,15,0.200000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,2,2,2,0,2,0,"1,2","1,2",-,"1,2",-,0.000000000,0.000000000,0.000000000,15.682017,11.684683,yes,no
COMPARISON_RELAXED,6,3.000000000000,1.000000000000,18.000000000000,18,0.166666666667,3.000000000000,0.000000000000,0.000000000000,0.000000000000,1,1,1,0,1,0,1,1,-,1,-,0.000000000,0.000000000,0.000000000,15.682017,11.492063,yes,no
COMPARISON_RELAXED,7,3.000000000000,1.000000000000,21.000000000000,21,0.142857142857,3.000000000000,0.000000000000,0.000000000000,0.000000000000,3,3,3,0,3,0,"1,2,3","1,2,3",-,"1,2,3",-,0.000000000,0.000000000,0.000000000,15.682017,11.307624,yes,no
COMPARISON_RELAXED,8,3.000000000000,1.000000000000,24.000000000000,24,0.125000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,2,2,2,0,2,0,"1,3","1,3",-,"1,3",-,0.000000000,0.000000000,0.000000000,15.682017,11.207085,yes,no
COMPARISON_RELAXED,9,3.000000000000,1.000000000000,27.000000000000,27,0.111111111111,3.000000000000,0.000000000000,0.000000000000,0.000000000000,3,3,3,0,3,0,"1,2,4","1,2,4",-,"1,2,4",-,0.000000000,0.000000000,0.000000000,15.682017,11.108821,yes,no
COMPARISON_RELAXED,10,3.000000000000,1.000000000000,30.000000000000,30,0.100000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,2,1,1,0,2,0,3,3,-,"1,3",-,0.000000000,0.000000000,0.000000000,15.682017,11.047041,yes,no
COMPARISON_RELAXED,11,3.000000000000,1.000000000000,33.000000000000,33,0.090909090909,3.000000000000,0.000000000000,0.000000000000,0.000000000000,5,4,4,0,5,0,"2,3,4,5","2,3,4,5",-,"1,2,3,4,5",-,0.000000000,0.000000000,0.000000000,15.682017,10.986127,yes,no
COMPARISON_RELAXED,12,3.000000000000,1.000000000000,36.000000000000,36,0.083333333333,3.000000000000,0.000000000000,0.000000000000,0.000000000000,2,1,1,0,2,0,5,5,-,"1,5",-,0.000000000,0.000000000,0.000000000,15.682017,10.944309,yes,no
COMPARISON_RELAXED,13,3.000000000000,1.000000000000,39.000000000000,39,0.076923076923,3.000000000000,0.000000000000,0.000000000000,0.000000000000,6,5,5,0,6,0,"2,3,4,5,6","2,3,4,5,6",-,"1,2,3,4,5,6",-,0.000000000,0.000000000,0.000000000,15.682017,10.902890,yes,no
COMPARISON_RELAXED,14,3.000000000000,1.000000000000,42.000000000000,42,0.071428571429,3.000000000000,0.000000000000,0.000000000000,0.000000000000,3,2,2,0,3,0,"3,5","3,5",-,"1,3,5",-,0.000000000,0.000000000,0.000000000,15.682017,10.872703,yes,no
