N,tau0,F_min_exact,F_rho_1p05_exact,F_rho_1p10_exact,F_rho_1p20_exact,F_min_ceiling,F_rho_1p05_ceiling,F_rho_1p10_ceiling,F_rho_1p20_ceiling,current_geometry_branches_at_rho_1p10,current_final_branches_at_rho_1p10,current_final_branch_list_at_rho_1p10,relaxed_geometry_branches_at_rho_1p10,relaxed_final_branches_at_rho_1p10,relaxed_final_branch_list_at_rho_1p10
9,3.0,27.000,28.350,29.700,32.400,27,29,30,33,2,2,"2,4",3,3,"1,2,4"
12,3.0,36.000,37.800,39.600,43.200,36,38,40,44,1,1,5,1,1,5
30,3.0,90.000,94.500,99.000,108.000,90,95,99,108,3,0,-,3,0,-
50,3.0,150.000,157.500,165.000,180.000,150,158,165,180,7,0,-,8,0,-
9,4.0,36.000,37.800,39.600,43.200,36,38,40,44,2,2,"2,4",3,3,"1,2,4"
12,4.0,48.000,50.400,52.800,57.600,48,51,53,58,1,1,5,1,1,5
30,4.0,120.000,126.000,132.000,144.000,120,126,132,144,3,0,-,3,0,-
50,4.0,200.000,210.000,220.000,240.000,200,210,220,240,7,0,-,8,0,-
9,5.0,45.000,47.250,49.500,54.000,45,48,50,54,2,2,"2,4",3,3,"1,2,4"
12,5.0,60.000,63.000,66.000,72.000,60,63,66,72,1,1,5,1,1,5
30,5.0,150.000,157.500,165.000,180.000,150,158,165,180,3,0,-,3,0,-
50,5.0,250.000,262.500,275.000,300.000,250,263,275,300,7,0,-,8,0,-
9,6.0,54.000,56.700,59.400,64.800,54,57,60,65,2,2,"2,4",3,3,"1,2,4"
12,6.0,72.000,75.600,79.200,86.400,72,76,80,87,1,1,5,1,1,5
30,6.0,180.000,189.000,198.000,216.000,180,189,198,216,3,0,-,3,0,-
50,6.0,300.000,315.000,330.000,360.000,300,315,330,360,7,0,-,8,0,-
