scenario,N,tau0,finesse_nominal,finesse_nominal_ceiling,finesse_actual,finesse_actual_ceiling,finesse_scale,finesse_relative_error,rho_nominal,rho_actual,reflectivity_nominal,reflectivity_actual,reflectivity_abs_error,rho_crosses_1p00,rho_crosses_1p05,rho_crosses_1p10,math_optimal_branches,geometry_engineering_branches,geometry_warning_branches,w0_experimental_ok_branches,w0_high_risk_branches,final_engineering_branches,geometry_warning_branch_list,w0_experimental_ok_branch_list,w0_high_risk_branch_list,final_branch_list,max_final_platform_width_L_mm,mean_final_platform_width_L_mm
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,25.515000000000,26,0.900000000000,-0.100000000000,1.050000000000,0.945000000000,0.895155409059,0.884219769368,-0.010935639691,no,no,no,3,2,2,0,3,0,"2,4",-,"1,2,4",-,0.000000000,0.000000000
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,26.932500000000,27,0.950000000000,-0.050000000000,1.050000000000,0.997500000000,0.895155409059,0.889958122936,-0.005197286123,no,no,no,3,2,2,0,3,0,"2,4",-,"1,2,4",-,0.000000000,0.000000000
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,27.783000000000,28,0.980000000000,-0.020000000000,1.050000000000,1.029000000000,0.895155409059,0.893136439932,-0.002018969127,yes,no,no,3,2,2,0,3,1,"2,4",-,"1,2,4",2,0.109000920,0.109000920
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,28.350000000000,29,1.000000000000,0.000000000000,1.050000000000,1.050000000000,0.895155409059,0.895155409059,0.000000000000,yes,yes,no,3,2,2,0,3,1,"2,4",-,"1,2,4",2,0.184183826,0.184183826
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,28.917000000000,29,1.020000000000,0.020000000000,1.050000000000,1.071000000000,0.895155409059,0.897099621010,0.001944211951,yes,yes,no,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.256425185,0.190363331
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,29.767500000000,30,1.050000000000,0.050000000000,1.050000000000,1.102500000000,0.895155409059,0.899884592717,0.004729183658,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.359637395,0.266158846
CURRENT_PLATFORM,9,3.000000000000,28.350000000000,29,31.185000000000,32,1.100000000000,0.100000000000,1.050000000000,1.155000000000,0.895155409059,0.904206102975,0.009050693916,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.519166938,0.382375136
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,26.730000000000,27,0.900000000000,-0.100000000000,1.100000000000,0.990000000000,0.899669074269,0.889173367550,-0.010495706719,no,no,no,3,2,2,0,3,0,"2,4",-,"1,2,4",-,0.000000000,0.000000000
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,28.215000000000,29,0.950000000000,-0.050000000000,1.100000000000,1.045000000000,0.899669074269,0.894681641616,-0.004987432653,yes,no,no,3,2,2,0,3,1,"2,4",-,"1,2,4",2,0.166556538,0.166556538
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,29.106000000000,30,0.980000000000,-0.020000000000,1.100000000000,1.078000000000,0.899669074269,0.897731791035,-0.001937283234,yes,yes,no,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.279881495,0.207630582
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,29.700000000000,30,1.000000000000,0.000000000000,1.100000000000,1.100000000000,0.899669074269,0.899669074269,0.000000000000,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.351661512,0.260318587
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,30.294000000000,31,1.020000000000,0.020000000000,1.100000000000,1.122000000000,0.899669074269,0.901534427646,0.001865353377,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.420631433,0.310727099
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,31.185000000000,32,1.050000000000,0.050000000000,1.100000000000,1.155000000000,0.899669074269,0.904206102975,0.004537028706,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.519166938,0.382375136
CURRENT_PLATFORM,9,3.000000000000,29.700000000000,30,32.670000000000,33,1.100000000000,0.100000000000,1.100000000000,1.210000000000,0.899669074269,0.908351028751,0.008681954482,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.671461908,0.492256703
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,27.945000000000,28,0.900000000000,-0.100000000000,1.150000000000,1.035000000000,0.903810648856,0.893721166136,-0.010089482720,yes,no,no,3,2,2,0,3,1,"2,4",-,"1,2,4",2,0.130792282,0.130792282
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,29.497500000000,30,0.950000000000,-0.050000000000,1.150000000000,1.092500000000,0.903810648856,0.899016923739,-0.004793725118,yes,yes,no,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.327515231,0.242620394
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,30.429000000000,31,0.980000000000,-0.020000000000,1.150000000000,1.127000000000,0.903810648856,0.901948752487,-0.001861896369,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.435931464,0.321880705
CURRENT_PLATFORM,9,3.000000000000,31.050000000000,32,31.050000000000,32,1.000000000000,0.000000000000,1.150000000000,1.150000000000,0.903810648856,0.903810648856,0.000000000000,yes,yes,yes,3,2,2,0,3,2,"2,4",-,"1,2,4","2,4",0.504600351,0.371810740
