reference_n_modes,reference_tau0,finesse_nominal,finesse_actual,finesse_scale,finesse_relative_error,rho_nominal,rho_actual,reflectivity_nominal,reflectivity_actual,reflectivity_abs_error,reflectivity_abs_error_pct_points,rho_crosses_1p00,rho_crosses_1p05,rho_crosses_1p10
9,3.000000000000,29.800000000000,26.940274707651,0.904036064015,-0.095963935985,1.103703703704,0.997787952135,0.899988031457,0.889988031457,-0.010000000000,-1.000,no,no,no
9,3.000000000000,29.800000000000,28.302166834572,0.949737142100,-0.050262857900,1.103703703704,1.048228401280,0.899988031457,0.894988031457,-0.005000000000,-0.500,yes,no,no
9,3.000000000000,29.800000000000,29.183274392583,0.979304509818,-0.020695490182,1.103703703704,1.080862014540,0.899988031457,0.897988031457,-0.002000000000,-0.200,yes,yes,no
9,3.000000000000,29.800000000000,29.488589021937,0.989549967179,-0.010450032821,1.103703703704,1.092169963775,0.899988031457,0.898988031457,-0.001000000000,-0.100,yes,yes,no
9,3.000000000000,29.800000000000,29.800000000000,1.000000000000,0.000000000000,1.103703703704,1.103703703704,0.899988031457,0.899988031457,0.000000000000,0.000,yes,yes,yes
9,3.000000000000,29.800000000000,30.117692057788,1.010660807308,0.010660807308,1.103703703704,1.115470076214,0.899988031457,0.900988031457,0.001000000000,0.100,yes,yes,yes
9,3.000000000000,29.800000000000,30.441857465394,1.021538841121,0.021538841121,1.103703703704,1.127476202422,0.899988031457,0.901988031457,0.002000000000,0.200,yes,yes,yes
9,3.000000000000,29.800000000000,31.455237905809,1.055544896168,0.055544896168,1.103703703704,1.165008811326,0.899988031457,0.904988031457,0.005000000000,0.500,yes,yes,yes
9,3.000000000000,29.800000000000,33.294113301618,1.117252124215,0.117252124215,1.103703703704,1.233115307467,0.899988031457,0.909988031457,0.010000000000,1.000,yes,yes,yes
9,3.000000000000,40.000000000000,35.130959713880,0.878273992847,-0.121726007153,1.481481481481,1.301146656070,0.924483899231,0.914483899231,-0.010000000000,-1.000,yes,yes,yes
9,3.000000000000,40.000000000000,37.414435958100,0.935360898952,-0.064639101048,1.481481481481,1.385719850300,0.924483899231,0.919483899231,-0.005000000000,-0.500,yes,yes,yes
9,3.000000000000,40.000000000000,38.925782484306,0.973144562108,-0.026855437892,1.481481481481,1.441695647567,0.924483899231,0.922483899231,-0.002000000000,-0.200,yes,yes,yes
9,3.000000000000,40.000000000000,39.455877473160,0.986396936829,-0.013603063171,1.481481481481,1.461328795302,0.924483899231,0.923483899231,-0.001000000000,-0.100,yes,yes,yes
9,3.000000000000,40.000000000000,40.000000000000,1.000000000000,0.000000000000,1.481481481481,1.481481481481,0.924483899231,0.924483899231,0.000000000000,0.000,yes,yes,yes
9,3.000000000000,40.000000000000,40.558714829340,1.013967870734,0.013967870734,1.481481481481,1.502174623309,0.924483899231,0.925483899231,0.001000000000,0.100,yes,yes,yes
9,3.000000000000,40.000000000000,41.132617454395,1.028315436360,0.028315436360,1.481481481481,1.523430276089,0.924483899231,0.926483899231,0.002000000000,0.200,yes,yes,yes
9,3.000000000000,40.000000000000,42.951913722198,1.073797843055,0.073797843055,1.481481481481,1.590811619341,0.924483899231,0.929483899231,0.005000000000,0.500,yes,yes,yes
9,3.000000000000,40.000000000000,46.354056097065,1.158851402427,0.158851402427,1.481481481481,1.716816892484,0.924483899231,0.934483899231,0.010000000000,1.000,yes,yes,yes
9,3.000000000000,95.000000000000,72.284819060495,0.760892832216,-0.239107167784,3.518518518519,2.677215520759,0.967472875919,0.957472875919,-0.010000000000,-1.000,yes,yes,yes
9,3.000000000000,95.000000000000,82.129435743075,0.864520376243,-0.135479623757,3.518518518519,3.041830953447,0.967472875919,0.962472875919,-0.005000000000,-0.500,yes,yes,yes
9,3.000000000000,95.000000000000,89.404526154899,0.941100275315,-0.058899724685,3.518518518519,3.311278746478,0.967472875919,0.965472875919,-0.002000000000,-0.200,yes,yes,yes
9,3.000000000000,95.000000000000,92.118828434916,0.969671878262,-0.030328121738,3.518518518519,3.411808460552,0.967472875919,0.966472875919,-0.001000000000,-0.100,yes,yes,yes
9,3.000000000000,95.000000000000,95.000000000000,1.000000000000,0.000000000000,3.518518518519,3.518518518519,0.967472875919,0.967472875919,0.000000000000,0.000,yes,yes,yes
9,3.000000000000,95.000000000000,98.063919530846,1.032251784535,0.032251784535,3.518518518519,3.631997019661,0.967472875919,0.968472875919,0.001000000000,0.100,yes,yes,yes
9,3.000000000000,95.000000000000,101.328546307659,1.066616276923,0.066616276923,3.518518518519,3.752909122506,0.967472875919,0.969472875919,0.002000000000,0.200,yes,yes,yes
9,3.000000000000,95.000000000000,112.545408188091,1.184688507243,0.184688507243,3.518518518519,4.168348451411,0.967472875919,0.972472875919,0.005000000000,0.500,yes,yes,yes
9,3.000000000000,95.000000000000,137.878477444752,1.451352394155,0.451352394155,3.518518518519,5.106610275732,0.967472875919,0.977472875919,0.010000000000,1.000,yes,yes,yes
9,3.000000000000,160.000000000000,105.117814163660,0.656986338523,-0.343013661477,5.925925925926,3.893252376432,0.980556865412,0.970556865412,-0.010000000000,-1.000,yes,yes,yes
9,3.000000000000,160.000000000000,126.946072309644,0.793412951935,-0.206587048065,5.925925925926,4.701706381839,0.980556865412,0.975556865412,-0.005000000000,-0.500,yes,yes,yes
9,3.000000000000,160.000000000000,144.928779668857,0.905804872930,-0.094195127070,5.925925925926,5.367732580328,0.980556865412,0.978556865412,-0.002000000000,-0.200,yes,yes,yes
9,3.000000000000,160.000000000000,152.095796403865,0.950598727524,-0.049401272476,5.925925925926,5.633177644588,0.980556865412,0.979556865412,-0.001000000000,-0.100,yes,yes,yes
9,3.000000000000,160.000000000000,160.000000000000,1.000000000000,0.000000000000,5.925925925926,5.925925925926,0.980556865412,0.980556865412,0.000000000000,0.000,yes,yes,yes
9,3.000000000000,160.000000000000,168.761302927228,1.054758143295,0.054758143295,5.925925925926,6.250418626934,0.980556865412,0.981556865412,0.001000000000,0.100,yes,yes,yes
9,3.000000000000,160.000000000000,178.527115573065,1.115794472332,0.115794472332,5.925925925926,6.612115391595,0.980556865412,0.982556865412,0.002000000000,0.200,yes,yes,yes
9,3.000000000000,160.000000000000,215.938091297048,1.349613070607,0.349613070607,5.925925925926,7.997707085076,0.980556865412,0.985556865412,0.005000000000,0.500,yes,yes,yes
9,3.000000000000,160.000000000000,331.110840266956,2.069442751668,1.069442751668,5.925925925926,12.263364454332,0.980556865412,0.990556865412,0.010000000000,1.000,yes,yes,yes
9,3.000000000000,180.000000000000,113.488039527581,0.630489108487,-0.369510891513,6.666666666667,4.203260723244,0.982698351630,0.972698351630,-0.010000000000,-1.000,yes,yes,yes
9,3.000000000000,180.000000000000,139.288528445503,0.773825158031,-0.226174841969,6.666666666667,5.158834386870,0.982698351630,0.977698351630,-0.005000000000,-0.500,yes,yes,yes
9,3.000000000000,180.000000000000,161.184470103560,0.895469278353,-0.104530721647,6.666666666667,5.969795189021,0.982698351630,0.980698351630,-0.002000000000,-0.200,yes,yes,yes
9,3.000000000000,180.000000000000,170.078217897341,0.944878988319,-0.055121011681,6.666666666667,6.299193255457,0.982698351630,0.981698351630,-0.001000000000,-0.100,yes,yes,yes
9,3.000000000000,180.000000000000,180.000000000000,1.000000000000,0.000000000000,6.666666666667,6.666666666667,0.982698351630,0.982698351630,0.000000000000,0.000,yes,yes,yes
9,3.000000000000,180.000000000000,191.139006123458,1.061883367353,0.061883367353,6.666666666667,7.079222449017,0.982698351630,0.983698351630,0.001000000000,0.100,yes,yes,yes
9,3.000000000000,180.000000000000,203.733882013797,1.131854900077,0.131854900077,6.666666666667,7.545699333844,0.982698351630,0.984698351630,0.002000000000,0.200,yes,yes,yes
