l,pos_meas,pos_fit,residual,m_l
0,0.0,0.0,0.0,0
1,0.22404326521256757,0.22250236377,0.001540901442567577,0
2,0.4472610603986591,0.44500472754,0.002256332858659116,0
3,0.6670212858913468,0.66750709131,0.0004858054186531735,0
4,0.8895108994291647,0.89000945508,0.0004985556508352307,0
5,0.11443289409324041,0.11251181884999983,0.0019210752432405748,-1
6,0.3361375489908033,0.33501418261999993,0.001123366370803347,-1
7,0.5577888529994599,0.55751654639,0.0002723066094598714,-1
8,0.7774134735151587,0.7800189101599999,0.0026054366448412525,-1
9,0.002296273926682385,0.00252127392999979,0.00022500000331740488,-2
