dataset_key,l,scan_direction,primary_label,reference_label,raw_lambda_center_nm,final_lambda_center_nm,delta_lambda_nm,raw_nu_center_ghz,final_nu_center_ghz,delta_nu_ghz,raw_fwhm_ghz,final_fwhm_ghz,delta_fwhm_ghz,raw_peak_power_uw,final_peak_power_uw,delta_peak_power_uw,raw_r_squared,final_r_squared
0p88mm_raw,0,Rising,raw,final,794.9747300653657,794.9747300653657,0.0,377109.4182771696,377109.4182771696,0.0,0.30624384127038046,0.3062438412726223,2.2418178424743473e-12,51.45625335011863,59.64928785693521,8.19303450681658,0.9999825950881134,0.9999825950881063
0p88mm_raw,0,Falling,raw,final,794.9957018987484,794.9957018987484,0.0,377099.47020340234,377099.47020340234,0.0,0.3118184135385838,0.3118184135397643,1.180500142083929e-12,59.01368879472779,59.01368880086726,6.1394658246172185e-09,0.9999617345881987,0.9999617345884346
0p88mm_raw,1,Rising,raw,final,794.990972387507,794.990972387507,0.0,377101.71362030314,377101.71362030314,0.0,0.3072136383639774,0.3072136383639774,0.0,144.36138603015792,144.36138603015792,0.0,0.9999657169449018,0.9999657169449018
0p88mm_raw,1,Falling,raw,final,794.9909801893953,794.9909801893953,0.0,377101.70991949964,377101.70991949964,0.0,0.3073467223884346,0.3073467223884346,0.0,142.66993388575628,142.66993388575628,0.0,0.9999666733425174,0.9999666733425174
0p88mm_raw,2,Rising,raw,final,794.9862816087941,794.9862816087941,0.0,377103.93869101413,377103.93869101413,0.0,0.3049723632274984,0.3049723632274984,0.0,173.85027905225698,173.85027905225698,0.0,0.9999805025280478,0.9999805025280478
0p88mm_raw,2,Falling,raw,final,794.9863171449973,794.9863171449973,0.0,377103.9218343187,377103.9218343187,0.0,0.30352606386770276,0.30352606386770276,0.0,171.17654777674102,171.17654777674102,0.0,0.9999400302805417,0.9999400302805417
0p88mm_raw,3,Rising,raw,final,794.981664595186,794.981664595186,0.0,377106.12879689224,377106.12879689224,0.0,0.310496480323646,0.3104964803120043,-1.164174312506816e-11,185.3002697163529,209.33922360924853,24.03895389289565,0.9999874882329945,0.9999874882330635
0p88mm_raw,3,Falling,raw,final,794.9817255642316,794.9817255642316,0.0,377106.0998757233,377106.0998757233,0.0,0.30925497855433254,0.30925497856704354,1.2710998920084648e-11,183.43599332712276,207.2330951382386,23.79710181111585,0.9999816113736077,0.9999816113737697
0p88mm_raw,4,Rising,raw,final,794.9770241173741,794.9770241173741,0.0,377108.33005877817,377108.33005877817,0.0,0.3089304620624624,0.308930462061913,-5.493938637357587e-13,189.24885623352358,219.28835719861056,30.039500965086972,0.999959397270077,0.9999593972709766
0p88mm_raw,4,Falling,raw,final,794.9770428882531,794.9770428882531,0.0,377108.32115455274,377108.32115455274,0.0,0.30982517715901675,0.3098251771447645,-1.4252266034020522e-11,188.25539899320617,218.1372083322972,29.881809339091035,0.9999885331927342,0.9999885331928714
0p88mm_raw,5,Rising,raw,final,794.9932641338431,794.9932641338431,0.0,377100.6265400604,377100.6265400604,0.0,0.3105951761656998,0.3105951761656998,0.0,218.29043831664558,218.29043831664558,0.0,0.9999524788498843,0.9999524788498843
0p88mm_raw,5,Falling,raw,final,794.993281575455,794.993281575455,0.0,377100.6182667292,377100.6182667292,0.0,0.30979026395279063,0.30979026395279063,0.0,215.68287612955305,215.68287612955305,0.0,0.999950573977771,0.999950573977771
0p88mm_raw,6,Rising,raw,final,794.9886084422085,794.9886084422085,0.0,377102.83495438704,377102.83495438704,0.0,0.30645173831409644,0.30645173831409644,0.0,213.80388362842635,213.80388362842635,0.0,0.9999742559439302,0.9999742559439302
0p88mm_raw,6,Falling,raw,final,794.9886469000782,794.9886469000782,0.0,377102.816711898,377102.816711898,0.0,0.3078243675156434,0.3078243675156434,0.0,209.25120620985254,209.25120620985254,0.0,0.999964235145975,0.999964235145975
0p88mm_raw,7,Rising,raw,final,794.9839854699711,794.9839854699711,0.0,377105.02787395334,377105.02787395334,0.0,0.3073556944673303,0.3073556944673303,0.0,202.10796578070054,202.10796578070054,0.0,0.9998963401093949,0.9998963401093949
0p88mm_raw,7,Falling,raw,final,794.9839818555077,794.9839818555077,0.0,377105.0295884939,377105.0295884939,0.0,0.3087098601080498,0.3087098601080498,0.0,198.46622380754326,198.46622380754326,0.0,0.9999130047923568,0.9999130047923568
0p88mm_raw,8,Rising,raw,final,795.0002543498615,794.9996662663063,-0.0005880835551579366,377097.31079918396,377097.5897486434,0.2789494594326243,0.3068366367936188,0.17637895554426208,-0.1304576812493567,222.2601509337043,50.54447023128594,-171.71568070241835,0.999966789104711,0.9851509650294973
0p88mm_raw,8,Falling,raw,final,795.0002654284639,794.9996946754636,-0.0005707530002609928,377097.3055442031,377097.5762731354,0.27072893228614703,0.3050100828917985,0.19382035530154054,-0.11118972759025794,221.69566269336144,51.938057663171435,-169.75760503019,0.9999816140005776,0.9861954424738851
0p88mm_raw,9,Rising,raw,final,794.9746996303835,794.9746996303835,0.0,377109.43271450757,377109.43271450757,0.0,0.3027279412773352,0.30272794102126943,-2.560657796912835e-10,182.3320549641589,211.22620576015092,28.894150795992005,0.9999595480391847,0.9999595480392376
0p88mm_raw,9,Falling,raw,final,794.9956356457086,794.9956356457086,0.0,377099.5016299726,377099.5016299726,0.0,0.31279891170225715,0.31279891170321655,9.59399226729829e-13,208.31621179443883,208.31621182067562,2.62367905179417e-08,0.9999373805706632,0.9999373805717379
