l,rising_lambda_nm,falling_lambda_nm,merged_lambda_nm,rising_nu_ghz,falling_nu_ghz,merged_nu_ghz,rising_falling_lambda_diff_nm,rising_falling_nu_diff_ghz,falling_branch_shift_fsr,m_l,k_fit_role,used_in_k_relative_fit
0,794.9747300653657,794.9957018987484,794.9747644259032,377109.4182771696,377099.47020340234,377109.40197768074,6.87210780370151e-05,0.032598977675661445,1,0,reference,False
1,794.990972387507,794.9909801893953,794.9909762884511,377101.71362030314,377101.70991949964,377101.7117699014,7.801888159519876e-06,0.0037008034996688366,0,-1,anchor,True
2,794.9862816087941,794.9863171449973,794.9862993768953,377103.93869101413,377103.9218343187,377103.9302626664,3.553620319962647e-05,0.016856695408932865,0,-1,anchor,True
3,794.981664595186,794.9817255642316,794.9816950797076,377106.12879689224,377106.0998757233,377106.11433630774,6.0969045648562314e-05,0.02892116893781349,0,-1,anchor,True
4,794.9770241173741,794.9770428882531,794.9770335028136,377108.33005877817,377108.32115455274,377108.32560666546,1.8770879023577436e-05,0.00890422542579472,0,-1,anchor,True
5,794.9932641338431,794.993281575455,794.993272854649,377100.6265400604,377100.6182667292,377100.6224033948,1.7441611817048397e-05,0.00827333121560514,0,-2,anchor,True
6,794.9886084422085,794.9886469000782,794.9886276711429,377102.83495438704,377102.816711898,377102.8258331425,3.845786966394371e-05,0.01824248902266845,0,-2,anchor,True
7,794.9839854699711,794.9839818555077,794.9839836627393,377105.02787395334,377105.0295884939,377105.02873122366,3.6144632531431853e-06,0.001714540587272495,0,-2,anchor,True
8,795.0002543498615,795.0002654284639,795.0002598891626,377097.31079918396,377097.3055442031,377097.3081716935,1.1078602369707369e-05,0.0052549808751791716,0,-3,anchor,True
9,794.9746996303835,794.9956356457086,794.9747160836354,377109.43271450757,377099.5016299726,377109.42490963486,3.29065043160881e-05,0.015609745401889086,1,-2,holdout,False
