l,lambda_center_nm,nu_center_ghz,fwhm_ghz,fwhm_nm,finesse,falling_branch_shift_fsr,rising_falling_lambda_diff_nm,rising_falling_fwhm_diff_ghz
0,794.9747644259032,377109.40197768074,0.30903112740448213,0.0006514779654738687,32.08568299534881,1,6.87210780370151e-05,0.005574572268203348
1,794.9909762884511,377101.7117699014,0.30728018037620597,0.0006477959737847796,32.268513958355065,0,7.801888159519876e-06,0.00013308402445716405
2,794.9862993768953,377103.9302626664,0.3042492135476006,0.0006413986620939384,32.58997672986314,0,3.553620319962647e-05,0.001446299359795622
3,794.9816950797076,377106.11433630774,0.3098757294389893,0.0006532525547860227,31.99822976632218,0,6.0969045648562314e-05,0.00124150176931348
4,794.9770335028136,377108.32560666546,0.30937781961073957,0.0006521952568362084,32.049727424128704,0,1.8770879023577436e-05,0.000894715096554366
5,794.993272854649,377100.6224033948,0.31019272005924525,0.0006539398533921537,31.965530292592483,0,1.7441611817048397e-05,0.0008049122129091812
6,794.9886276711429,377102.8258331425,0.30713805291486995,0.0006474925205859181,32.28344614251936,0,3.845786966394371e-05,0.0013726292015469599
7,794.9839836627393,377105.02873122366,0.3080327772876901,0.000649371145243872,32.18967434863211,0,3.6144632531431853e-06,0.0013541656407194957
8,795.0002598891626,377097.3081716935,0.30592335984270863,0.0006449506408575782,32.411630137343984,0,1.1078602369707369e-05,0.0018265539018202936
9,794.9747160836354,377109.42490963486,0.30776342648979615,0.0006488055327038551,32.217846359090395,1,3.29065043160881e-05,0.010070970424921943
