l,fit_role,used_in_k_relative_fit,pos_meas,pos_fit,residual,residual_percent_fsr,residual_mhz,m_l
0,reference,False,0.0,0.0,0.0,0.0,0.0,0
1,anchor,True,0.22348042253973666,0.221838108471,0.001642314068736661,0.1642314068736661,16.29074778460829,-1
2,anchor,True,0.4440867994273844,0.443676216942,0.000410582485384392,0.0410582485384392,4.072726308263305,-1
3,anchor,True,0.6647834476932577,0.665514325413,0.00073087771974234,0.073087771974234,7.249858489534289,-1
4,anchor,True,0.88748093621781,0.887352433884,0.00012850233381000997,0.012850233381000997,1.2746642981891692,-1
5,anchor,True,0.1093155423563089,0.10919054235499992,0.0001250000013089808,0.012500000130898081,1.2399233089239479,-1
6,anchor,True,0.3322384511137082,0.3310286508260001,0.0012098002877081182,0.12098002877081182,12.000476481310404,-2
7,anchor,True,0.553043293788182,0.552866759297,0.00017653449118193443,0.017653449118193443,1.7511138252266818,-2
8,anchor,True,0.7733703824543278,0.774704867768,0.0013344853136721957,0.13344853136721957,13.237275428092014,-2
9,holdout,False,0.9974030203985063,0.9965429762389999,0.0008600441595063568,0.08600441595063568,8.531110311270222,-2
