l,rising_lambda_nm,falling_lambda_nm,merged_lambda_nm,rising_nu_ghz,falling_nu_ghz,merged_nu_ghz,rising_falling_lambda_diff_nm,rising_falling_nu_diff_ghz,falling_branch_shift_fsr,m_l,k_fit_role,used_in_k_relative_fit
0,794.974449702536,794.9953711178766,794.9744547398052,377109.5512719641,377099.62710656936,377109.5488824505,1.0074538295157254e-05,0.004779027192853391,1,0,reference,False
1,794.9906986803745,794.9906867389617,794.990692709668,377101.84345255006,377101.8491169294,377101.84628473973,1.194141282212513e-05,0.005664379335939884,0,-1,anchor,True
2,794.9860806850676,794.9860783034474,794.9860794942576,377104.03399976285,377104.0351294916,377104.0345646272,2.3816201064619236e-06,0.0011297287419438362,0,-1,anchor,True
3,794.9814695467896,794.9814593426248,794.9814644447073,377106.22131973517,377106.2261601676,377106.2237399514,1.0204164823335304e-05,0.004840432433411479,0,-1,anchor,True
4,794.976804947809,794.9768102708666,794.9768076093379,377108.4340249168,377108.4314998495,377108.43276238313,5.323057621353655e-06,0.002525067306123674,0,-1,anchor,True
5,794.9721641974351,794.9721735465137,794.9721688719743,377110.6354430105,377110.63100809173,377110.6332255511,9.349078595732863e-06,0.004434918751940131,0,-1,anchor,True
6,794.9884215307204,794.9884152831164,794.9884184069183,377102.92361586954,377102.92657942185,377102.9250976457,6.2476040056935744e-06,0.002963552309665829,0,-2,anchor,True
7,794.983794416025,794.9838077194321,794.9838010677285,377105.1185014657,377105.1121909184,377105.11534619203,1.3303407058629091e-05,0.00631054729456082,0,-2,anchor,True
8,794.9791674163937,794.9792201286224,794.9791937725071,377107.31335803034,377107.28835339315,377107.30085571174,5.271222869396297e-05,0.025004637194797397,0,-2,anchor,True
9,794.974510606262,794.9745074831485,794.9745090447053,377109.5223812557,377109.52386275714,377109.52312200645,3.123113515357545e-06,0.0014815014437772334,0,-2,holdout,False
