l,lambda_center_nm,nu_center_ghz,fwhm_ghz,fwhm_nm,finesse,falling_branch_shift_fsr,rising_falling_lambda_diff_nm,rising_falling_fwhm_diff_ghz
0,794.9744547398052,377109.5488824505,0.3069312990061591,0.0006470506572027195,32.31793694431352,1,1.0074538295157254e-05,0.0020019755732229583
1,794.990692709668,377101.84628473973,0.30544840046847643,0.0006439338281549532,32.47483487326696,0,1.194141282212513e-05,0.0011621689839327876
2,794.9860794942576,377104.0345646272,0.3049016487386152,0.0006427737285907474,32.53306897012204,0,2.3816201064619236e-06,0.0014046141191722539
3,794.9814644447073,377106.2237399514,0.30796837338556204,0.0006492312591565314,32.20910724848581,0,1.0204164823335304e-05,0.0004420102762150435
4,794.9768076093379,377108.43276238313,0.3054785426509651,0.0006439748770787314,32.47163051596401,0,5.323057621353655e-06,0.001387005792371776
5,794.9721688719743,377110.6332255511,0.3089438415089101,0.0006512724227998336,32.10740929183148,0,9.349078595732863e-06,0.0043654265212986765
6,794.9884184069183,377102.9250976457,0.3049734964457683,0.0006429289762634627,32.525404610958375,0,6.2476040056935744e-06,0.005270087872464246
7,794.9838010677285,377105.11534619203,0.30117638448008865,0.0006349167306835806,32.935471964844844,0,1.3303407058629091e-05,0.005087761259514656
8,794.9791937725071,377107.30085571174,0.3045999817176386,0.000642126650043998,32.56528878164041,0,5.271222869396297e-05,0.0031642449474711953
9,794.9745090447053,377109.52312200645,0.30291337580014793,0.0006385635934889949,32.7466106153786,0,3.123113515357545e-06,0.008909518786900716
