l,lambda_center_nm,nu_center_ghz,fwhm_ghz,fwhm_nm,finesse,rising_falling_lambda_diff_nm,rising_falling_fwhm_diff_ghz
0,794.98491044216,377104.58917410916,0.3073887903942466,0.0006480150587630318,32.26976250440694,0.020921377860304347,0.00023194973448531497
1,794.9906927234277,377101.84627821285,0.3048904067599782,0.000642757488647717,32.53419275454009,1.2158945537521504e-05,0.0005524824001984507
2,794.9860795277087,377104.0345487596,0.30377412802195736,0.0006403967631627523,32.653746147276486,2.570822289271746e-06,0.0019574956632105733
3,794.9814645077176,377106.22371006187,0.3064793714456322,0.0006460922791452191,32.365516855997946,1.0406924957351293e-05,0.0006586439192504123
4,794.9768077800786,377108.4326813899,0.3022462584027135,0.0006371609458709969,32.818812431162286,5.2991193797424785e-06,0.001984636244021565
5,794.972168994599,377110.63316738175,0.30448717630353306,0.0006418775014773034,32.577277581801944,9.33013393478177e-06,0.004489177920404652
6,794.9884186310558,377102.9249913262,0.29876658421151575,0.0006298438929530836,33.20104652505824,6.3439023278988316e-06,0.0004992113037980417
7,794.9838012543075,377105.1152576873,0.2957073462510148,0.000623387328058257,33.544527683526304,1.3330446904546989e-05,0.0024208101206135146
8,794.9791940360883,377107.3007306794,0.29807058059777886,0.0006283620321347035,33.27857194979134,5.253554229511792e-05,0.004169718488151175
9,794.974509345392,377109.5229793706,0.2984913402859497,0.0006292416190433849,33.2316617729569,3.2052669212134788e-06,0.0053327262286668176
