l,fit_role,used_in_k_relative_fit,pos_meas,pos_fit,residual,residual_percent_fsr,residual_mhz,m_l
0,reference,False,0.0,0.0,0.0,0.0,0.0,0
1,anchor,True,0.2234804468294389,0.221870127861,0.0016103189684389119,0.1610318968438912,15.973369817394504,-1
2,anchor,True,0.444086877169508,0.443740255722,0.00034662144750802204,0.034662144750802204,3.438270725366712,-1
3,anchor,True,0.6647838054128866,0.665610383583,0.0008265781701133346,0.08265781701133346,8.199145047024507,-1
4,anchor,True,0.8874805114443636,0.887480511444,3.6359804056473877e-13,3.6359804056473877e-11,3.6066680456797375e-09,-1
5,anchor,True,0.10931530802728931,0.10935063930499989,3.5331277710576314e-05,0.0035331277710576314,0.3504644583173536,-1
6,anchor,True,0.33223812278630516,0.3312207671659999,0.0010173556203052492,0.10173556203052492,10.091539550511731,-2
7,anchor,True,0.553042701222412,0.5530908950269999,4.8193804587981504e-05,0.00481938045879815,0.47805278251013533,-2
8,anchor,True,0.7742121770241551,0.774961022888,0.000748845863844827,0.0748845863844827,7.428088567456655,-2
9,holdout,False,0.9974022287078429,0.996831150749,0.0005710779588429249,0.05710779588429249,5.664740719041519,-2
