dataset_key,l,scan_direction,source,candidate_rank,fit_model,selected,branch_role,lambda_center_nm,lambda_center_err_nm,nu_center_ghz,nu_center_err_ghz,fwhm_nm,fwhm_err_nm,fwhm_ghz,fwhm_err_ghz,finesse_with_final_fsr,peak_power_uw,baseline_uw,amplitude_uw,prominence_uw,r_squared,residual_rms_uw,window_lambda_min_nm,window_lambda_max_nm,peak_index
0p98mm_raw,0,Falling,final,1,lorentz,True,final_validation,794.9953711196986,1.0321245497920055e-08,377099.62710570515,4.895799359246924e-06,0.0006491037530397195,4.90366104751212e-08,0.3078971175384832,2.3260119739630176e-05,32.216548804480155,3.235204065394591,-0.007907395591357825,3.243111895166937,3.022429887909617,0.9999686894327605,0.005318433810355877,794.9941719422918,794.9965716805237,12571
0p98mm_raw,0,Falling,raw,2,lorentz,True,selected,794.9953711196986,1.0321245545258503e-08,377099.62710570515,4.895799381701533e-06,0.000649103753046037,4.9036610700161754e-08,0.30789711754147986,2.3260119846376347e-05,32.21654880416661,3.2352040649627223,-0.007907395717728452,3.2431118948614386,3.2105659884702957,0.9999686894324734,0.005318433834226363,794.9941719422918,794.9965716805237,293420
0p98mm_raw,0,Falling,raw,1,lorentz,False,candidate,794.9744609504239,3.073426591230754e-08,377109.5459363388,1.4579317490300833e-05,0.0006509748753753049,1.412912875912676e-07,0.3088009133969589,6.702390570459642e-05,32.122257686414585,2.741634307477992,-0.010803194425499402,2.752437502041745,2.717921558133941,0.9997022222025453,0.013469016005189459,794.9732617461988,794.9756616812833,74447
0p98mm_raw,0,Falling,raw,2,lorentz,False,candidate,794.9953711196986,1.0321245545258503e-08,377099.62710570515,4.895799381701533e-06,0.000649103753046037,4.9036610700161754e-08,0.30789711754147986,2.3260119846376347e-05,32.21654880416661,3.2352040649627223,-0.007907395717728452,3.2431118948614386,3.2105659884702957,0.9999686894324734,0.005318433834226363,794.9941719422918,794.9965716805237,293420
0p98mm_raw,0,Rising,final,1,lorentz,True,final_validation,794.9744497084546,2.2341851754697675e-08,377109.55126915657,1.0598234563168572e-05,0.0006452537152533496,1.0577282507915796e-07,0.3060869932400784,5.017512527188839e-05,32.4070696664888,3.2718407266623477,0.0030120550368725888,3.268828689554858,3.0474917125606305,0.9998523859085237,0.011638530899207319,794.9732511523463,794.9756509860712,12566
0p98mm_raw,0,Rising,raw,1,lorentz,True,selected,794.9744497084547,2.234185186282658e-08,377109.5512691565,1.0598234614461338e-05,0.0006452537152396846,1.0577282559045337e-07,0.306086993233596,5.0175125514429985e-05,32.40706966717513,2.8072263396519483,0.00258433135775187,2.804642023677682,2.780843092599271,0.9998523859070917,0.009985813302596683,794.9732511523463,794.9756509860712,41379
0p98mm_raw,0,Rising,raw,1,lorentz,False,candidate,794.9744497084547,2.234185186282658e-08,377109.5512691565,1.0598234614461338e-05,0.0006452537152396846,1.0577282559045337e-07,0.306086993233596,5.0175125514429985e-05,32.40706966717513,2.8072263396519483,0.00258433135775187,2.804642023677682,2.780843092599271,0.9998523859070917,0.009985813302596683,794.9732511523463,794.9756509860712,41379
0p98mm_raw,0,Rising,raw,2,lorentz,False,candidate,794.9953622040684,1.1797653017982223e-08,377099.63133476226,5.596121455806115e-06,0.0006490106974245804,5.604073306608892e-08,0.30785298426470964,2.6582469261660055e-05,32.22116731344743,3.2619285105285534,-0.006895902137013539,3.2688245172442354,3.2419944526576807,0.9999590883651426,0.006127822341344743,794.9941761439823,794.9965760732001,260509
0p98mm_raw,1,Falling,final,1,lorentz,True,final_validation,794.99068672163,5.811082537232716e-08,377101.84912515065,2.7564725056667845e-05,0.0006426060749401186,2.744395577119141e-07,0.3048185886532608,0.00013017971960530578,32.54192127114947,2.946924820211687,-0.004584085591420793,2.9515089113165365,2.733953703526472,0.9989978117963729,0.027389388252088656,794.989486770908,794.9918867001259,12566
0p98mm_raw,1,Falling,raw,2,lorentz,True,selected,794.99068672163,5.811082537258526e-08,377101.84912515065,2.7564725056790275e-05,0.0006426060749399783,2.744395577114821e-07,0.30481858865319417,0.0001301797196051009,32.54192127115658,2.946924820214743,-0.004584085592788435,2.9515089113209596,2.920653632670287,0.9989978117963729,0.027389388252088656,794.989486770908,794.9918867001259,387993
0p98mm_raw,1,Falling,raw,1,lorentz,False,candidate,794.9705269231498,2.1711507930618704e-06,377111.4121177741,0.0010299321971861447,0.000737877345491672,4.807244064241575e-06,0.3500280303536068,0.002280419884844584,28.3388233334242,0.3592142824091594,0.047656751516714224,0.3115575308924452,0.3501424894624173,0.9495120167598319,0.02103716033463479,794.9705269231497,794.9717268936253,0
0p98mm_raw,1,Falling,raw,2,lorentz,False,candidate,794.99068672163,5.811082537258526e-08,377101.84912515065,2.7564725056790275e-05,0.0006426060749399783,2.744395577114821e-07,0.30481858865319417,0.0001301797196051009,32.54192127115658,2.946924820214743,-0.004584085592788435,2.9515089113209596,2.920653632670287,0.9989978117963729,0.027389388252088656,794.989486770908,794.9918867001259,387993
0p98mm_raw,1,Rising,final,1,lorentz,True,final_validation,794.9906986999383,4.9877252415239167e-08,377101.84344327,2.3659149550341073e-05,0.0006449058299468966,2.3607856131761232e-07,0.3059094624855207,0.00011198327328343817,32.42587670659848,2.980648061170291,-0.009094049477567362,2.989742132871266,2.7768490063478164,0.9992642688567079,0.023771038168981115,794.9894986120357,794.9918983502678,12564
0p98mm_raw,1,Rising,raw,2,lorentz,True,selected,794.9906986999383,4.98772524153078e-08,377101.84344327,2.3659149550373626e-05,0.0006449058299468006,2.3607856131467385e-07,0.3059094624854752,0.00011198327328204432,32.425876706603304,2.980648061172569,-0.009094049478610953,2.989742132874588,2.9645777768966273,0.9992642688567079,0.023771038168981167,794.9894986120357,794.9918983502678,211519
0p98mm_raw,1,Rising,raw,1,lorentz,False,candidate,794.970679502748,8.642819612408442e-07,377111.3397383654,0.0004099906282318555,0.0005041386794178639,3.8144724984763765e-06,0.23914896198199187,0.0018094765899986924,41.47784055480971,0.3288736927865896,0.06848941695664815,0.2603842781958812,0.33639784832419606,0.8945487867116554,0.0298828721121308,794.9705,794.9717966989833,1014
0p98mm_raw,1,Rising,raw,2,lorentz,False,candidate,794.9906986999383,4.98772524153078e-08,377101.84344327,2.3659149550373626e-05,0.0006449058299468006,2.3607856131467385e-07,0.3059094624854752,0.00011198327328204432,32.425876706603304,2.980648061172569,-0.009094049478610953,2.989742132874588,2.9645777768966273,0.9992642688567079,0.023771038168981167,794.9894986120357,794.9918983502678,211519
0p98mm_raw,1,Rising,raw,3,lorentz,False,candidate,794.9953853126112,6.116226789709137e-07,377099.62037341186,0.000290118262712942,0.0007899411185954537,3.3063951619065408e-06,0.37470216990323507,0.0015683617583127916,26.47271169125852,0.07021462232464311,0.002260642879784554,0.0679539800314093,0.04765083498150583,0.9167409021477081,0.005975971858461092,794.9942450899036,794.9966447326426,261225
0p98mm_raw,2,Falling,final,1,lorentz,True,final_validation,794.9860782871438,4.947695390524491e-08,377104.0351372253,2.3469541761242294e-05,0.0006410481607230231,2.333233309938722e-07,0.3040831213633316,0.00011067762318432356,32.62062843036001,3.3592718077561297,-0.0049089685820947904,3.364181501644381,3.12017207088919,0.999271389243143,0.026613230227273594,794.9848771344602,794.9872767771992,12566
0p98mm_raw,2,Falling,raw,3,lorentz,True,selected,794.9860782871438,4.9476953905578536e-08,377104.0351372253,2.346954176140055e-05,0.0006410481607232151,2.3332333099257987e-07,0.3040831213634227,0.00011067762318371054,32.62062843035024,3.359271807751463,-0.004908968580022422,3.364181501637642,3.331909002498304,0.999271389243143,0.026613230227273584,794.9848771344602,794.9872767771992,215886
0p98mm_raw,2,Falling,raw,2,lorentz,False,candidate,794.9767776158833,6.111256089211112e-08,377108.4469902008,2.8989605204233397e-05,0.0006744177517277815,2.9539363003712306e-07,0.3199195726690434,0.000140124134705129,31.00586322737716,0.4177592655326233,-0.005158720546991466,0.4229179861333463,0.38879202636100463,0.998945929680435,0.004028163762753902,794.9755712435781,794.9779711786626,118437
0p98mm_raw,2,Falling,raw,3,lorentz,False,candidate,794.9860782871438,4.9476953905578536e-08,377104.0351372253,2.346954176140055e-05,0.0006410481607232151,2.3332333099257987e-07,0.3040831213634227,0.00011067762318371054,32.62062843035024,3.359271807751463,-0.004908968580022422,3.364181501637642,3.331909002498304,0.999271389243143,0.026613230227273584,794.9848771344602,794.9872767771992,215886
0p98mm_raw,2,Falling,raw,4,lorentz,False,candidate,794.9976656449104,6.783874635329175e-08,377098.53871936246,3.2178575137862183e-05,0.0006471114702797306,3.216935407984338e-07,0.3069503224680151,0.00015259184950202197,32.315921463059965,0.49092030181151103,0.0019367458878219526,0.4889836012627829,0.46684454375517137,0.9986448141462324,0.005278783180609501,794.9964782884032,794.9988780266351,337375
0p98mm_raw,2,Rising,final,1,lorentz,True,final_validation,794.9860807049523,5.1724865974033714e-08,377104.0339903305,2.4535845456716295e-05,0.0006441356659955872,2.4462838288984056e-07,0.3055476869086658,0.00011604020781657862,32.46426969974872,3.4124232434120554,-0.003083749553646854,3.4155070101573215,3.1641079299698163,0.999207773373977,0.02817891900281698,794.9848845829116,794.9872844166365,12566
