mode_i,mode_j,pos_i,pos_j,s_ij
1,4,0.25332666666666664,0.013306666666666578,0.24002000000000007
1,10,0.25332666666666664,0.5332666666666666,0.2799399999999999
1,15,0.25332666666666664,0.7998999999999996,0.4534266666666671
1,37,0.25332666666666664,0.3730866666666657,0.11975999999999903
1,40,0.25332666666666664,0.13306666666666622,0.12026000000000042
1,46,0.25332666666666664,0.6530266666666655,0.3996999999999989
4,10,0.013306666666666578,0.5332666666666666,0.48004
4,15,0.013306666666666578,0.7998999999999996,0.21340666666666697
4,37,0.013306666666666578,0.3730866666666657,0.3597799999999991
4,40,0.013306666666666578,0.13306666666666622,0.11975999999999964
4,46,0.013306666666666578,0.6530266666666655,0.36028000000000104
10,15,0.5332666666666666,0.7998999999999996,0.26663333333333306
10,37,0.5332666666666666,0.3730866666666657,0.16018000000000088
10,40,0.5332666666666666,0.13306666666666622,0.40020000000000033
10,46,0.5332666666666666,0.6530266666666655,0.11975999999999898
15,37,0.7998999999999996,0.3730866666666657,0.42681333333333393
15,40,0.7998999999999996,0.13306666666666622,0.3331666666666666
15,46,0.7998999999999996,0.6530266666666655,0.14687333333333408
37,40,0.3730866666666657,0.13306666666666622,0.24001999999999946
37,46,0.3730866666666657,0.6530266666666655,0.27993999999999986
40,46,0.13306666666666622,0.6530266666666655,0.4800400000000007
