N_start,Delta_ord,M,mode_set,exact_best_s_min,predicted_best_s_min,matches_best_value,exact_best_branch_count,exact_best_branch_family,predicted_full_branch_count,predicted_full_branch_family,predicted_full_family_matches_exact_search,predicted_minimal_subfamily_count,predicted_minimal_subfamily,minimal_subfamily_contained_in_exact_search,full_family_strictly_larger_than_minimal_subfamily
1,1,5,"1,2,3,4,5",1/5,1/5,True,2,"1/5,2/5",2,"1/5,2/5",True,2,"1/5,2/5",True,False
1,2,5,"1,3,5,7,9",1/5,1/5,True,4,"1/10,1/5,3/10,2/5",4,"1/10,1/5,3/10,2/5",True,4,"1/10,1/5,3/10,2/5",True,False
1,3,5,"1,4,7,10,13",1/5,1/5,True,6,"1/15,2/15,1/5,4/15,2/5,7/15",6,"1/15,2/15,1/5,4/15,2/5,7/15",True,4,"1/15,2/15,1/5,4/15",True,True
3,3,5,"3,6,9,12,15",1/5,1/5,True,6,"1/15,2/15,1/5,4/15,2/5,7/15",6,"1/15,2/15,1/5,4/15,2/5,7/15",True,4,"1/15,2/15,1/5,4/15",True,True
1,2,9,"1,3,5,7,9,11,13,15,17",1/9,1/9,True,6,"1/18,1/9,2/9,5/18,7/18,4/9",6,"1/18,1/9,2/9,5/18,7/18,4/9",True,6,"1/18,1/9,2/9,5/18,7/18,4/9",True,False
1,3,9,"1,4,7,10,13,16,19,22,25",1/9,1/9,True,9,"1/27,2/27,4/27,5/27,7/27,8/27,10/27,11/27,13/27",9,"1/27,2/27,4/27,5/27,7/27,8/27,10/27,11/27,13/27",True,6,"1/27,2/27,4/27,5/27,7/27,8/27",True,True
1,4,9,"1,5,9,13,17,21,25,29,33",1/9,1/9,True,12,"1/36,1/18,1/9,5/36,7/36,2/9,5/18,11/36,13/36,7/18,4/9,17/36",12,"1/36,1/18,1/9,5/36,7/36,2/9,5/18,11/36,13/36,7/18,4/9,17/36",True,6,"1/36,1/18,1/9,5/36,7/36,2/9",True,True
4,4,9,"4,8,12,16,20,24,28,32,36",1/9,1/9,True,12,"1/36,1/18,1/9,5/36,7/36,2/9,5/18,11/36,13/36,7/18,4/9,17/36",12,"1/36,1/18,1/9,5/36,7/36,2/9,5/18,11/36,13/36,7/18,4/9,17/36",True,6,"1/36,1/18,1/9,5/36,7/36,2/9",True,True
1,5,7,"1,6,11,16,21,26,31",1/7,1/7,True,15,"1/35,2/35,3/35,4/35,1/7,6/35,8/35,9/35,2/7,11/35,12/35,13/35,3/7,16/35,17/35",15,"1/35,2/35,3/35,4/35,1/7,6/35,8/35,9/35,2/7,11/35,12/35,13/35,3/7,16/35,17/35",True,6,"1/35,2/35,3/35,4/35,1/7,6/35",True,True
2,5,7,"2,7,12,17,22,27,32",1/7,1/7,True,15,"1/35,2/35,3/35,4/35,1/7,6/35,8/35,9/35,2/7,11/35,12/35,13/35,3/7,16/35,17/35",15,"1/35,2/35,3/35,4/35,1/7,6/35,8/35,9/35,2/7,11/35,12/35,13/35,3/7,16/35,17/35",True,6,"1/35,2/35,3/35,4/35,1/7,6/35",True,True
1,6,8,"1,7,13,19,25,31,37,43",1/8,1/8,True,12,"1/48,1/16,5/48,7/48,3/16,11/48,13/48,5/16,17/48,19/48,7/16,23/48",12,"1/48,1/16,5/48,7/48,3/16,11/48,13/48,5/16,17/48,19/48,7/16,23/48",True,4,"1/48,1/16,5/48,7/48",True,True
5,6,8,"5,11,17,23,29,35,41,47",1/8,1/8,True,12,"1/48,1/16,5/48,7/48,3/16,11/48,13/48,5/16,17/48,19/48,7/16,23/48",12,"1/48,1/16,5/48,7/48,3/16,11/48,13/48,5/16,17/48,19/48,7/16,23/48",True,4,"1/48,1/16,5/48,7/48",True,True
