q,r,pattern,pattern_size,support_residues,support_count,support_diffs
29,1,,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28",27,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,30,31,33,34,36,39,40,42,45"
29,2,,0,"1,2,3,6,7,8,9,10,12,13,14,15,16,17,19,21,22,23,26,27,28",21,"2,3,6,7,8,9,10,12,13,14,15,16,17,19,21,22,23,26,27,28,30,31,36,39,42,45"
29,2,6,1,"5,24",2,"5,24,34"
29,2,7,1,"4,25",2,"4,25,33"
29,2,8,1,"11,18",2,"11,18,40"
32,1,,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,30,31",29,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,30,31,33,34,36,39,40,42,45"
32,2,,0,"1,2,3,4,5,6,8,10,11,12,13,14,15,16,17,18,19,21,22,24,26,27,28,30,31",25,"2,3,4,5,6,8,10,11,12,13,14,15,16,17,18,19,21,22,24,26,27,28,30,31,33,34,36,40,42,45"
32,2,7,1,"9,23",2,"9,23"
32,2,9,1,"7,25",2,"7,25,39"
35,1,,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,30,31,33,34",31,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,30,31,33,34,36,39,40,42,45"
35,2,,0,"1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,21,23,24,25,26,27,28,30,33,34",27,"2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,21,23,24,25,26,27,28,30,33,34,36,40,42,45"
35,2,8,1,"13,22",2,"13,22"
35,2,9,1,"4,31",2,"4,31,39"
73,2,,0,"2,3,5,6,8,9,10,12,13,14,15,16,17,18,19,21,22,24,25,26,27,28,31,33,36,40,42,45",28,"2,3,5,6,8,9,10,12,13,14,15,16,17,18,19,21,22,24,25,26,27,28,31,33,36,40,42,45"
73,2,15,1,"34,39",2,"34,39"
73,2,17,1,30,1,30
73,2,18,1,4,1,4
73,2,19,1,23,1,23
73,2,20,1,11,1,11
73,2,21,1,7,1,7
73,3,,0,"2,3,6,10,12,15,16,17,18,19,21,24,25,26,28,31,33,36,40,42,45",21,"2,3,6,10,12,15,16,17,18,19,21,24,25,26,28,31,33,36,40,42,45"
73,3,15,1,"5,34,39",3,"5,34,39"
73,3,16,1,9,1,9
73,3,17,1,"13,30",2,"13,30"
73,3,18,1,"4,8",2,"4,8"
73,3,19,1,"23,27",2,"23,27"
73,3,20,1,"11,22",2,"11,22"
73,3,21,1,"7,14",2,"7,14"
