q,profile_by_gcd,has_zero_residue,mu_q_window_branch_count,layered_upper_bound_rho,composite_lower_bound_rho,exact_best_rho,exact_best_s_min,coverage_upper_at_r,branch_surplus_at_r,critical_layers_at_r_plus_1,one_step_meeting_exact,best_m_list
2,1:1,True,0,0,0,,,0,0,,False,
3,1:2,True,0,0,0,,,0,0,,False,
4,1:2;2:1,True,1,0,0,0,0.0,0,1,,False,1
5,1:4,True,1,0,0,0,0.0,0,1,,False,1
6,1:2;2:2;3:1,True,0,0,0,,,0,0,,False,
7,1:6,True,1,0,0,0,0.0,0,1,,False,2
8,1:4;2:2;4:1,True,0,0,0,,,0,0,,False,
9,1:6;3:2,True,1,0,0,0,0.0,0,1,,False,2
10,1:4;2:4;5:1,True,1,0,0,0,0.0,0,1,,False,3
11,1:10,True,1,0,0,0,0.0,0,1,,False,3
12,1:4;2:2;3:2;4:2;6:1,True,0,0,0,,,0,0,,False,
13,1:12,True,1,0,0,0,0.0,0,1,,False,3
14,1:6;2:6;7:1,True,1,0,0,0,0.0,0,1,,False,3
15,1:8;3:4;5:2,True,1,0,0,0,0.0,0,1,,False,4
16,1:8;2:4;4:2;8:1,True,0,0,0,,,0,0,,False,
17,1:16,True,2,0,0,0,0.0,0,2,,False,"4,5"
18,1:6;2:6;3:2;6:2;9:1,True,1,0,0,0,0.0,0,1,,False,5
19,1:18,True,2,0,0,0,0.0,0,2,,False,"4,5"
20,1:8;2:4;4:4;5:2;10:1,True,0,0,0,,,0,0,,False,
21,1:11;3:6;7:2,True,1,0,0,0,0.0,0,1,,False,5
22,1:10;2:10;11:1,True,1,0,0,0,0.0,0,1,,False,5
23,1:21,True,2,0,0,0,0.0,0,2,,False,"5,6"
24,1:8;2:4;3:4;4:1;6:2;8:2;12:1,True,2,0,0,0,0.0,0,2,,False,"5,7"
25,1:20;5:4,True,2,0,0,0,0.0,0,2,,False,"6,7"
26,1:12;2:11;13:1,True,1,0,0,0,0.0,0,1,,False,7
27,1:17;3:6;9:2,True,2,0,0,0,0.0,0,2,,False,"7,8"
28,1:11;2:6;4:5;7:2;14:1,True,0,0,0,,,0,0,,False,
29,1:27,False,3,1,1,1,0.034482758620689655,0,3,1,True,"6,7,8"
30,1:7;2:8;3:4;5:2;6:4;10:1;15:1,True,1,0,0,0,0.0,0,1,,False,7
31,1:27,True,3,0,0,0,0.0,0,3,,False,"7,8,9"
32,1:15;2:8;4:3;8:2;16:1,False,2,1,1,1,0.03125,0,2,1,True,"7,9"
33,1:17;3:10;11:2,True,2,0,0,0,0.0,0,2,,False,"7,8"
34,1:14;2:14;17:1,True,2,0,0,0,0.0,0,2,,False,"7,9"
35,1:22;5:5;7:4,False,2,2,1,1,0.02857142857142857,44,-42,1,False,"8,9"
36,1:9;2:6;3:4;4:4;6:2;9:2;12:2;18:1,True,0,0,0,,,0,0,,False,
37,1:31,False,4,3,1,1,0.02702702702702703,124,-120,1,False,"8,9,10,11"
38,1:15;2:16;19:1,False,2,3,1,1,0.02631578947368421,62,-60,1,False,"9,11"
39,1:18;3:12;13:2,True,3,0,0,0,0.0,0,3,,False,"8,10,11"
40,1:13;2:7;4:4;5:3;8:3;10:2,True,2,0,0,0,0.0,0,2,,False,"9,11"
41,1:34,False,4,4,1,1,0.024390243902439025,204,-200,1,False,"9,10,11,12"
42,1:8;2:9;3:6;6:6;7:1;14:2;21:1,True,1,0,0,0,0.0,0,1,,False,11
43,1:34,False,4,5,1,1,0.023255813953488372,272,-268,1,False,"9,10,11,12"
44,1:15;2:9;4:8;11:2;22:1,False,2,2,1,1,0.022727272727272728,30,-28,2,False,"9,13"
45,1:16;3:8;5:4;9:4;15:2,True,2,0,0,0,0.0,0,2,,False,"11,13"
46,1:16;2:18;23:1,False,2,6,1,1,0.021739130434782608,168,-166,2,False,"11,13"
47,1:35,False,5,6,1,1,0.02127659574468085,350,-345,1,False,"10,11,12,13,14"
48,1:9;2:6;3:8;4:2;6:4;8:2;12:2;16:1;24:1,False,2,3,1,1,0.020833333333333332,42,-40,3,False,"11,13"
49,1:30;7:5,False,4,7,1,1,0.02040816326530612,360,-356,7,False,"10,11,12,13"
50,1:13;2:15;5:3;10:3;25:1,False,2,5,1,1,0.02,112,-110,5,False,"11,13"
51,1:18;3:15;17:2,False,3,3,1,1,0.0196078431372549,72,-69,3,False,"11,13,14"
52,1:15;2:9;4:8;13:2;26:1,False,2,6,1,1,0.019230769230769232,158,-156,2,False,"11,15"
53,1:35,False,5,9,1,1,0.018867924528301886,560,-555,1,False,"11,12,13,14,15"
54,1:9;2:11;3:5;6:5;9:2;18:2;27:1,False,2,3,1,1,0.018518518518518517,40,-38,3,False,"11,13"
55,1:25;5:7;11:3,False,4,9,1,1,0.01818181818181818,406,-402,1,False,"12,13,14,16"
56,1:15;2:8;4:3;7:2;8:4;14:2;28:1,False,2,10,1,1,0.017857142857142856,264,-262,2,False,"13,15"
57,1:19;3:15;19:1,False,4,6,1,1,0.017543859649122806,212,-208,3,False,"13,14,16,17"
58,1:17;2:18,False,3,11,1,1,0.017241379310344827,350,-347,1,False,"13,15,17"
59,1:35,False,6,12,1,1,0.01694915254237288,770,-764,1,False,"12,13,14,15,16,17"
60,1:7;2:5;3:6;4:4;5:2;6:3;10:1;12:3;15:2;20:1;30:1,False,2,6,1,1,0.016666666666666666,90,-88,6,False,"13,17"
61,1:35,False,6,13,1,1,0.01639344262295082,840,-834,1,False,"13,14,15,16,17,18"
62,1:16;2:18;31:1,False,3,14,1,1,0.016129032258064516,440,-437,2,False,"13,15,17"
63,1:17;3:8;7:3;9:5;21:2,False,3,9,1,1,0.015873015873015872,302,-299,9,False,"13,16,17"
64,1:17;2:10;4:4;8:3;16:1,False,4,8,1,1,0.015625,248,-244,8,False,"13,15,17,19"
65,1:25;5:7;13:3,False,5,13,1,1,0.015384615384615385,612,-607,13,False,"14,16,17,18,19"
66,1:8;2:10;3:7;6:7;11:1;22:1;33:1,False,2,9,1,1,0.015151515151515152,164,-162,3,False,"17,19"
67,1:35,False,7,16,1,1,0.014925373134328358,1050,-1043,1,False,"14,15,16,17,18,19,20"
68,1:16;2:9;4:8;17:1;34:1,False,2,14,1,1,0.014705882352941176,428,-426,2,False,"15,19"
69,1:19;3:15;23:1,False,5,12,1,1,0.014492753623188406,484,-479,3,False,"14,16,17,19,20"
70,1:11;2:12;5:4;7:2;10:3;14:3,False,2,14,1,1,0.014285714285714285,310,-308,14,False,"17,19"
71,1:35,False,7,18,1,1,0.014084507042253521,1190,-1183,1,False,"15,16,17,18,19,20,21"
72,1:9;2:6;3:5;4:2;6:3;8:3;9:3;12:1;18:1;24:1;36:1,False,2,6,1,1,0.013888888888888888,106,-104,6,False,"17,19"
73,1:35,False,7,19,1,2,0.0273972602739726,1260,-1253,1,False,16
74,1:17;2:18,False,4,19,1,1,0.013513513513513514,630,-626,1,False,"15,17,19,21"
75,1:16;3:12;5:3;15:3;25:1,False,4,15,1,1,0.013333333333333334,508,-504,15,False,"16,17,19,22"
76,1:16;2:10;4:8;19:1,False,2,18,1,2,0.02631578947368421,576,-574,2,False,21
77,1:27;7:5;11:3,False,6,20,1,1,0.012987012987012988,1044,-1038,1,False,"16,17,18,19,20,23"
78,1:8;2:10;3:7;6:7;13:1;26:1;39:1,False,3,13,1,2,0.02564102564102564,256,-253,13,False,19
79,1:35,False,8,22,1,1,0.012658227848101266,1470,-1462,1,False,"16,17,18,19,20,21,22,23"
80,1:13;2:8;4:4;5:4;8:2;10:2;16:1;40:1,False,4,22,1,1,0.0125,570,-566,2,False,"17,19,21,23"
81,1:20;3:10;9:4;27:1,False,5,18,1,1,0.012345679012345678,792,-787,9,False,"17,19,20,22,23"
82,1:17;2:18,False,4,23,1,2,0.024390243902439025,770,-766,1,False,17
83,1:35,False,8,24,1,2,0.024096385542168676,1610,-1602,1,False,"19,20"
84,1:8;2:5;3:7;4:4;6:3;7:1;12:3;14:1;21:1;28:1;42:1,False,4,14,1,2,0.023809523809523808,252,-248,14,False,25
85,1:26;5:7;17:2,False,6,25,1,2,0.023529411764705882,1276,-1270,5,False,23
86,1:17;2:18,False,4,25,1,1,0.011627906976744186,840,-836,1,False,"19,21,23,25"
87,1:20;3:15,False,6,21,1,2,0.022988505747126436,920,-914,3,False,19
88,1:15;2:9;4:4;8:4;11:2;22:1,False,4,22,1,2,0.022727272727272728,680,-676,22,False,19
89,1:35,False,9,27,1,2,0.02247191011235955,1820,-1811,1,False,25
90,1:7;2:9;3:4;5:2;6:4;9:2;10:2;15:1;18:2;30:1;45:1,False,2,15,1,2,0.022222222222222223,256,-254,15,False,23
