q,m,k_fraction,k_float,rho,s_min_fraction,s_min_float,L_over_R,geometry_gap_to_target,limiting_diffs
29,7,7/29,0.2413793103448276,1,1/29,0.034482758620689655,0.4729305457072911,0.027069454292708905,"4,25,33"
29,8,8/29,0.27586206896551724,1,1/29,0.034482758620689655,0.5808909982763824,0.08089099827638235,"11,18,40"
29,6,6/29,0.20689655172413793,1,1/29,0.034482758620689655,0.36623583073538957,0.13376416926461043,"5,24,34"
32,9,9/32,0.28125,1,1/32,0.03125,0.597545161008064,0.09754516100806399,"7,25,39"
32,7,7/32,0.21875,1,1/32,0.03125,0.40245483899193585,0.09754516100806415,"9,23"
35,9,9/35,0.2571428571428571,1,1/35,0.02857142857142857,0.5224324151752573,0.022432415175257292,"4,31,39"
35,8,8/35,0.22857142857142856,1,1/35,0.02857142857142857,0.43288336709117226,0.06711663290882774,"13,22"
73,16,16/73,0.2191780821917808,2,2/73,0.0273972602739726,0.403774209014585,0.096225790985415,9
37,9,9/37,0.24324324324324326,1,1/37,0.02702702702702703,0.47877939840192585,0.02122060159807415,"4,33"
37,10,10/37,0.2702702702702703,1,1/37,0.02702702702702703,0.5635089098734394,0.06350890987343938,"11,26"
37,8,8/37,0.21621621621621623,1,1/37,0.02702702702702703,0.3946603650021369,0.10533963499786309,"14,23"
37,11,11/37,0.2972972972972973,1,1/37,0.02702702702702703,0.6464113856382752,0.14641138563827516,"10,27"
38,9,9/38,0.23684210526315788,1,1/38,0.02631578947368421,0.4587103272638337,0.041289672736166294,"17,21"
76,21,21/76,0.27631578947368424,2,1/38,0.02631578947368421,0.582297295140367,0.08229729514036699,18
38,11,11/38,0.2894736842105263,1,1/38,0.02631578947368421,0.6227427435703995,0.12274274357039949,"7,31,45"
78,19,19/78,0.24358974358974358,2,1/39,0.02564102564102564,0.4798670299452924,0.0201329700547076,4
41,10,10/41,0.24390243902439024,1,1/41,0.024390243902439025,0.48084863315498216,0.019151366845017836,"4,45"
41,11,11/41,0.2682926829268293,1,1/41,0.024390243902439025,0.5573417126992001,0.057341712699200076,"15,26"
41,9,9/41,0.21951219512195122,1,1/41,0.024390243902439025,0.40480444541766575,0.09519555458233425,9
41,12,12/41,0.2926829268292683,1,1/41,0.024390243902439025,0.6324907510983308,0.13249075109833075,"17,24"
82,17,17/82,0.2073170731707317,2,1/41,0.024390243902439025,0.3675092489016691,0.13249075109833092,24
83,20,20/83,0.24096385542168675,2,2/83,0.024096385542168676,0.47162736345346284,0.028372636546537155,25
83,19,19/83,0.2289156626506024,2,2/83,0.024096385542168676,0.4339551791791488,0.06604482082085122,13
84,25,25/84,0.2976190476190476,2,1/42,0.023809523809523808,0.6473775872054521,0.14737758720545213,10
85,23,23/85,0.27058823529411763,2,2/85,0.023529411764705882,0.5644996082651016,0.0644996082651016,11
43,11,11/43,0.2558139534883721,1,1/43,0.023255813953488372,0.5182610115288295,0.01826101152882953,"4,39"
43,10,10/43,0.23255813953488372,1,1/43,0.023255813953488372,0.4453143958110627,0.05468560418893731,"13,30"
43,12,12/43,0.27906976744186046,1,1/43,0.023255813953488372,0.5908184254897182,0.09081842548971819,"18,25"
43,9,9/43,0.20930232558139536,1,1/43,0.023255813953488372,0.3735333088041596,0.12646669119584042,"19,24"
87,19,19/87,0.21839080459770116,2,2/87,0.022988505747126436,0.40134832548679994,0.09865167451320006,23
88,19,19/88,0.2159090909090909,2,1/44,0.022727272727272728,0.3937173552235117,0.1062826447764883,14
44,9,9/44,0.20454545454545456,1,1/44,0.022727272727272728,0.3591337215792852,0.1408662784207148,"5,39"
44,13,13/44,0.29545454545454547,1,1/44,0.022727272727272728,0.6408662784207149,0.14086627842071486,"17,27"
89,25,25/89,0.2808988764044944,2,2/89,0.02247191011235955,0.5964630327047484,0.09646303270474843,25
90,23,23/90,0.25555555555555554,2,1/45,0.022222222222222223,0.5174497483512503,0.01744974835125035,4
46,11,11/46,0.2391304347826087,1,1/46,0.021739130434782608,0.4658787933176644,0.03412120668233559,"21,25"
46,13,13/46,0.2826086956521739,1,1/46,0.021739130434782608,0.6017280065263169,0.10172800652631686,"7,39"
47,12,12/47,0.2553191489361702,1,1/47,0.02127659574468085,0.5167074885038372,0.016707488503837187,4
47,11,11/47,0.23404255319148937,1,1/47,0.02127659574468085,0.44995215418795087,0.05004784581204913,"17,30"
47,13,13/47,0.2765957446808511,1,1/47,0.02127659574468085,0.5831646772915651,0.08316467729156507,18
47,10,10/47,0.2127659574468085,1,1/47,0.02127659574468085,0.38408992486623583,0.11591007513376417,"14,33"
47,14,14/47,0.2978723404255319,1,1/47,0.02127659574468085,0.6481377904428168,0.14813779044281683,10
48,13,13/48,0.2708333333333333,1,1/48,0.020833333333333332,0.5652630961100256,0.06526309611002556,11
48,11,11/48,0.22916666666666666,1,1/48,0.020833333333333332,0.43473690388997416,0.06526309611002584,13
49,12,12/49,0.24489795918367346,1,1/49,0.02040816326530612,0.4839742112141724,0.01602578878582761,"4,45"
49,13,13/49,0.2653061224489796,1,1/49,0.02040816326530612,0.5480115129538409,0.048011512953840874,"15,34"
49,11,11/49,0.22448979591836735,1,1/49,0.02040816326530612,0.42020005248331027,0.07979994751668973,"9,40"
49,10,10/49,0.20408163265306123,1,1/49,0.02040816326530612,0.3577362066844838,0.1422637933155162,5
50,13,13/50,0.26,1,1/50,0.02,0.5313952597646567,0.031395259764656736,"23,27"
50,11,11/50,0.22,1,1/50,0.02,0.4063093427071376,0.09369065729286241,9
