k,k_rational_hint,L_over_R,s_min,limiting_mode_i,limiting_mode_j
0.2,1/5,0.3454915028125263,0.0,6,31
0.2000005,,0.34549299672937106,2.4999999999053557e-06,22,27
0.200001,,0.34549449064774085,5.000000000116023e-06,1,6
0.2000015,,0.3454959845676355,7.500000000104645e-06,1,6
0.200002,,0.3454974784890552,1.0000000000065512e-05,1,6
0.2000025,,0.3454989724119995,1.2499999999526779e-05,22,27
0.20000300000000001,,0.3455004663364689,1.4999999999432134e-05,22,27
0.2000035,,0.3455019602624629,1.749999999978158e-05,10,15
0.20000400000000002,,0.3455034541899821,1.999999999996449e-05,1,6
0.2000045,,0.3455049481190258,2.2499999999953113e-05,1,6
0.20000500000000002,,0.3455064420495944,2.4999999999941735e-05,10,15
0.2000055,,0.3455079359816879,2.749999999984709e-05,10,15
0.20000600000000002,,0.34550942991530603,2.9999999999752447e-05,10,15
0.2000065,,0.3455109238504489,3.24999999996578e-05,10,15
0.20000700000000002,,0.3455124177871166,3.499999999956316e-05,22,27
0.2000075,,0.3455139117253091,3.7499999999468514e-05,22,27
0.20000800000000002,,0.3455154056650262,4.000000000020654e-05,1,6
0.2000085,,0.345516899606268,4.2499999999973115e-05,1,6
0.20000900000000002,,0.3455183935490346,4.500000000007276e-05,10,15
0.2000095,,0.3455198874933258,4.7499999999978115e-05,10,15
0.20001000000000002,,0.34552138143914174,4.999999999988347e-05,22,27
0.2000105,,0.345522875386482,5.250000000009414e-05,1,6
0.20001100000000002,,0.3455243693353473,5.5000000000055005e-05,1,6
0.2000115,,0.34552586328573703,5.749999999959954e-05,22,27
0.20001200000000002,,0.3455273572376513,5.9999999999504894e-05,22,27
0.2000125,,0.34552885119109017,6.249999999941025e-05,22,27
0.20001300000000002,,0.34553034514605374,6.49999999997597e-05,10,15
0.2000135,,0.3455318391025418,6.74999999999426e-05,1,6
0.200014,,0.3455333330605543,6.999999999993123e-05,1,6
0.2000145,,0.3455348270200914,7.249999999991985e-05,10,15
0.200015,,0.34553632098115306,7.49999999998252e-05,10,15
0.2000155,,0.3455378149437392,7.749999999973056e-05,10,15
0.200016,,0.34553930890784973,7.999999999963592e-05,10,15
0.2000165,,0.3455408028734848,8.249999999954127e-05,22,27
0.200017,,0.34554229684064425,8.499999999944663e-05,22,27
0.20001750000000001,,0.3455437908093283,8.750000000018465e-05,1,6
0.200018,,0.3455452847795366,8.999999999995123e-05,1,6
0.20001850000000002,,0.3455467787512695,9.250000000005087e-05,10,15
0.200019,,0.34554827272452654,9.499999999995623e-05,10,15
0.20001950000000002,,0.3455497666993082,9.749999999986159e-05,22,27
0.20002,,0.3455512606756139,0.00010000000000007225,1,6
0.20002050000000002,,0.3455527546534443,0.00010250000000003312,1,6
0.200021,,0.34555424863279893,0.00010500000000002174,1,6
0.20002150000000002,,0.3455557426136779,0.00010749999999948301,22,27
0.200022,,0.34555723659608106,0.00010999999999938836,22,27
0.20002250000000002,,0.34555873058000847,0.00011249999999973781,10,15
0.200023,,0.34556022456546037,0.00011499999999992072,1,6
0.20002350000000002,,0.3455617185524363,0.00011749999999999261,22,27
0.200024,,0.34556321254093664,0.00011999999999989797,10,15
0.20002450000000002,,0.34556470653096116,0.00012250000000005312,1,6
0.200025,,0.34556620052250986,0.00012499999999970868,10,15
0.20002550000000002,,0.3455676945155828,0.00012749999999961403,22,27
0.200026,,0.34556918851017987,0.0001299999999995194,22,27
0.20002650000000002,,0.34557068250630124,0.00013250000000017415,1,6
0.200027,,0.34557217650394656,0.00013500000000016277,1,6
0.20002750000000002,,0.34557367050311627,0.00013750000000012363,1,6
0.200028,,0.3455751645038099,0.000140000000000029,10,15
0.2000285,,0.34557665850602765,0.00014249999999993435,10,15
0.200029,,0.3455781525097697,0.0001449999999998397,22,27
0.2000295,,0.34557964651503553,0.00014750000000005037,1,6
0.20003,,0.34558114052182565,0.00015000000000001124,1,6
0.2000305,,0.3455826345301397,0.00015249999999955577,22,27
0.20003100000000001,,0.34558412853997794,0.00015499999999946112,22,27
0.2000315,,0.3455856225513402,0.00015749999999936648,22,27
0.20003200000000002,,0.34558711656422636,0.00015999999999971593,10,15
0.2000325,,0.3455886105786365,0.00016249999999989884,1,6
0.20003300000000002,,0.3455901045945707,0.00016499999999997073,22,27
0.2000335,,0.3455915986120288,0.00016749999999987608,10,15
0.20003400000000002,,0.3455930926310108,0.00017000000000003124,1,6
0.2000345,,0.3455945866515169,0.0001724999999996868,10,15
0.20003500000000002,,0.34559608067354686,0.00017499999999959215,22,27
0.2000355,,0.3455975746971006,0.0001774999999994975,22,27
0.20003600000000002,,0.3455990687221785,0.00018000000000015226,1,6
0.2000365,,0.3456005627487799,0.00018250000000014088,1,6
0.20003700000000002,,0.3456020567769056,0.00018500000000010175,1,6
0.2000375,,0.3456035508065547,0.0001875000000000071,10,15
0.20003800000000002,,0.3456050448377279,0.00018999999999991246,10,15
0.2000385,,0.34560653887042486,0.00019249999999981782,22,27
0.20003900000000002,,0.3456080329046457,0.00019500000000000073,1,6
0.2000395,,0.3456095269403902,0.00019749999999998935,1,6
0.20004000000000002,,0.34561102097765856,0.00019999999999953388,22,27
0.2000405,,0.34561251501645057,0.00020249999999943924,22,27
0.20004100000000002,,0.34561400905676637,0.00020499999999978868,10,15
0.2000415,,0.345615503098606,0.00020749999999969404,10,15
0.200042,,0.34561699714196925,0.00020999999999987695,1,6
0.2000425,,0.34561849118685617,0.00021249999999994884,22,27
0.200043,,0.3456199852332668,0.0002149999999998542,10,15
0.2000435,,0.34562147928120124,0.00021750000000000935,1,6
0.200044,,0.3456229733306591,0.0002199999999996649,10,15
0.20004450000000001,,0.3456244673816407,0.00022249999999957026,22,27
0.200045,,0.34562596143414603,0.00022499999999947562,22,27
0.20004550000000001,,0.3456274554881749,0.00022750000000013038,1,6
0.200046,,0.34562894954372736,0.000230000000000119,1,6
