q,m,k_fraction,has_zero_residue,exact_rho,predicted_rho_by_inverse_shell,inverse_pair,inverse_pair_hit,first_hit_inverse_shell_residues,first_hit_source_diffs,limiting_diffs_exact,prediction_matches_exact
4,1,1/4,True,0,0,"1,3",True,,,"4,8,12,16,24,28,36,40",True
5,1,1/5,True,0,0,"1,4",True,,,"5,10,15,25,30,40,45",True
7,2,2/7,True,0,0,"3,4",True,,,"7,14,21,28,42",True
9,2,2/9,True,0,0,"4,5",True,,,"9,18,27,36,45",True
10,3,3/10,True,0,0,"3,7",True,,,"10,30,40",True
11,3,3/11,True,0,0,"4,7",True,,,"11,22,33",True
13,3,3/13,True,0,0,"4,9",True,,,"13,26,39",True
14,3,3/14,True,0,0,"5,9",True,,,"14,28,42",True
15,4,4/15,True,0,0,"4,11",True,,,"15,30,45",True
17,4,4/17,True,0,0,"4,13",True,,,"17,34",True
17,5,5/17,True,0,0,"7,10",True,,,"17,34",True
18,5,5/18,True,0,0,"7,11",True,,,"18,36",True
19,4,4/19,True,0,0,"5,14",True,,,19,True
19,5,5/19,True,0,0,"4,15",True,,,19,True
21,5,5/21,True,0,0,"4,17",True,,,"21,42",True
22,5,5/22,True,0,0,"9,13",True,,,22,True
23,5,5/23,True,0,0,"9,14",True,,,23,True
23,6,6/23,True,0,0,"4,19",True,,,23,True
24,5,5/24,True,0,0,"5,19",True,,,24,True
24,7,7/24,True,0,0,"7,17",True,,,24,True
25,6,6/25,True,0,0,"4,21",True,,,25,True
25,7,7/25,True,0,0,"7,18",True,,,25,True
26,7,7/26,True,0,0,"11,15",True,,,26,True
27,7,7/27,True,0,0,"4,23",True,,,27,True
27,8,8/27,True,0,0,"10,17",True,,,27,True
29,6,6/29,False,1,1,"5,24",True,"5,24","5,24,34","5,24,34",True
29,7,7/29,False,1,1,"4,25",True,"4,25","4,25,33","4,25,33",True
29,8,8/29,False,1,1,"11,18",True,"11,18","11,18,40","11,18,40",True
30,7,7/30,True,0,0,"13,17",True,,,30,True
31,7,7/31,True,0,0,"9,22",True,,,31,True
31,8,8/31,True,0,0,"4,27",True,,,31,True
31,9,9/31,True,0,0,"7,24",True,,,31,True
32,7,7/32,False,1,1,"9,23",True,"9,23","9,23","9,23",True
32,9,9/32,False,1,1,"7,25",True,"7,25","7,25,39","7,25,39",True
33,7,7/33,True,0,0,"14,19",True,,,33,True
33,8,8/33,True,0,0,"4,29",True,,,33,True
34,7,7/34,True,0,0,"5,29",True,,,34,True
34,9,9/34,True,0,0,"15,19",True,,,34,True
35,8,8/35,False,1,1,"13,22",True,"13,22","13,22","13,22",True
35,9,9/35,False,1,1,"4,31",True,"4,31","4,31,39","4,31,39",True
37,8,8/37,False,1,1,"14,23",True,"14,23","14,23","14,23",True
