q,m,k_fraction,shell1_projection,shell1_hits_D,shell1_hits_complement,shell2_projection,shell2_hits_D,shell2_hits_complement,shell3_projection,shell3_hits_D,exact_rho,predicted_ge_2_by_shell1_complement,predicted_ge_3_by_shell12_complement,limiting_diffs
46,11,11/46,"21,25","21,25",,"4,42","4,42",,"17,29",17,1,False,False,"21,25"
46,13,13/46,"7,39","7,39",,"14,32",14,32,"21,25","21,25",1,False,False,"7,39"
47,10,10/47,"14,33","14,33",,"19,28","19,28",,"5,42","5,42",1,False,False,"14,33"
47,11,11/47,"17,30","17,30",,"13,34","13,34",,"4,43",4,1,False,False,"17,30"
47,12,12/47,"4,43",4,43,"8,39","8,39",,"12,35",12,1,False,False,4
47,13,13/47,"18,29",18,29,"11,36","11,36",,"7,40","7,40",1,False,False,18
47,14,14/47,"10,37",10,37,"20,27",27,20,"17,30","17,30",1,False,False,10
48,11,11/48,"13,35",13,35,"22,26","22,26",,"9,39","9,39",1,False,False,13
48,13,13/48,"11,37",11,37,"22,26","22,26",,"15,33","15,33",1,False,False,11
49,10,10/49,"5,44",5,44,"10,39","10,39",,"15,34","15,34",1,False,False,5
49,11,11/49,"9,40","9,40",,"18,31","18,31",,"22,27","22,27",1,False,False,"9,40"
49,12,12/49,"4,45","4,45",,"8,41",8,41,"12,37",12,1,False,False,"4,45"
49,13,13/49,"15,34","15,34",,"19,30","19,30",,"4,45","4,45",1,False,False,"15,34"
50,11,11/50,"9,41",9,41,"18,32",18,32,"23,27","23,27",1,False,False,9
50,13,13/50,"23,27","23,27",,4,4,,"19,31","19,31",1,False,False,"23,27"
51,11,11/51,"14,37",14,37,"23,28","23,28",,"9,42","9,42",1,False,False,14
51,13,13/51,4,4,,"8,43",8,43,"12,39","12,39",1,False,False,4
51,14,14/51,"11,40","11,40",,"22,29",22,29,"18,33","18,33",1,False,False,"11,40"
52,11,11/52,"19,33","19,33",,"14,38",14,38,5,5,1,False,False,"19,33"
52,15,15/52,"7,45","7,45",,"14,38",14,38,"21,31","21,31",1,False,False,"7,45"
53,11,11/53,"24,29",24,29,5,5,,"19,34","19,34",1,False,False,24
