q,allowed_branches,has_shell1_vacancy_branch,has_shell2_vacancy_branch
46,"11,13",False,False
47,"10,11,12,13,14",False,False
48,"11,13",False,False
49,"10,11,12,13",False,False
50,"11,13",False,False
51,"11,13,14",False,False
52,"11,15",False,False
53,"11,12,13,14,15",False,False
54,"11,13",False,False
55,"12,13,14,16",False,False
56,"13,15",False,False
57,"13,14,16,17",False,False
58,"13,15,17",False,False
59,"12,13,14,15,16,17",False,False
60,"13,17",False,False
61,"13,14,15,16,17,18",False,False
62,"13,15,17",False,False
63,"13,16,17",False,False
64,"13,15,17,19",False,False
65,"14,16,17,18,19",False,False
66,"17,19",False,False
67,"14,15,16,17,18,19,20",False,False
68,"15,19",False,False
69,"14,16,17,19,20",False,False
70,"17,19",False,False
71,"15,16,17,18,19,20,21",False,False
72,"17,19",False,False
73,"15,16,17,18,19,20,21",True,False
74,"15,17,19,21",False,False
75,"16,17,19,22",False,False
76,"17,21",True,False
77,"16,17,18,19,20,23",False,False
78,"17,19,23",True,False
79,"16,17,18,19,20,21,22,23",False,False
80,"17,19,21,23",False,False
81,"17,19,20,22,23",False,False
82,"17,19,21,23",True,False
83,"17,18,19,20,21,22,23,24",True,False
84,"17,19,23,25",True,False
85,"18,19,21,22,23,24",True,False
86,"19,21,23,25",False,False
87,"19,20,22,23,25,26",True,False
88,"19,21,23,25",True,False
89,"18,19,20,21,22,23,24,25,26",True,False
90,"19,23",True,False
