q,m,k_fraction,shell1_projection,shell1_hits_in_D,shell1_is_vacancy,shell2_projection,shell2_hits_in_D,shell3_projection,shell3_hits_in_D,exact_rho,exact_s_min,limiting_diffs
46,11,11/46,"21,25","21,25",False,"4,42","4,42","17,29",17,1,0.021739130434782608,"21,25"
46,13,13/46,"7,39","7,39",False,"14,32",14,"21,25","21,25",1,0.021739130434782608,"7,39"
47,10,10/47,"14,33","14,33",False,"19,28","19,28","5,42","5,42",1,0.02127659574468085,"14,33"
47,11,11/47,"17,30","17,30",False,"13,34","13,34","4,43",4,1,0.02127659574468085,"17,30"
47,12,12/47,"4,43",4,False,"8,39","8,39","12,35",12,1,0.02127659574468085,4
47,13,13/47,"18,29",18,False,"11,36","11,36","7,40","7,40",1,0.02127659574468085,18
47,14,14/47,"10,37",10,False,"20,27",27,"17,30","17,30",1,0.02127659574468085,10
48,11,11/48,"13,35",13,False,"22,26","22,26","9,39","9,39",1,0.020833333333333332,13
48,13,13/48,"11,37",11,False,"22,26","22,26","15,33","15,33",1,0.020833333333333332,11
49,10,10/49,"5,44",5,False,"10,39","10,39","15,34","15,34",1,0.02040816326530612,5
49,11,11/49,"9,40","9,40",False,"18,31","18,31","22,27","22,27",1,0.02040816326530612,"9,40"
49,12,12/49,"4,45","4,45",False,"8,41",8,"12,37",12,1,0.02040816326530612,"4,45"
49,13,13/49,"15,34","15,34",False,"19,30","19,30","4,45","4,45",1,0.02040816326530612,"15,34"
50,11,11/50,"9,41",9,False,"18,32",18,"23,27","23,27",1,0.02,9
50,13,13/50,"23,27","23,27",False,4,4,"19,31","19,31",1,0.02,"23,27"
51,11,11/51,"14,37",14,False,"23,28","23,28","9,42","9,42",1,0.0196078431372549,14
51,13,13/51,4,4,False,"8,43",8,"12,39","12,39",1,0.0196078431372549,4
51,14,14/51,"11,40","11,40",False,"22,29",22,"18,33","18,33",1,0.0196078431372549,"11,40"
52,11,11/52,"19,33","19,33",False,"14,38",14,5,5,1,0.019230769230769232,"19,33"
52,15,15/52,"7,45","7,45",False,"14,38",14,"21,31","21,31",1,0.019230769230769232,"7,45"
53,11,11/53,"24,29",24,False,5,5,"19,34","19,34",1,0.018867924528301886,24
53,12,12/53,"22,31","22,31",False,"9,44",9,"13,40","13,40",1,0.018867924528301886,"22,31"
53,13,13/53,4,4,False,"8,45","8,45","12,41",12,1,0.018867924528301886,4
53,14,14/53,"19,34","19,34",False,"15,38",15,4,4,1,0.018867924528301886,"19,34"
53,15,15/53,7,7,False,"14,39","14,39","21,32",21,1,0.018867924528301886,7
54,11,11/54,5,5,False,"10,44",10,"15,39","15,39",1,0.018518518518518517,5
54,13,13/54,"25,29",25,False,4,4,"21,33","21,33",1,0.018518518518518517,25
55,12,12/55,"23,32",23,False,9,9,"14,41",14,1,0.01818181818181818,23
55,13,13/55,"17,38",17,False,"21,34","21,34",4,4,1,0.01818181818181818,17
55,14,14/55,4,4,False,8,8,"12,43",12,1,0.01818181818181818,4
55,16,16/55,"24,31","24,31",False,7,7,"17,38",17,1,0.01818181818181818,"24,31"
56,13,13/56,"13,43",13,False,"26,30","26,30","17,39","17,39",1,0.017857142857142856,13
56,15,15/56,"15,41",15,False,"26,30","26,30","11,45","11,45",1,0.017857142857142856,15
57,13,13/57,"22,35",22,False,"13,44",13,9,9,1,0.017543859649122806,22
57,14,14/57,4,4,False,8,8,"12,45","12,45",1,0.017543859649122806,4
57,16,16/57,"25,32",25,False,7,7,"18,39","18,39",1,0.017543859649122806,25
57,17,17/57,10,10,False,"20,37",,"27,30","27,30",1,0.017543859649122806,10
58,13,13/58,9,9,False,"18,40","18,40","27,31","27,31",1,0.017241379310344827,9
58,15,15/58,"27,31","27,31",False,4,4,"23,35",23,1,0.017241379310344827,"27,31"
58,17,17/58,"17,41",17,False,"24,34","24,34",7,7,1,0.017241379310344827,17
59,12,12/59,5,5,False,10,10,"15,44",15,1,0.01694915254237288,5
59,13,13/59,9,9,False,"18,41",18,"27,32",27,1,0.01694915254237288,9
59,14,14/59,"21,38",21,False,"17,42","17,42",4,4,1,0.01694915254237288,21
59,15,15/59,4,4,False,8,8,12,12,1,0.01694915254237288,4
59,16,16/59,11,11,False,"22,37",22,"26,33","26,33",1,0.01694915254237288,11
59,17,17/59,7,7,False,"14,45","14,45","21,38",21,1,0.01694915254237288,7
60,13,13/60,"23,37",23,False,14,14,9,9,1,0.016666666666666666,23
60,17,17/60,7,7,False,14,14,"21,39","21,39",1,0.016666666666666666,7
61,13,13/61,14,14,False,"28,33","28,33","19,42","19,42",1,0.01639344262295082,14
61,14,14/61,13,13,False,"26,35",26,"22,39","22,39",1,0.01639344262295082,13
61,15,15/61,4,4,False,8,8,12,12,1,0.01639344262295082,4
61,16,16/61,"19,42","19,42",False,"23,38",23,4,4,1,0.01639344262295082,"19,42"
61,17,17/61,"18,43",18,False,"25,36","25,36",7,7,1,0.01639344262295082,18
61,18,18/61,"17,44",17,False,"27,34","27,34",10,10,1,0.01639344262295082,17
62,13,13/62,"19,43",19,False,"24,38",24,5,5,1,0.016129032258064516,19
62,15,15/62,"29,33",33,False,4,4,"25,37",25,1,0.016129032258064516,33
62,17,17/62,11,11,False,"22,40","22,40","29,33",33,1,0.016129032258064516,11
63,13,13/63,"29,34",34,False,5,5,"24,39","24,39",1,0.015873015873015872,34
63,16,16/63,4,4,False,8,8,12,12,1,0.015873015873015872,4
63,17,17/63,"26,37",26,False,11,11,15,15,1,0.015873015873015872,26
64,13,13/64,5,5,False,10,10,15,15,1,0.015625,5
64,15,15/64,17,17,False,"30,34","30,34",13,13,1,0.015625,17
64,17,17/64,15,15,False,"30,34","30,34","19,45","19,45",1,0.015625,15
64,19,19/64,"27,37",27,False,10,10,17,17,1,0.015625,27
65,14,14/65,14,14,False,"28,37",28,"23,42","23,42",1,0.015384615384615385,14
65,16,16/65,4,4,False,8,8,12,12,1,0.015384615384615385,4
65,17,17/65,"23,42","23,42",False,19,19,4,4,1,0.015384615384615385,"23,42"
65,18,18/65,18,18,False,"29,36",36,11,11,1,0.015384615384615385,18
65,19,19/65,"24,41",24,False,17,17,7,7,1,0.015384615384615385,24
66,17,17/66,"31,35",31,False,4,4,"27,39","27,39",1,0.015151515151515152,31
66,19,19/66,7,7,False,14,14,"21,45","21,45",1,0.015151515151515152,7
67,14,14/67,"24,43",24,False,19,19,5,5,1,0.014925373134328358,24
67,15,15/67,9,9,False,18,18,"27,40","27,40",1,0.014925373134328358,9
67,16,16/67,21,21,False,"25,42","25,42",4,4,1,0.014925373134328358,21
67,17,17/67,4,4,False,8,8,12,12,1,0.014925373134328358,4
67,18,18/67,"26,41",26,False,15,15,11,11,1,0.014925373134328358,26
67,19,19/67,7,7,False,14,14,21,21,1,0.014925373134328358,7
67,20,20/67,10,10,False,20,,"30,37",30,1,0.014925373134328358,10
68,15,15/68,9,9,False,18,18,"27,41",27,1,0.014705882352941176,9
68,19,19/68,"25,43",25,False,18,18,7,7,1,0.014705882352941176,25
69,14,14/69,5,5,False,10,10,15,15,1,0.014492753623188406,5
69,16,16/69,13,13,False,"26,43",26,"30,39","30,39",1,0.014492753623188406,13
69,17,17/69,4,4,False,8,8,12,12,1,0.014492753623188406,4
69,19,19/69,"29,40",40,False,11,11,18,18,1,0.014492753623188406,40
69,20,20/69,"31,38",31,False,7,7,"24,45","24,45",1,0.014492753623188406,31
70,17,17/70,"33,37",33,False,4,4,"29,41",,1,0.014285714285714285,33
70,19,19/70,11,11,False,22,22,"33,37",33,1,0.014285714285714285,11
71,15,15/71,19,19,False,"33,38",33,14,14,1,0.014084507042253521,19
71,16,16/71,"31,40","31,40",False,9,9,22,22,1,0.014084507042253521,"31,40"
71,17,17/71,25,25,False,21,21,4,4,1,0.014084507042253521,25
71,18,18/71,4,4,False,8,8,12,12,1,0.014084507042253521,4
71,19,19/71,15,15,False,"30,41",30,"26,45","26,45",1,0.014084507042253521,15
71,20,20/71,"32,39",39,False,7,7,25,25,1,0.014084507042253521,39
71,21,21/71,"27,44",27,False,17,17,10,10,1,0.014084507042253521,27
72,17,17/72,17,17,False,"34,38",34,21,21,1,0.013888888888888888,17
72,19,19/72,19,19,False,"34,38",34,15,15,1,0.013888888888888888,19
73,15,15/73,"34,39","34,39",False,5,5,"29,44",,1,0.0136986301369863,"34,39"
73,16,16/73,"32,41",,True,9,9,23,23,2,0.0273972602739726,9
73,17,17/73,"30,43",30,False,13,13,17,17,1,0.0136986301369863,30
73,18,18/73,4,4,False,8,8,12,12,1,0.0136986301369863,4
73,19,19/73,23,23,False,27,27,4,4,1,0.0136986301369863,23
73,20,20/73,11,11,False,22,22,"33,40","33,40",1,0.0136986301369863,11
73,21,21/73,7,7,False,14,14,21,21,1,0.0136986301369863,7
74,15,15/74,5,5,False,10,10,15,15,1,0.013513513513513514,5
74,17,17/74,13,13,False,26,26,"35,39",39,1,0.013513513513513514,13
74,19,19/74,"35,39",39,False,4,4,"31,43",31,1,0.013513513513513514,39
74,21,21/74,7,7,False,14,14,21,21,1,0.013513513513513514,7
75,16,16/75,14,14,False,28,28,"33,42","33,42",1,0.013333333333333334,14
75,17,17/75,22,22,False,"31,44",31,9,9,1,0.013333333333333334,22
75,19,19/75,4,4,False,8,8,12,12,1,0.013333333333333334,4
75,22,22/75,17,17,False,"34,41",34,24,24,1,0.013333333333333334,17
76,17,17/76,9,9,False,18,18,27,27,1,0.013157894736842105,9
76,21,21/76,29,,True,18,18,11,11,2,0.02631578947368421,18
77,16,16/77,24,24,False,29,,5,5,1,0.012987012987012988,24
77,17,17/77,9,9,False,18,18,27,27,1,0.012987012987012988,9
77,18,18/77,30,30,False,17,17,13,13,1,0.012987012987012988,30
77,19,19/77,4,4,False,8,8,12,12,1,0.012987012987012988,4
77,20,20/77,27,27,False,23,23,4,4,1,0.012987012987012988,27
77,23,23/77,10,10,False,20,,30,30,1,0.012987012987012988,10
78,17,17/78,23,23,False,32,,9,9,1,0.01282051282051282,23
78,19,19/78,"37,41",,True,4,4,"33,45","33,45",2,0.02564102564102564,4
78,23,23/78,17,17,False,"34,44",34,27,27,1,0.01282051282051282,17
79,16,16/79,5,5,False,10,10,15,15,1,0.012658227848101266,5
79,17,17/79,14,14,False,28,28,"37,42",42,1,0.012658227848101266,14
79,18,18/79,22,22,False,"35,44",,13,13,1,0.012658227848101266,22
79,19,19/79,25,25,False,29,,4,4,1,0.012658227848101266,25
79,20,20/79,4,4,False,8,8,12,12,1,0.012658227848101266,4
79,21,21/79,15,15,False,30,30,"34,45","34,45",1,0.012658227848101266,15
79,22,22/79,18,18,False,"36,43",36,25,25,1,0.012658227848101266,18
79,23,23/79,24,24,False,31,31,7,7,1,0.012658227848101266,24
80,17,17/80,33,33,False,14,14,19,19,1,0.0125,33
80,19,19/80,21,21,False,"38,42",42,17,17,1,0.0125,21
80,21,21/80,19,19,False,"38,42",42,23,23,1,0.0125,19
80,23,23/80,7,7,False,14,14,21,21,1,0.0125,7
81,17,17/81,19,19,False,"38,43",,24,24,1,0.012345679012345678,19
81,19,19/81,17,17,False,34,34,30,30,1,0.012345679012345678,17
81,20,20/81,4,4,False,8,8,12,12,1,0.012345679012345678,4
81,22,22/81,11,11,False,22,22,33,33,1,0.012345679012345678,11
81,23,23/81,7,7,False,14,14,21,21,1,0.012345679012345678,7
82,17,17/82,29,,True,24,24,5,5,2,0.024390243902439025,24
82,19,19/82,13,13,False,26,26,"39,43",39,1,0.012195121951219513,13
82,21,21/82,"39,43",39,False,4,4,35,,1,0.012195121951219513,39
82,23,23/82,25,25,False,32,,7,7,1,0.012195121951219513,25
83,17,17/83,"39,44",39,False,5,5,34,34,1,0.012048192771084338,39
83,18,18/83,23,23,False,37,,14,14,1,0.012048192771084338,23
83,19,19/83,35,,True,13,13,22,22,2,0.024096385542168676,13
83,20,20/83,29,,True,25,25,4,4,2,0.024096385542168676,25
83,21,21/83,4,4,False,8,8,12,12,1,0.012048192771084338,4
83,22,22/83,34,34,False,15,15,19,19,1,0.012048192771084338,34
83,23,23/83,18,18,False,36,36,29,,1,0.012048192771084338,18
83,24,24/83,"38,45",45,False,7,7,31,31,1,0.012048192771084338,45
84,17,17/84,5,5,False,10,10,15,15,1,0.011904761904761904,5
84,19,19/84,31,31,False,22,22,9,9,1,0.011904761904761904,31
84,23,23/84,11,11,False,22,22,33,33,1,0.011904761904761904,11
84,25,25/84,37,,True,10,10,27,27,2,0.023809523809523808,10
