q,allowed_branches,best_rho,best_m_list,best_s_min,first_shell_miss_m_list,all_first_shell_misses_hit_shell2,q_is_one_shell_only,q_needs_two_shells
46,"11,13",1,"11,13",0.021739130434782608,,True,True,False
47,"10,11,12,13,14",1,"10,11,12,13,14",0.02127659574468085,,True,True,False
48,"11,13",1,"11,13",0.020833333333333332,,True,True,False
49,"10,11,12,13",1,"10,11,12,13",0.02040816326530612,,True,True,False
50,"11,13",1,"11,13",0.02,,True,True,False
51,"11,13,14",1,"11,13,14",0.0196078431372549,,True,True,False
52,"11,15",1,"11,15",0.019230769230769232,,True,True,False
53,"11,12,13,14,15",1,"11,12,13,14,15",0.018867924528301886,,True,True,False
54,"11,13",1,"11,13",0.018518518518518517,,True,True,False
55,"12,13,14,16",1,"12,13,14,16",0.01818181818181818,,True,True,False
56,"13,15",1,"13,15",0.017857142857142856,,True,True,False
57,"13,14,16,17",1,"13,14,16,17",0.017543859649122806,,True,True,False
58,"13,15,17",1,"13,15,17",0.017241379310344827,,True,True,False
59,"12,13,14,15,16,17",1,"12,13,14,15,16,17",0.01694915254237288,,True,True,False
60,"13,17",1,"13,17",0.016666666666666666,,True,True,False
61,"13,14,15,16,17,18",1,"13,14,15,16,17,18",0.01639344262295082,,True,True,False
62,"13,15,17",1,"13,15,17",0.016129032258064516,,True,True,False
63,"13,16,17",1,"13,16,17",0.015873015873015872,,True,True,False
64,"13,15,17,19",1,"13,15,17,19",0.015625,,True,True,False
65,"14,16,17,18,19",1,"14,16,17,18,19",0.015384615384615385,,True,True,False
66,"17,19",1,"17,19",0.015151515151515152,,True,True,False
67,"14,15,16,17,18,19,20",1,"14,15,16,17,18,19,20",0.014925373134328358,,True,True,False
68,"15,19",1,"15,19",0.014705882352941176,,True,True,False
69,"14,16,17,19,20",1,"14,16,17,19,20",0.014492753623188406,,True,True,False
70,"17,19",1,"17,19",0.014285714285714285,,True,True,False
71,"15,16,17,18,19,20,21",1,"15,16,17,18,19,20,21",0.014084507042253521,,True,True,False
72,"17,19",1,"17,19",0.013888888888888888,,True,True,False
73,"15,16,17,18,19,20,21",2,16,0.0273972602739726,16,True,False,True
74,"15,17,19,21",1,"15,17,19,21",0.013513513513513514,,True,True,False
75,"16,17,19,22",1,"16,17,19,22",0.013333333333333334,,True,True,False
76,"17,21",2,21,0.02631578947368421,21,True,False,True
77,"16,17,18,19,20,23",1,"16,17,18,19,20,23",0.012987012987012988,,True,True,False
78,"17,19,23",2,19,0.02564102564102564,19,True,False,True
79,"16,17,18,19,20,21,22,23",1,"16,17,18,19,20,21,22,23",0.012658227848101266,,True,True,False
80,"17,19,21,23",1,"17,19,21,23",0.0125,,True,True,False
81,"17,19,20,22,23",1,"17,19,20,22,23",0.012345679012345678,,True,True,False
82,"17,19,21,23",2,17,0.024390243902439025,17,True,False,True
83,"17,18,19,20,21,22,23,24",2,"19,20",0.024096385542168676,"19,20",True,False,True
84,"17,19,23,25",2,25,0.023809523809523808,25,True,False,True
85,"18,19,21,22,23,24",2,23,0.023529411764705882,23,True,False,True
86,"19,21,23,25",1,"19,21,23,25",0.011627906976744186,,True,True,False
87,"19,20,22,23,25,26",2,19,0.022988505747126436,19,True,False,True
88,"19,21,23,25",2,19,0.022727272727272728,19,True,False,True
89,"18,19,20,21,22,23,24,25,26",2,25,0.02247191011235955,25,True,False,True
90,"19,23",2,23,0.022222222222222223,23,True,False,True
