q,class_type,class_id,members,size,rho,signature,first_hit_residues,first_hit_diffs
29,exact,1,6,1,1,1:2;2:2;3:2;4:1;5:2;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:2,"1,28","5,24,34"
29,exact,2,7,1,1,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:2,"1,28","4,25,33"
29,exact,3,8,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:1,"1,28","11,18,40"
29,shell,1,6,1,1,1:2;2:2;3:2;4:1;5:2;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:2,"1,28","5,24,34"
29,shell,2,7,1,1,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:2,"1,28","4,25,33"
29,shell,3,8,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:1,"1,28","11,18,40"
32,exact,1,7,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:1;12:1;13:2;14:2;15:2;16:1,"1,31","9,23"
32,exact,2,9,1,1,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:2;9:2;10:2;11:2;12:1;13:2;14:2;15:2;16:1,"1,31","7,25,39"
32,shell,1,7,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:1;12:1;13:2;14:2;15:2;16:1,"1,31","9,23"
32,shell,2,9,1,1,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:2;9:2;10:2;11:2;12:1;13:2;14:2;15:2;16:1,"1,31","7,25,39"
35,exact,1,8,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:1;12:2;13:1;14:2;15:1;16:2;17:2,"1,34","13,22"
35,exact,2,9,1,1,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:1;9:2;10:2;11:2;12:2;13:2;14:2;15:2;16:1;17:2,"1,34","4,31,39"
35,shell,1,8,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:1;12:2;13:1;14:2;15:1;16:2;17:2,"1,34","13,22"
35,shell,2,9,1,1,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:1;9:2;10:2;11:2;12:2;13:2;14:2;15:2;16:1;17:2,"1,34","4,31,39"
73,exact,1,15,1,1,1:2;2:1;4:1;5:1;6:1;7:1;9:1;10:1;11:1;12:1;13:1;16:2;17:1;18:2;19:1;20:1;21:1;22:1;23:1;24:1;25:1;26:1;27:2;28:1;29:1;30:1;32:1;33:1;34:1;35:1;36:1,"1,72","34,39"
73,exact,2,16,1,2,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:2;11:1;12:1;13:1;14:1;15:2;17:2;18:1;19:1;20:1;21:1;22:1;23:1;25:1;27:1;29:1;30:1;31:1;32:1;33:2;34:1;35:1;36:1,71,9
73,exact,3,17,1,1,1:1;2:1;3:1;4:1;5:1;6:2;7:1;8:1;9:1;10:1;12:1;13:1;14:1;15:1;16:2;19:1;20:1;21:1;22:1;23:2;24:1;26:1;27:1;28:1;29:1;30:1;31:1;32:1;34:1;35:2;36:1,72,30
73,exact,4,18,1,1,1:1;2:1;3:1;4:1;6:1;7:2;9:1;10:2;12:1;13:1;14:1;15:1;16:1;17:1;19:1;20:1;21:1;22:1;23:1;24:1;25:1;26:2;28:2;29:1;30:1;31:1;32:1;33:1;34:1;35:1;36:1,72,4
73,exact,5,19,1,1,1:1;2:1;3:1;4:1;5:2;6:1;7:1;9:1;10:1;11:2;12:1;13:1;14:1;16:1;17:1;18:1;20:1;21:2;22:1;23:1;25:1;26:1;27:1;28:1;29:1;30:2;31:1;32:1;34:1;35:1;36:1,72,23
73,exact,6,20,1,1,1:1;2:1;3:2;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;18:1;19:1;21:1;22:1;23:2;24:2;25:1;26:1;27:1;28:1;29:1;31:1;32:1;33:1;34:1;36:2,1,11
73,exact,7,21,1,1,1:1;2:1;3:1;4:2;6:2;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;16:2;17:1;19:1;20:1;22:1;23:1;24:1;26:1;27:1;28:1;29:1;30:1;31:1;32:1;33:1;34:1;35:1;36:2,1,7
73,shell,1,15,1,1,1:2;2:1;4:1;5:1;6:1;7:1;9:1;10:1;11:1;12:1;13:1;16:2;17:1;18:2;19:1;20:1;21:1;22:1;23:1;24:1;25:1;26:1;27:2;28:1;29:1;30:1;32:1;33:1;34:1;35:1;36:1,"1,72","34,39"
