q,m,k_fraction,k_decimal,rho_q_m,s_min_q_m,exact_class_id,shell_class_id,shell_signature,first_hit_residues,first_hit_diffs
29,6,6/29,0.20689655172413793,1,0.034482758620689655,1,1,1:2;2:2;3:2;4:1;5:2;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:2,"1,28","5,24,34"
29,7,7/29,0.2413793103448276,1,0.034482758620689655,2,2,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:2,"1,28","4,25,33"
29,8,8/29,0.27586206896551724,1,0.034482758620689655,3,3,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:2;12:2;13:2;14:1,"1,28","11,18,40"
32,7,7/32,0.21875,1,0.03125,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:1;12:1;13:2;14:2;15:2;16:1,"1,31","9,23"
32,9,9/32,0.28125,1,0.03125,2,2,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:2;9:2;10:2;11:2;12:1;13:2;14:2;15:2;16:1,"1,31","7,25,39"
35,8,8/35,0.22857142857142856,1,0.02857142857142857,1,1,1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:2;9:2;10:2;11:1;12:2;13:1;14:2;15:1;16:2;17:2,"1,34","13,22"
35,9,9/35,0.2571428571428571,1,0.02857142857142857,2,2,1:2;2:2;3:2;4:2;5:1;6:2;7:2;8:1;9:2;10:2;11:2;12:2;13:2;14:2;15:2;16:1;17:2,"1,34","4,31,39"
73,15,15/73,0.2054794520547945,1,0.0136986301369863,1,1,1:2;2:1;4:1;5:1;6:1;7:1;9:1;10:1;11:1;12:1;13:1;16:2;17:1;18:2;19:1;20:1;21:1;22:1;23:1;24:1;25:1;26:1;27:2;28:1;29:1;30:1;32:1;33:1;34:1;35:1;36:1,"1,72","34,39"
73,16,16/73,0.2191780821917808,2,0.0273972602739726,2,2,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:2;11:1;12:1;13:1;14:1;15:2;17:2;18:1;19:1;20:1;21:1;22:1;23:1;25:1;27:1;29:1;30:1;31:1;32:1;33:2;34:1;35:1;36:1,71,9
73,17,17/73,0.2328767123287671,1,0.0136986301369863,3,3,1:1;2:1;3:1;4:1;5:1;6:2;7:1;8:1;9:1;10:1;12:1;13:1;14:1;15:1;16:2;19:1;20:1;21:1;22:1;23:2;24:1;26:1;27:1;28:1;29:1;30:1;31:1;32:1;34:1;35:2;36:1,72,30
73,18,18/73,0.2465753424657534,1,0.0136986301369863,4,4,1:1;2:1;3:1;4:1;6:1;7:2;9:1;10:2;12:1;13:1;14:1;15:1;16:1;17:1;19:1;20:1;21:1;22:1;23:1;24:1;25:1;26:2;28:2;29:1;30:1;31:1;32:1;33:1;34:1;35:1;36:1,72,4
73,19,19/73,0.2602739726027397,1,0.0136986301369863,5,5,1:1;2:1;3:1;4:1;5:2;6:1;7:1;9:1;10:1;11:2;12:1;13:1;14:1;16:1;17:1;18:1;20:1;21:2;22:1;23:1;25:1;26:1;27:1;28:1;29:1;30:2;31:1;32:1;34:1;35:1;36:1,72,23
73,20,20/73,0.273972602739726,1,0.0136986301369863,6,6,1:1;2:1;3:2;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;18:1;19:1;21:1;22:1;23:2;24:2;25:1;26:1;27:1;28:1;29:1;31:1;32:1;33:1;34:1;36:2,1,11
73,21,21/73,0.2876712328767123,1,0.0136986301369863,7,7,1:1;2:1;3:1;4:2;6:2;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;16:2;17:1;19:1;20:1;22:1;23:1;24:1;26:1;27:1;28:1;29:1;30:1;31:1;32:1;33:1;34:1;35:1;36:2,1,7
