q,profile_by_gcd,nu_q_nonzero,has_zero_residue,mu_q_window_branch_count,coarse_upper_bound_rho,layered_upper_bound_rho,prime_lower_bound_rho,composite_lower_bound_rho,exact_best_rho,exact_best_s_min,best_m_list,coarse_upper_tight,layered_upper_tight,prime_lower_tight,composite_lower_tight
4,1:2;2:1,3,True,1,0,0,,0,0,0.0,1,True,True,False,True
5,1:4,4,True,1,0,0,,0,0,0.0,1,True,True,False,True
7,1:6,6,True,1,0,0,,0,0,0.0,2,True,True,False,True
9,1:6;3:2,8,True,1,0,0,,0,0,0.0,2,True,True,False,True
10,1:4;2:4;5:1,9,True,1,0,0,,0,0,0.0,3,True,True,False,True
11,1:10,10,True,1,0,0,,0,0,0.0,3,True,True,False,True
13,1:12,12,True,1,0,0,,0,0,0.0,3,True,True,False,True
14,1:6;2:6;7:1,13,True,1,0,0,,0,0,0.0,3,True,True,False,True
15,1:8;3:4;5:2,14,True,1,0,0,,0,0,0.0,4,True,True,False,True
17,1:16,16,True,2,0,0,,0,0,0.0,"4,5",True,True,False,True
18,1:6;2:6;3:2;6:2;9:1,17,True,1,0,0,,0,0,0.0,5,True,True,False,True
19,1:18,18,True,2,0,0,,0,0,0.0,"4,5",True,True,False,True
21,1:11;3:6;7:2,19,True,1,0,0,,0,0,0.0,5,True,True,False,True
22,1:10;2:10;11:1,21,True,1,0,0,,0,0,0.0,5,True,True,False,True
23,1:21,21,True,2,0,0,,0,0,0.0,"5,6",True,True,False,True
24,1:8;2:4;3:4;4:1;6:2;8:2;12:1,22,True,2,0,0,,0,0,0.0,"5,7",True,True,False,True
25,1:20;5:4,24,True,2,0,0,,0,0,0.0,"6,7",True,True,False,True
26,1:12;2:11;13:1,24,True,1,0,0,,0,0,0.0,7,True,True,False,True
27,1:17;3:6;9:2,25,True,2,0,0,,0,0,0.0,"7,8",True,True,False,True
29,1:27,27,False,3,1,1,1,1,1,0.034482758620689655,"6,7,8",True,True,True,True
30,1:7;2:8;3:4;5:2;6:4;10:1;15:1,27,True,1,0,0,,0,0,0.0,7,True,True,False,True
31,1:27,27,True,3,0,0,,0,0,0.0,"7,8,9",True,True,False,True
32,1:15;2:8;4:3;8:2;16:1,29,False,2,2,1,,1,1,0.03125,"7,9",False,True,False,True
33,1:17;3:10;11:2,29,True,2,0,0,,0,0,0.0,"7,8",True,True,False,True
34,1:14;2:14;17:1,29,True,2,0,0,,0,0,0.0,"7,9",True,True,False,True
35,1:22;5:5;7:4,31,False,2,2,2,,1,1,0.02857142857142857,"8,9",False,False,False,True
37,1:31,31,False,4,3,3,1,1,1,0.02702702702702703,"8,9,10,11",False,False,True,True
38,1:15;2:16;19:1,32,False,2,3,3,,1,1,0.02631578947368421,"9,11",False,False,False,True
39,1:18;3:12;13:2,32,True,3,0,0,,0,0,0.0,"8,10,11",True,True,False,True
40,1:13;2:7;4:4;5:3;8:3;10:2,32,True,2,0,0,,0,0,0.0,"9,11",True,True,False,True
41,1:34,34,False,4,4,4,1,1,1,0.024390243902439025,"9,10,11,12",False,False,True,True
42,1:8;2:9;3:6;6:6;7:1;14:2;21:1,33,True,1,0,0,,0,0,0.0,11,True,True,False,True
43,1:34,34,False,4,5,5,1,1,1,0.023255813953488372,"9,10,11,12",False,False,True,True
44,1:15;2:9;4:8;11:2;22:1,35,False,2,5,2,,1,1,0.022727272727272728,"9,13",False,False,False,True
45,1:16;3:8;5:4;9:4;15:2,34,True,2,0,0,,0,0,0.0,"11,13",True,True,False,True
46,1:16;2:18;23:1,35,False,2,6,6,,1,1,0.021739130434782608,"11,13",False,False,False,True
47,1:35,35,False,5,6,6,1,1,1,0.02127659574468085,"10,11,12,13,14",False,False,True,True
48,1:9;2:6;3:8;4:2;6:4;8:2;12:2;16:1;24:1,35,False,2,7,3,,1,1,0.020833333333333332,"11,13",False,False,False,True
49,1:30;7:5,35,False,4,7,7,,1,1,0.02040816326530612,"10,11,12,13",False,False,False,True
50,1:13;2:15;5:3;10:3;25:1,35,False,2,8,5,,1,1,0.02,"11,13",False,False,False,True
51,1:18;3:15;17:2,35,False,3,8,3,,1,1,0.0196078431372549,"11,13,14",False,False,False,True
52,1:15;2:9;4:8;13:2;26:1,35,False,2,9,6,,1,1,0.019230769230769232,"11,15",False,False,False,True
53,1:35,35,False,5,9,9,1,1,1,0.018867924528301886,"11,12,13,14,15",False,False,True,True
54,1:9;2:11;3:5;6:5;9:2;18:2;27:1,35,False,2,10,3,,1,1,0.018518518518518517,"11,13",False,False,False,True
55,1:25;5:7;11:3,35,False,4,10,9,,1,1,0.01818181818181818,"12,13,14,16",False,False,False,True
56,1:15;2:8;4:3;7:2;8:4;14:2;28:1,35,False,2,11,10,,1,1,0.017857142857142856,"13,15",False,False,False,True
57,1:19;3:15;19:1,35,False,4,11,6,,1,1,0.017543859649122806,"13,14,16,17",False,False,False,True
58,1:17;2:18,35,False,3,12,11,,1,1,0.017241379310344827,"13,15,17",False,False,False,True
59,1:35,35,False,6,12,12,1,1,1,0.01694915254237288,"12,13,14,15,16,17",False,False,True,True
60,1:7;2:5;3:6;4:4;5:2;6:3;10:1;12:3;15:2;20:1;30:1,35,False,2,13,6,,1,1,0.016666666666666666,"13,17",False,False,False,True
61,1:35,35,False,6,13,13,1,1,1,0.01639344262295082,"13,14,15,16,17,18",False,False,True,True
62,1:16;2:18;31:1,35,False,3,14,14,,1,1,0.016129032258064516,"13,15,17",False,False,False,True
63,1:17;3:8;7:3;9:5;21:2,35,False,3,14,9,,1,1,0.015873015873015872,"13,16,17",False,False,False,True
64,1:17;2:10;4:4;8:3;16:1,35,False,4,15,8,,1,1,0.015625,"13,15,17,19",False,False,False,True
65,1:25;5:7;13:3,35,False,5,15,13,,1,1,0.015384615384615385,"14,16,17,18,19",False,False,False,True
66,1:8;2:10;3:7;6:7;11:1;22:1;33:1,35,False,2,16,9,,1,1,0.015151515151515152,"17,19",False,False,False,True
67,1:35,35,False,7,16,16,1,1,1,0.014925373134328358,"14,15,16,17,18,19,20",False,False,True,True
68,1:16;2:9;4:8;17:1;34:1,35,False,2,17,14,,1,1,0.014705882352941176,"15,19",False,False,False,True
69,1:19;3:15;23:1,35,False,5,17,12,,1,1,0.014492753623188406,"14,16,17,19,20",False,False,False,True
70,1:11;2:12;5:4;7:2;10:3;14:3,35,False,2,18,14,,1,1,0.014285714285714285,"17,19",False,False,False,True
71,1:35,35,False,7,18,18,1,1,1,0.014084507042253521,"15,16,17,18,19,20,21",False,False,True,True
72,1:9;2:6;3:5;4:2;6:3;8:3;9:3;12:1;18:1;24:1;36:1,35,False,2,19,6,,1,1,0.013888888888888888,"17,19",False,False,False,True
74,1:17;2:18,35,False,4,20,19,,1,1,0.013513513513513514,"15,17,19,21",False,False,False,True
75,1:16;3:12;5:3;15:3;25:1,35,False,4,20,15,,1,1,0.013333333333333334,"16,17,19,22",False,False,False,True
77,1:27;7:5;11:3,35,False,6,21,20,,1,1,0.012987012987012988,"16,17,18,19,20,23",False,False,False,True
79,1:35,35,False,8,22,22,1,1,1,0.012658227848101266,"16,17,18,19,20,21,22,23",False,False,True,True
80,1:13;2:8;4:4;5:4;8:2;10:2;16:1;40:1,35,False,4,23,22,,1,1,0.0125,"17,19,21,23",False,False,False,True
81,1:20;3:10;9:4;27:1,35,False,5,23,18,,1,1,0.012345679012345678,"17,19,20,22,23",False,False,False,True
86,1:17;2:18,35,False,4,26,25,,1,1,0.011627906976744186,"19,21,23,25",False,False,False,True
