q,best_s_min_fraction,best_s_min_float,best_rho,representative_m,representative_k_fraction,representative_L_over_R,representative_geometry_gap,all_best_m,all_best_k,score_varies_with_m
4,0/1,0.0,0,1,1/4,0.5000000000000001,1.1102230246251565e-16,1,1/4,False
5,0/1,0.0,0,1,1/5,0.3454915028125263,0.15450849718747373,1,1/5,False
7,0/1,0.0,0,2,2/7,0.6112604669781572,0.11126046697815717,2,2/7,False
9,0/1,0.0,0,2,2/9,0.41317591116653474,0.08682408883346526,2,2/9,False
10,0/1,0.0,0,3,3/10,0.6545084971874737,0.15450849718747373,3,3/10,False
11,0/1,0.0,0,3,3/11,0.5711574191366425,0.07115741913664253,3,3/11,False
13,0/1,0.0,0,3,3/13,0.4397316598723385,0.060268340127661524,3,3/13,False
14,0/1,0.0,0,3,3/14,0.3887395330218427,0.11126046697815728,3,3/14,False
15,0/1,0.0,0,4,4/15,0.5522642316338265,0.05226423163382654,4,4/15,False
17,0/1,0.0,0,4,4/17,0.453865820268349,0.046134179731651015,"4,5","4/17,5/17",False
18,0/1,0.0,0,5,5/18,0.5868240888334652,0.08682408883346515,5,5/18,False
19,0/1,0.0,0,5,5/19,0.5412896727361661,0.04128967273616613,"5,4","5/19,4/19",False
21,0/1,0.0,0,5,5/21,0.4626349532067878,0.037365046793212175,5,5/21,False
22,0/1,0.0,0,5,5/22,0.42884258086335736,0.07115741913664264,5,5/22,False
23,0/1,0.0,0,6,6/23,0.5341212066823354,0.034121206682335425,"6,5","6/23,5/23",False
24,0/1,0.0,0,5,5/24,0.37059047744873963,0.12940952255126037,"5,7","5/24,7/24",False
25,0/1,0.0,0,6,6/25,0.4686047402353432,0.03139525976465679,"6,7","6/25,7/25",False
26,0/1,0.0,0,7,7/26,0.5602683401276615,0.06026834012766147,7,7/26,False
27,0/1,0.0,0,7,7/27,0.529072414455238,0.029072414455238005,"7,8","7/27,8/27",False
29,1/29,0.034482758620689655,1,7,7/29,0.4729305457072911,0.027069454292708905,"7,8,6","7/29,8/29,6/29",False
30,0/1,0.0,0,7,7/30,0.4477357683661733,0.05226423163382671,7,7/30,False
31,0/1,0.0,0,8,8/31,0.5253245844193564,0.025324584419356366,"8,7,9","8/31,7/31,9/31",False
32,1/32,0.03125,1,9,9/32,0.597545161008064,0.09754516100806399,"9,7","9/32,7/32",False
