rank,q,m,k_fraction,k_float,s_min_fraction,s_min_float,rho,L_over_R,geometry_gap_to_target,limiting_diffs
1,29,7,7/29,0.2413793103448276,1/29,0.034482758620689655,1,0.4729305457072911,0.027069454292708905,"4,25,33"
2,29,8,8/29,0.27586206896551724,1/29,0.034482758620689655,1,0.5808909982763824,0.08089099827638235,"11,18,40"
3,29,6,6/29,0.20689655172413793,1/29,0.034482758620689655,1,0.36623583073538957,0.13376416926461043,"5,24,34"
4,192,53,53/192,0.2760416666666667,1/32,0.03125,6,0.5814477366972943,0.08144773669729433,18
5,32,9,9/32,0.28125,1/32,0.03125,1,0.597545161008064,0.09754516100806399,"7,25,39"
6,32,7,7/32,0.21875,1/32,0.03125,1,0.40245483899193585,0.09754516100806415,"9,23"
7,163,45,45/163,0.27607361963190186,5/163,0.03067484662576687,5,0.5815467774709313,0.08154677747093131,18
8,198,41,41/198,0.20707070707070707,1/33,0.030303030303030304,6,0.36676309315498257,0.13323690684501743,24
9,199,48,48/199,0.24120603015075376,6/199,0.03015075376884422,6,0.4723869844477459,0.027613015552254094,25
10,134,37,37/134,0.27611940298507465,2/67,0.029850746268656716,4,0.5816886809092652,0.08168868090926518,18
11,169,37,37/169,0.21893491124260356,5/169,0.029585798816568046,5,0.4030246583666436,0.09697534163335642,9
12,169,35,35/169,0.20710059171597633,5/169,0.029585798816568046,5,0.3668535861925508,0.13314641380744918,24
13,170,41,41/170,0.2411764705882353,1/34,0.029411764705882353,5,0.47229426254201495,0.027705737457985047,25
14,137,30,30/137,0.21897810218978103,4/137,0.029197080291970802,4,0.4031577737500017,0.09684222624999828,9
15,35,9,9/35,0.2571428571428571,1/35,0.02857142857142857,1,0.5224324151752573,0.022432415175257292,"4,31,39"
16,35,8,8/35,0.22857142857142856,1/35,0.02857142857142857,1,0.43288336709117226,0.06711663290882774,"13,22"
17,105,29,29/105,0.2761904761904762,1/35,0.02857142857142857,3,0.5819089557075688,0.08190895570756884,18
18,105,23,23/105,0.21904761904761905,1/35,0.02857142857142857,3,0.4033720411022234,0.09662795889777659,9
19,140,29,29/140,0.20714285714285716,1/35,0.02857142857142857,4,0.36698157721666236,0.13301842278333764,24
20,141,34,34/141,0.24113475177304963,4/141,0.028368794326241134,4,0.47216340133752577,0.027836598662474232,25
21,178,43,43/178,0.24157303370786518,5/178,0.028089887640449437,5,0.47353827293991846,0.02646172706008154,33
22,178,39,39/178,0.21910112359550563,5/178,0.028089887640449437,5,0.4035369672952515,0.09646303270474849,9
23,179,37,37/179,0.20670391061452514,5/179,0.027932960893854747,5,0.3656527885104979,0.13434721148950213,34
24,181,50,50/181,0.27624309392265195,5/181,0.027624309392265192,5,0.5820720215572377,0.0820720215572377,18
25,73,16,16/73,0.2191780821917808,2/73,0.0273972602739726,2,0.403774209014585,0.096225790985415,9
26,183,40,40/183,0.2185792349726776,5/183,0.0273224043715847,5,0.4019287292859015,0.09807127071409849,23
27,37,9,9/37,0.24324324324324326,1/37,0.02702702702702703,1,0.47877939840192585,0.02122060159807415,"4,33"
28,37,10,10/37,0.2702702702702703,1/37,0.02702702702702703,1,0.5635089098734394,0.06350890987343938,"11,26"
29,185,51,51/185,0.2756756756756757,1/37,0.02702702702702703,5,0.5803130851610887,0.0803130851610887,40
30,185,52,52/185,0.2810810810810811,1/37,0.02702702702702703,5,0.5970246284910876,0.09702462849108762,25
31,37,8,8/37,0.21621621621621623,1/37,0.02702702702702703,1,0.3946603650021369,0.10533963499786309,"14,23"
32,111,23,23/111,0.2072072072072072,1/37,0.02702702702702703,3,0.36717646444456187,0.13282353555543813,24
33,37,11,11/37,0.2972972972972973,1/37,0.02702702702702703,1,0.6464113856382752,0.14641138563827516,"10,27"
34,149,36,36/149,0.24161073825503357,4/149,0.026845637583892617,4,0.4736565600073603,0.026343439992639717,33
35,112,27,27/112,0.24107142857142858,3/112,0.026785714285714284,3,0.47196477638140405,0.02803522361859595,25
36,187,41,41/187,0.2192513368983957,5/187,0.026737967914438502,5,0.40400005358498986,0.09599994641501014,9
37,150,31,31/150,0.20666666666666667,2/75,0.02666666666666667,4,0.3655400896923671,0.13445991030763288,34
38,188,43,43/188,0.22872340425531915,5/188,0.026595744680851064,5,0.4333565223131105,0.0666434776868895,13
39,151,33,33/151,0.2185430463576159,4/151,0.026490066225165563,4,0.40181725031611787,0.09818274968388213,23
40,189,46,46/189,0.24338624338624337,5/189,0.026455026455026454,5,0.47922825031808663,0.020771749681913365,4
