rank,k,k_rational_hint,L_over_R,s_min,F_min_tau3,F_min_tau5,limiting_mode_i,limiting_mode_j
1,0.2068965,,0.3662356741622116,0.03448099999999976,87.00443722629915,145.00739537716524,6,40
2,0.275862,,0.5808907844689986,0.03448000000000073,87.0069605568427,145.01160092807118,6,46
3,0.2413795,,0.4729311406527864,0.0344765000000008,87.01579336649401,145.02632227749,4,37
4,0.28125,9/32,0.597545161008064,0.03125,96.0,160.0,1,40
5,0.21875,7/32,0.40245483899193585,0.03125,96.0,160.0,1,10
6,0.2285715,,0.43288358945978556,0.028570499999999832,105.00341261091047,175.00568768485078,18,31
7,0.257143,,0.5224328635222882,0.028566999999999787,105.01627752301685,175.02712920502807,15,46
8,0.2432435,,0.4787802043002976,0.027026000000000217,111.0042181602892,185.00703026714868,6,10
9,0.2972975,,0.6464119945340461,0.027025000000001853,111.00832562441423,185.01387604069038,27,37
10,0.27027049999999997,,0.563509625745009,0.027024500000000007,111.01037947048046,185.01729911746745,4,15
11,0.21621600000000002,,0.39465970098485953,0.027024000000000103,111.01243339253953,185.02072232089924,1,15
12,0.236842,,0.45870999769936677,0.026313999999999726,114.00775252717304,190.0129208786217,10,27
13,0.2894735,,0.622742182564389,0.02630749999999943,114.03592131521677,190.0598688586946,1,46
14,0.29268299999999997,,0.6324909727538068,0.024389000000000216,123.00627331993823,205.01045553323038,10,27
15,0.2682925,,0.5573411418092769,0.024387499999999562,123.0138390568961,205.02306509482685,31,46
16,0.255814,,0.5182611575519324,0.023254000000000552,129.01006278489416,215.01677130815693,1,40
17,0.232558,,0.44531396007906116,0.023253999999999664,129.01006278489908,215.01677130816515,18,31
18,0.2093025,,0.3735338389390626,0.023252499999999454,129.01838511988262,215.03064186647103,18,37
19,0.27906949999999997,,0.5908175992722541,0.023250999999998356,129.02670852867456,215.0445142144576,22,40
20,0.29545449999999995,,0.6408661414054329,0.022726499999999206,132.0044881526018,220.00748025433634,1,18
