rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
1,10/37,0.2702702702702703,37,10,1/37,0.02702702702702703,111.0,0.5635089098734394,0.06350890987343938,True,4.188081021002088,7.258901067653814,15,0.7239901617671772,0.8309412960962083,12.049789819708248,15.507592706136542,15,0.9412858792483823,0.9685916555850258
2,6/29,0.20689655172413793,29,6,1/29,0.034482758620689655,87.0,0.36623583073538957,0.13376416926461043,True,3.9518031178915995,6.878878849092126,22,0.7129871265559123,0.8162982201916438,11.993222181604,15.13826701135436,22,0.9405618683293527,0.9658298095530592
3,9/37,0.24324324324324326,37,9,1/37,0.02702702702702703,111.0,0.47877939840192585,0.02122060159807415,True,3.733525774888956,6.097546765149139,10,0.7025929735966977,0.7890080300213581,11.654487380285163,14.154287723646151,10,0.9360486546246063,0.9573771140229498
4,8/29,0.27586206896551724,29,8,1/29,0.034482758620689655,87.0,0.5808909982763824,0.08089099827638235,True,3.511236487179718,7.336072727661652,4,0.6917880824982414,0.8266166460217051,11.587790024803589,15.671641519406846,4,0.9351231428895724,0.9678772849715799
5,7/29,0.2413793103448276,29,7,1/29,0.034482758620689655,87.0,0.4729305457072911,0.027069454292708905,True,3.441632986403526,6.245809010406742,6,0.6883604289488044,0.7959608063544715,11.525972203367118,14.445405587001451,6,0.9342542248471951,0.9611415257550245
6,12/41,0.2926829268292683,41,12,1/41,0.024390243902439025,123.0,0.6324907510983308,0.13249075109833075,True,3.7219270824714306,6.4567052584372275,22,0.7020346132940039,0.8011792448558127,11.400003911416434,14.506448797719687,22,0.9324500277318396,0.9594033260481267
7,19/78,0.24358974358974358,78,19,1/39,0.02564102564102564,117.0,0.4798670299452924,0.0201329700547076,True,3.453647746550553,6.083870833721161,10,0.6889535901828358,0.7881346197854313,11.297050260218914,14.140418962245173,10,0.9309414668420092,0.9569507870115124
8,11/41,0.2682926829268293,41,11,1/41,0.024390243902439025,123.0,0.5573417126992001,0.057341712699200076,True,3.4335610746361223,6.146386571672413,1,0.6879615762512651,0.7911071810685318,11.154755795818938,14.203296650080551,1,0.9288050805892134,0.9570570307775633
9,7/32,0.21875,32,7,1/32,0.03125,96.0,0.40245483899193585,0.09754516100806415,True,3.170732958112023,4.696281712183738,27,0.6748246368925049,0.7452365644097734,11.109861666350502,12.734751009818977,27,0.9281184797873616,0.9486224070725782
10,23/85,0.27058823529411763,85,23,2/85,0.023529411764705882,127.5,0.5644996082651016,0.0644996082651016,True,3.378077585399142,7.355270176883484,15,0.6852124801523332,0.832965834421492,11.01889939679403,15.620304693423222,15,0.9267085630778985,0.9687606111583498
11,10/41,0.24390243902439024,41,10,1/41,0.024390243902439025,123.0,0.48084863315498216,0.019151366845017836,True,3.179366526173431,5.811505235550331,10,0.6752607142291006,0.7733156376455724,10.944580523273066,13.748686544841014,10,0.9255377611512923,0.9512630251941608
12,9/32,0.28125,32,9,1/32,0.03125,96.0,0.597545161008064,0.09754516100806399,True,2.8781459199970394,7.277881416005099,15,0.6598705926681356,0.8185411654948157,10.838689172468303,15.560798712198865,15,0.9238398526400646,0.9647762990241512
13,17/82,0.2073170731707317,82,17,1/41,0.024390243902439025,123.0,0.3675092489016691,0.13249075109833092,True,2.968163692294059,6.931371765578511,22,0.6645071396976541,0.8176120272260182,10.67428922379875,15.173049687849263,22,0.9211333181809936,0.9652643698516616
14,11/43,0.2558139534883721,43,11,1/43,0.023255813953488372,129.0,0.5182610115288295,0.01826101152882953,True,2.9192672120846175,5.610699682995542,10,0.6619924942985208,0.7665565679619846,10.602449667396845,13.496431868858911,10,0.9199232177684394,0.948494472908242
15,25/84,0.2976190476190476,84,25,1/42,0.023809523809523808,126.0,0.6473775872054521,0.14737758720545213,True,2.886292105426931,7.790981757733083,37,0.6602914574600022,0.8394070589945333,10.540430486428269,16.09029901900061,37,0.9188649278639823,0.9694494953756765
16,9/35,0.2571428571428571,35,9,1/35,0.02857142857142857,105.0,0.5224324151752573,0.022432415175257292,True,2.746144137819204,4.98385027601884,6,0.6530160212075301,0.7546527352630402,10.53637787109907,12.926665466130304,6,0.9187953323694943,0.949387078670981
17,23/90,0.25555555555555554,90,23,1/45,0.022222222222222223,135.0,0.5174497483512503,0.01744974835125035,True,2.675743449444376,5.930344275893183,10,0.6493339269531034,0.7759683394021,10.278257738116821,13.877909100534753,10,0.9142490854161552,0.9506462441618456
18,14/47,0.2978723404255319,47,14,1/47,0.02127659574468085,141.0,0.6481377904428168,0.14813779044281683,True,2.813194031350842,7.871984459304083,37,0.656505926758667,0.8424561324438634,10.26569944737071,16.16663024467827,37,0.9140221147394966,0.9695808728920113
19,11/37,0.2972972972972973,37,11,1/37,0.02702702702702703,111.0,0.6464113856382752,0.14641138563827516,True,2.5788327984828907,7.484977572200662,37,0.6442361528699264,0.8267662949960477,10.251938817924355,15.712060787909934,37,0.9137727889620361,0.965674799580512
20,16/73,0.2191780821917808,73,16,2/73,0.0273972602739726,109.5,0.403774209014585,0.096225790985415,True,2.4643867490897096,4.207630178489505,31,0.638173648797085,0.7237382311943774,10.192145909163727,12.113519524732448,31,0.9126817954376965,0.9413058787824921
21,20/83,0.24096385542168675,83,20,2/83,0.024096385542168676,124.5,0.47162736345346284,0.028372636546537155,True,2.390202592703183,6.039128163911769,6,0.634220150394861,0.782758805023069,10.14804323017289,14.15217336496537,6,0.9118691053570884,0.9554247340905954
22,13/48,0.2708333333333333,48,13,1/48,0.020833333333333332,144.0,0.5652630961100256,0.06526309611002556,True,2.6943526510650146,7.335581079165838,15,0.6503089767608562,0.8296681571074443,10.10512336509279,15.572906350236702,15,0.9110716571014835,0.9667976807247873
23,13/46,0.2826086956521739,46,13,1/46,0.021739130434782608,138.0,0.6017280065263169,0.10172800652631686,True,2.5259742564702385,7.022723878892627,15,0.6414417083948766,0.8095059449599301,10.094723966185924,15.182879191745597,15,0.910877459368971,0.9597393159790409
