Time_ms,Lambda_aligned,Power_uW,Scan_Direction
250971,794.9735210084525,1.47,Falling
260,794.9735620704279,1.46,Rising
251871,794.9735656932938,1.4,Falling
250671,794.9735926281769,1.4300000000000002,Falling
560,794.9736336901523,1.4300000000000002,Rising
250371,794.9736642479013,1.39,Falling
860,794.9737053098767,1.39,Rising
250071,794.9737358676257,1.35,Falling
1160,794.9737769296011,1.35,Rising
249771,794.9738074873501,1.32,Falling
1460,794.9738485493255,1.32,Rising
249471,794.9738791070745,1.3,Falling
1760,794.9739201690498,1.31,Rising
249168,794.9739514429962,1.27,Falling
2060,794.9739917887742,1.3,Rising
248868,794.9740230627206,1.27,Falling
2360,794.9740634084986,1.28,Rising
248568,794.974094682445,1.26,Falling
2660,794.974135028223,1.28,Rising
248268,794.9741663021694,1.27,Falling
2960,794.9742066479474,1.3,Rising
247968,794.9742379218937,1.29,Falling
3260,794.9742782676718,1.33,Rising
247668,794.9743095416181,1.33,Falling
3560,794.9743498873961,1.38,Rising
247368,794.9743811613425,1.39,Falling
3860,794.9744215071205,1.44,Rising
247068,794.9744527810669,1.46,Falling
4160,794.9744931268449,1.51,Rising
246768,794.9745244007913,1.56,Falling
4460,794.9745647465693,1.63,Rising
246468,794.9745960205157,1.6700000000000002,Falling
4760,794.9746363662937,1.68,Rising
246168,794.97466764024,1.72,Falling
5060,794.9747079860181,1.73,Rising
245868,794.9747392599644,1.72,Falling
5360,794.9747796057425,1.74,Rising
245568,794.9748108796888,1.6700000000000002,Falling
5660,794.9748512254669,1.66,Rising
245268,794.9748824994132,1.56,Falling
5960,794.9749228451913,1.57,Rising
244968,794.9749541191376,1.46,Falling
6260,794.9749944649157,1.47,Rising
244668,794.975025738862,1.35,Falling
6560,794.97506608464,1.32,Rising
244355,794.9751004621078,1.22,Falling
6860,794.9751377043644,1.19,Rising
244055,794.9751720818322,1.14,Falling
7162,794.9752098015537,1.1,Rising
243755,794.9752437015566,1.06,Falling
7462,794.975281421278,1.02,Rising
243455,794.975315321281,0.999,Falling
7762,794.9753530410024,0.967,Rising
243155,794.9753869410054,0.955,Falling
8062,794.9754246607268,0.936,Rising
242855,794.9754585607297,0.914,Falling
8362,794.9754962804512,0.902,Rising
242555,794.9755301804541,0.877,Falling
8662,794.9755679001756,0.87,Rising
242255,794.9756018001785,0.854,Falling
8962,794.9756395199,0.844,Rising
241952,794.9756741361002,0.8320000000000001,Falling
9262,794.9757111396244,0.8180000000000001,Rising
241652,794.9757457558245,0.809,Falling
9562,794.9757827593488,0.795,Rising
241352,794.9758173755489,0.7929999999999999,Falling
9862,794.9758543790732,0.784,Rising
241052,794.9758889952733,0.778,Falling
10162,794.9759259987976,0.769,Rising
240752,794.9759606149977,0.763,Falling
10462,794.975997618522,0.756,Rising
240452,794.9760322347221,0.753,Falling
10762,794.9760692382464,0.751,Rising
240152,794.9761038544465,0.744,Falling
11062,794.9761408579708,0.744,Rising
239852,794.9761754741709,0.738,Falling
11362,794.9762124776952,0.737,Rising
239552,794.9762470938953,0.736,Falling
11662,794.9762840974196,0.734,Rising
239252,794.9763187136197,0.734,Falling
11962,794.976355717144,0.735,Rising
238952,794.976390333344,0.738,Falling
12262,794.9764273368684,0.74,Rising
238652,794.9764619530685,0.743,Falling
12562,794.9764989565928,0.747,Rising
238352,794.9765335727928,0.752,Falling
12862,794.9765705763172,0.76,Rising
238052,794.9766051925172,0.769,Falling
13162,794.9766421960416,0.7829999999999999,Rising
237752,794.9766768122416,0.7929999999999999,Falling
13462,794.976713815766,0.809,Rising
237452,794.976748431966,0.824,Falling
13762,794.9767854354903,0.848,Rising
237152,794.9768200516904,0.874,Falling
14062,794.9768570552147,0.902,Rising
236852,794.9768916714148,0.92,Falling
14362,794.976928674939,0.955,Rising
236552,794.9769632911392,0.982,Falling
14662,794.9770002946634,1.01,Rising
236252,794.9770349108636,1.04,Falling
14965,794.9770726305851,1.0699999999999998,Rising
235952,794.977106530588,1.06,Falling
15265,794.9771442503095,1.08,Rising
235652,794.9771781503124,1.0499999999999998,Falling
15565,794.9772158700339,1.06,Rising
235352,794.9772497700368,1.01,Falling
15865,794.9772874897583,0.995,Rising
235052,794.9773213897612,0.948,Falling
16165,794.9773591094827,0.911,Rising
234752,794.9773930094856,0.8899999999999999,Falling
16465,794.9774307292071,0.853,Rising
234450,794.9774651066748,0.8350000000000001,Falling
16765,794.9775023489315,0.812,Rising
234150,794.9775367263992,0.789,Falling
17065,794.9775739686559,0.775,Rising
233850,794.9776083461236,0.75,Falling
17365,794.9776455883803,0.744,Rising
233550,794.977679965848,0.724,Falling
17665,794.9777172081047,0.721,Rising
233250,794.9777515855724,0.7010000000000001,Falling
17965,794.977788827829,0.697,Rising
232950,794.9778232052968,0.6859999999999999,Falling
18265,794.9778604475534,0.6819999999999999,Rising
232650,794.9778948250212,0.6719999999999999,Falling
18565,794.9779320672778,0.671,Rising
