Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_role,is_highest_peak,is_second_highest_peak
251298,794.9732548218102,5.23,Falling,5.527480707698096,,0,0
251598,794.973312398202,5.76,Falling,5.354473931865235,,0,0
250998,794.9733264415346,4.8500000000000005,Falling,5.26519193240017,,0,0
251898,794.9733840179264,6.409999999999999,Falling,5.2588762089677425,,0,0
250698,794.973398061259,4.79,Falling,5.334768261232793,,0,0
250398,794.9734696809834,5.17,Falling,5.492109588860162,,0,0
250098,794.9735413007078,5.699999999999999,Falling,5.73014169151469,,0,0
309,794.9735737683162,5.800000000000001,Rising,6.048106068861218,,0,0
609,794.9736453880406,6.44,Rising,6.445244220564586,,0,0
249458,794.9736940894531,7.16,Falling,6.920797646289636,,0,0
909,794.973717007765,7.23,Rising,7.474007845701146,,0,0
249158,794.9737657091775,8.08,Falling,8.064292252369988,,0,0
248858,794.9738373289019,9.19,Falling,8.735724092840732,,0,0
1598,794.9738814943986,9.75,Rising,9.464704151683486,,0,0
248558,794.9739089486263,10.6,Falling,10.310228832951875,,0,0
1898,794.973953114123,11.3,Rising,11.193161163778937,,0,0
248245,794.9739836718721,12.4,Falling,12.121477607061056,,0,0
2198,794.9740247338474,13.1,Rising,13.198676037920807,,0,0
247945,794.9740552915965,14.6,Falling,14.34553775743699,,0,0
2498,794.9740963535718,15.6,Rising,15.714413206930285,,0,0
247645,794.9741269113209,17.4,Falling,17.200948022229394,,0,0
2798,794.9741679732962,18.7,Rising,18.949078130107782,,0,0
247345,794.9741985310453,21.1,Falling,20.94380843412869,,0,0
3098,794.9742395930206,22.5,Rising,23.325743707093693,,0,0
247045,794.9742701507697,26.1,Falling,26.061686825759896,,0,0
3398,794.974311212745,28.0,Rising,29.23896698267389,,0,0
246745,794.9743417704941,31.8,Falling,32.799967309578065,,0,0
3698,794.9743828324694,35.0,Rising,36.75031055900591,,0,0
246445,794.9744133902185,39.5,Falling,40.97074207257237,,0,0
3998,794.9744544521938,43.0,Rising,45.32500817260498,,0,0
246145,794.9744850099429,48.900000000000006,Falling,49.59326577312794,,0,0
4298,794.9745260719181,52.8,Rising,53.69215429878982,,0,0
245845,794.9745566296673,58.0,Falling,57.32759071591953,,0,0
4598,794.9745976916425,61.9,Rising,60.41533180777953,,0,0
245542,794.9746289655889,65.5,Falling,62.773259235043255,,0,0
4898,794.9746693113669,67.3,Rising,64.31307616868165,,0,0
245242,794.9747005853133,68.2,Falling,64.91098398169238,second_highest_peak,0,1
