Time_ms,Lambda_aligned,Power_uW,Scan_Direction
251268,794.9732851408269,12.9,Falling
251568,794.9733283932737,14.399999999999999,Falling
250968,794.9733567605513,11.8,Falling
251868,794.9734000129981,16.099999999999998,Falling
250668,794.9734283802757,11.600000000000001,Falling
252168,794.9734716327225,18.099999999999998,Falling
250368,794.9735000000001,12.6,Falling
252468,794.9735432524469,20.7,Falling
276,794.9735658901465,14.0,Rising
250068,794.9735716197245,14.0,Falling
252768,794.9736148721713,23.7,Falling
576,794.9736375098709,15.8,Rising
249768,794.9736432394488,15.6,Falling
253068,794.9736864918957,27.4,Falling
876,794.9737091295952,17.900000000000002,Rising
249454,794.973718201427,17.6,Falling
253368,794.9737581116201,32.199999999999996,Falling
1176,794.9737807493196,20.400000000000002,Rising
249154,794.9737898211514,20.0,Falling
253668,794.9738297313445,38.2,Falling
1476,794.973852369044,23.6,Rising
248854,794.9738614408758,22.900000000000002,Falling
1776,794.9739239887684,27.3,Rising
248554,794.9739330606002,26.5,Falling
2076,794.9739956084928,31.8,Rising
248254,794.9740046803246,31.0,Falling
2376,794.9740672282172,37.8,Rising
247954,794.974076300049,36.4,Falling
2676,794.9741388479416,45.599999999999994,Rising
247654,794.9741479197734,43.5,Falling
2976,794.974210467666,55.2,Rising
247354,794.9742195394978,52.7,Falling
3276,794.9742820873904,67.5,Rising
246857,794.9743381895079,74.4,Falling
246554,794.9744105254294,92.89999999999999,Falling
3825,794.974413151486,102.0,Rising
246254,794.9744821451538,116.0,Falling
4125,794.9744847712104,125.0,Rising
245954,794.9745537648782,141.0,Falling
4425,794.9745563909348,152.0,Rising
245654,794.9746253846026,166.0,Falling
4725,794.9746280106592,173.0,Rising
245354,794.974697004327,182.0,Falling
5025,794.9746996303836,183.0,Rising
245054,794.9747686240514,183.0,Falling
5325,794.974771250108,177.0,Rising
244754,794.9748402437758,170.0,Falling
5625,794.9748428698324,157.0,Rising
244454,794.9749118635002,150.0,Falling
5925,794.9749144895568,136.0,Rising
244154,794.9749834832246,125.0,Falling
6225,794.9749861092812,113.0,Rising
243854,794.975055102949,101.0,Falling
6525,794.9750577290056,91.0,Rising
6825,794.97512934873,73.39999999999999,Rising
243445,794.9751527445065,75.3,Falling
243145,794.9752243642309,60.900000000000006,Falling
7301,794.9752429853593,53.199999999999996,Rising
242845,794.9752959839553,50.300000000000004,Falling
7604,794.975315321281,43.800000000000004,Rising
242545,794.9753676036797,42.0,Falling
7904,794.9753869410054,36.5,Rising
242245,794.9754392234041,35.1,Falling
8204,794.9754585607297,31.2,Rising
241945,794.9755108431285,29.9,Falling
8504,794.9755301804541,26.7,Rising
241645,794.9755824628529,25.8,Falling
8804,794.9756018001785,23.3,Rising
241345,794.9756540825773,22.4,Falling
9104,794.9756734199029,20.5,Rising
241045,794.9757257023017,19.700000000000003,Falling
9404,794.9757450396273,18.099999999999998,Rising
240745,794.9757973220261,17.6,Falling
9704,794.9758166593517,16.2,Rising
240445,794.9758689417505,15.8,Falling
10004,794.9758882790761,14.600000000000001,Rising
240145,794.9759405614749,14.3,Falling
10304,794.9759598988005,13.4,Rising
239845,794.9760121811993,13.1,Falling
10604,794.9760315185249,12.3,Rising
239545,794.9760838009237,12.1,Falling
10904,794.9761031382493,11.399999999999999,Rising
239242,794.9761561368454,11.2,Falling
11204,794.9761747579737,10.7,Rising
238942,794.9762277565696,10.5,Falling
11504,794.9762463776981,10.1,Rising
238642,794.976299376294,9.959999999999999,Falling
11804,794.9763179974225,9.690000000000001,Rising
238342,794.9763709960184,9.56,Falling
12104,794.9763896171468,9.4,Rising
238042,794.9764426157428,9.28,Falling
12404,794.9764612368712,9.23,Rising
237742,794.9765142354672,9.14,Falling
12704,794.9765328565956,9.26,Rising
237442,794.9765858551916,9.2,Falling
13004,794.97660447632,9.47,Rising
237142,794.976657474916,9.459999999999999,Falling
13304,794.9766760960443,9.88,Rising
236842,794.9767290946404,9.9,Falling
13604,794.9767477157687,10.6,Rising
236542,794.9768007143648,10.6,Falling
13904,794.9768193354931,11.600000000000001,Rising
236242,794.9768723340892,11.7,Falling
14204,794.9768909552175,12.799999999999999,Rising
235942,794.9769439538136,12.799999999999999,Falling
14504,794.9769625749419,13.8,Rising
235642,794.977015573538,13.8,Falling
14804,794.9770341946663,14.5,Rising
235342,794.9770871932624,14.399999999999999,Falling
15104,794.9771058143907,14.399999999999999,Rising
235042,794.9771588129868,14.1,Falling
15407,794.9771781503124,13.299999999999999,Rising
234742,794.9772304327112,13.0,Falling
15707,794.9772497700368,11.7,Rising
234442,794.9773020524356,11.399999999999999,Falling
16007,794.9773213897612,10.200000000000001,Rising
234142,794.97737367216,9.860000000000001,Falling
16307,794.9773930094856,8.87,Rising
16607,794.97746462921,7.68,Rising
233684,794.9774830116058,7.95,Falling
