branch_m,nonredundant_rank,is_recommended,k_star,L_over_R,s_min,F_min,tau_min_at_budget,tau_margin_vs_tau0,target_w0_um,zR_mm,L_mm,R_mm,w_curved_um,theta_div_mrad,feasible_by_tau,feasible_by_size,overall_feasible,failure_reason
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,46.5,12.422451691825742,10.423674632928558,25.22817606548991,60.701438953950955,3.743222445420985,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,60.0,20.682541838627664,17.35471322860113,42.003206768765715,78.32443735993671,2.9009973952012635,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,80.0,36.76896326867139,30.852823517513116,74.67236758891681,104.43258314658227,2.1757480464009475,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,100.0,57.451505107299056,48.20753674611425,116.6755743576825,130.54072893322783,1.740598437120758,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,150.0,129.2658864914229,108.46695767875708,262.5200423047857,195.81109339984175,1.1603989580805054,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,200.0,229.80602042919622,192.830146984457,466.70229743073,261.08145786645565,0.870299218560379,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,300.0,517.0635459656916,433.86783071502833,1050.0801692191428,391.6221867996835,0.5801994790402527,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,500.0,1436.2876276824768,1205.1884186528566,2916.8893589420636,652.7036446661393,0.34811968742415156,True,True,True,size limits not set
2,1,True,0.2222222222222222,0.41317591116653474,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,1000.0,5745.150510729907,4820.7536746114265,11667.557435768254,1305.4072893322787,0.17405984371207578,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,46.5,12.422451691825742,4.521402652434397,38.6518081699915,49.48426642012991,3.743222445420985,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,60.0,20.682541838627664,7.527829598225841,64.35264627678083,63.850666348554725,2.9009973952012635,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,80.0,36.76896326867139,13.382808174623715,114.40470449205479,85.13422179807296,2.1757480464009475,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,100.0,57.451505107299056,20.910637772849558,178.75735076883564,106.41777724759119,1.740598437120758,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,150.0,129.2658864914229,47.04893498891151,402.20403922988027,159.6266658713868,1.1603989580805054,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,200.0,229.80602042919622,83.64255109139823,715.0294030753425,212.83555449518238,0.870299218560379,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,300.0,517.0635459656916,188.19573995564605,1608.816156919521,319.2533317427736,0.5801994790402527,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,500.0,1436.2876276824768,522.7659443212391,4468.933769220892,532.0888862379561,0.34811968742415156,True,True,True,size limits not set
1,2,False,0.1111111111111111,0.11697777844051097,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,1000.0,5745.150510729907,2091.0637772849564,17875.735076883568,1064.1777724759122,0.17405984371207578,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,46.5,12.422451691825742,70.45122443493047,72.64163783474687,267.7828274661785,3.743222445420985,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,60.0,20.682541838627664,117.29652351289153,120.94341366867324,345.52622898861756,2.9009973952012635,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,80.0,36.76896326867139,208.5271529118071,215.01051318875238,460.7016386514899,2.1757480464009475,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,100.0,57.451505107299056,325.8236764246986,335.95392685742564,575.8770483143624,1.740598437120758,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,150.0,129.2658864914229,733.1032719555722,755.8963354292079,863.8155724715438,1.1603989580805054,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,200.0,229.80602042919622,1303.2947056987944,1343.8157074297026,1151.7540966287247,0.870299218560379,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,300.0,517.0635459656916,2932.4130878222886,3023.5853417168314,1727.6311449430875,0.5801994790402527,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,500.0,1436.2876276824768,8145.591910617469,8398.848171435644,2879.385241571813,0.34811968742415156,True,True,True,size limits not set
4,3,False,0.4444444444444444,0.9698463103929541,0.1111111111111111,27.0,3.5908818888888887,0.5908818888888887,1000.0,5745.150510729907,32582.367642469875,33595.392685742576,5758.770483143626,0.17405984371207578,True,True,True,size limits not set
