model,strategy,l,shift_w0,w_input_over_w_cav,analysis_basis_over_w_cav,retained_power,target_overlap_power,p0_modal_weight,p1_modal_weight,leakage_modal_weight,dominant_p
bolduc,same_w0,0,0.0,1.0,1.0,0.9999998132176442,0.9999996264353233,0.9999998132176445,8.374303737973295e-12,1.867823554713155e-07,0
bolduc,same_w0,1,0.0,1.0,1.0,0.999996919378987,0.9999938387674643,0.9999969193789875,1.0050748842055274e-09,3.0806210125078337e-06,0
bolduc,same_w0,2,0.0,1.0,1.0,0.9999745020666151,0.9999490047833748,0.9999745020666144,4.0210260463590354e-08,2.5497933385576488e-05,0
bolduc,same_w0,3,0.0,1.0,1.0,0.9998587304017095,0.9997174807605184,0.9998587304017091,8.044284898860723e-07,0.00014126959829086072,0
bolduc,same_w0,4,0.0,1.0,1.0,0.9994103123912002,0.9988209725138758,0.9994103123912003,9.659070449371709e-06,0.0005896876087997382,0
bolduc,same_w0,5,0.0,1.0,1.0,0.9980208251033696,0.9960455673400107,0.99802082510337,7.739322249783875e-05,0.0019791748966300204,0
bolduc,same_w0,6,0.0,1.0,1.0,0.9944328812220107,0.9888967552555096,0.9944328812220105,0.00044391923595531527,0.005567118777989544,0
bolduc,same_w0,7,0.0,1.0,1.0,0.986491597726969,0.9731656723859081,0.9864915977269686,0.0019181642717876594,0.013508402273031406,0
bolduc,same_w0,8,0.0,1.0,1.0,0.9711120132999986,0.9430585423755767,0.9711120132999984,0.006496309784612725,0.02888798670000159,0
bolduc,same_w0,0,0.08,1.0,1.0,0.9999997745543399,0.9936200465961816,0.9936202706035594,1.0155356201920472e-05,0.006379729396440603,0
bolduc,same_w0,1,0.08,1.0,1.0,0.9999963625710653,0.9872650708643129,0.9872686619839104,1.998825807459136e-05,0.01273133801608961,0
bolduc,same_w0,2,0.08,1.0,1.0,0.9999705101022142,0.9809006715541381,0.9809295990677501,2.808824555044652e-05,0.019070400932249876,0
bolduc,same_w0,3,0.08,1.0,1.0,0.9998397475109172,0.9743780191813718,0.9745341907111292,2.945471790732057e-05,0.025465809288870767,0
