scenario,l,eta,target_overlap_power,p1_leakage_power,ring_peak_over_w_cav,rms_radius_over_w_cav,z_offset_over_zR
same_w0,0,1.0,1.0,0.0,0.0,0.7071067811865476,
scaled_w0,0,1.0,1.0,0.0,0.0,0.7071067811865476,
same_w0,1,1.0,1.0,0.0,0.7071067811865476,1.0,
scaled_w0,1,0.7071067811865475,0.790123456790123,0.1755829903978052,0.7071067811865476,1.0,
same_w0,2,1.0,1.0,0.0,1.0,1.224744871391589,
scaled_w0,2,0.5773502691896258,0.42187500000000017,0.3164062499999999,1.0,1.224744871391589,
same_w0,3,1.0,1.0,0.0,1.224744871391589,1.4142135623730951,
scaled_w0,3,0.5,0.16777216000000006,0.24159191040000005,1.224744871391589,1.4142135623730951,
same_w0,4,1.0,1.0,0.0,1.4142135623730951,1.5811388300841898,
scaled_w0,4,0.4472135954999579,0.052922149401344654,0.11760477644743263,1.4142135623730951,1.5811388300841898,
same_w0,5,1.0,1.0,0.0,1.5811388300841898,1.7320508075688772,
scaled_w0,5,0.4082482904638631,0.013806734390006254,0.04226551343879464,1.5811388300841898,1.7320508075688772,
same_w0,6,1.0,1.0,0.0,1.7320508075688772,1.8708286933869707,
scaled_w0,6,0.3779644730092272,0.0030679367482662223,0.012080000946298254,1.7320508075688772,1.8708286933869707,
same_w0,7,1.0,1.0,0.0,1.8708286933869707,2.0,
scaled_w0,7,0.35355339059327373,0.0005933619257852084,0.0028715787025654542,1.8708286933869707,2.0,
same_w0,8,1.0,1.0,0.0,2.0,2.1213203435596424,
scaled_w0,8,0.3333333333333333,0.00010155995666841595,0.0005849853504100756,2.0,2.1213203435596424,
custom_eta_scan::same_w0,0,0.4,0.4756242568370986,0.24940582314525614,0.0,0.7071067811865476,
custom_eta_scan::same_w0,0,0.55,0.713230499445552,0.20453275410620061,0.0,0.7071067811865476,
custom_eta_scan::same_w0,0,0.7,0.882843115174992,0.10343114916310774,0.0,0.7071067811865476,
custom_eta_scan::same_w0,0,0.85,0.9740458079587799,0.025280571956707486,0.0,0.7071067811865476,
custom_eta_scan::same_w0,0,1.0,1.0,0.0,0.0,0.7071067811865476,
custom_eta_scan::same_w0,0,1.15,0.9807181814073724,0.018910030064388676,0.0,0.7071067811865476,
custom_eta_scan::same_w0,0,1.3,0.9342048893741102,0.06146611404361658,0.0,0.7071067811865476,
custom_eta_scan::same_w0,1,0.4,0.2262184336918423,0.23724691856861463,0.7071067811865476,1.0,
custom_eta_scan::same_w0,1,0.55,0.5086977453393515,0.2917579967282795,0.7071067811865476,1.0,
custom_eta_scan::same_w0,1,0.7,0.7794119660118842,0.18262695586657463,0.7071067811865476,1.0,
