family,l,eta,p,power,small_parameter_s_abs
axisymmetric_size_mismatch,0,0.98,0,0.9995919616486415,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,1,0.0004078718560623536,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,2,1.6642735971322762e-07,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,3,6.790874547833894e-11,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,4,2.770937254780765e-14,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,5,1.1306486691586826e-17,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,6,4.6134801892922825e-21,0.020199959192001675
axisymmetric_size_mismatch,0,0.98,partial_sum_0_to_pmax,1.0,0.020199959192001675
axisymmetric_size_mismatch,0,0.95,0,0.9973736058612968,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,1,0.002619496192531498,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,2,6.8798294464203715e-06,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,3,1.806914373335692e-08,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,4,4.745669319267632e-11,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,5,1.246399808434865e-13,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,6,3.2735371513542607e-16,0.051248357424441546
axisymmetric_size_mismatch,0,0.95,partial_sum_0_to_pmax,1.0000000000000002,0.051248357424441546
axisymmetric_size_mismatch,0,0.9,0,0.98898080034187,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,1,0.010897776897024354,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,2,0.00012008477945806871,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,3,1.3232381607509777e-06,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,4,1.458102548857186e-08,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,5,1.6067123107885714e-10,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,6,1.7704683745754828e-12,0.1049723756906077
axisymmetric_size_mismatch,0,0.9,partial_sum_0_to_pmax,0.9999999999999802,0.1049723756906077
axisymmetric_size_mismatch,4,0.98,0,0.9979614725169433,0.020199959192001675
axisymmetric_size_mismatch,4,0.98,1,0.0020360327698257376,0.020199959192001675
axisymmetric_size_mismatch,4,0.98,2,2.492338364134924e-06,0.020199959192001675
axisymmetric_size_mismatch,4,0.98,3,2.372929153301554e-09,0.020199959192001675
axisymmetric_size_mismatch,4,0.98,4,1.936492199207531e-12,0.020199959192001675
axisymmetric_size_mismatch,4,0.98,5,1.4222935518899418e-15,0.020199959192001675
