folder_l,data_index,matrix_type,channel,target_uW,target_W,effective_target_W,n_points,mean_W,std_W,min_W,max_W,file_name,file_path
0,1,calib,0,8.72,8.72e-06,8.72e-06,87,8.72e-06,2.204479243876805e-07,8.342756824092165e-06,9.222230088947424e-06,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT01.CSV
0,2,calib,1,0.034,3.4e-08,3.4e-08,85,3.4e-08,1.1262127146026005e-09,3.175443805609441e-08,3.636061874353802e-08,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT02.CSV
0,3,calib,2,0.014,1.4e-08,1.4e-08,87,1.4e-08,3.161572568404665e-10,1.3220993022874063e-08,1.4476086448119883e-08,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT03.CSV
0,4,calib,3,0.001,1e-09,1e-09,107,1e-09,5.096269988044622e-11,9.116915793749481e-10,1.1025855050822016e-09,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT04.CSV
0,5,calib,4,0.0,0.0,7.802357870958425e-11,63,7.802357870958425e-11,4.609897607869461e-12,7.066274291596333e-11,8.62468026161565e-11,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT05.CSV
0,6,calib,5,0.0,0.0,7.671600585293905e-11,102,7.671600585293904e-11,2.3254151576553595e-12,7.257531860338684e-11,8.147571867547978e-11,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT06.CSV
0,7,calib,6,0.0,0.0,7.478252415651072e-11,77,7.478252415651072e-11,8.206472037787506e-12,5.892822051898648e-11,9.310571096758692e-11,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT07.CSV
0,8,calib,7,0.0,0.0,1.9079197141052723e-10,86,1.9079197141052726e-10,2.1619402648706982e-11,1.372069693500598e-10,2.3318247869067204e-10,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT08.CSV
0,9,calib,8,0.0,0.0,2.124159667625132e-10,88,2.124159667625132e-10,2.2933015467231516e-11,1.6435441230767393e-10,2.5773308938408055e-10,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT09.CSV
0,10,full,0,1.12,1.12e-06,1.12e-06,81,1.12e-06,2.2891401949791674e-08,1.066670327479283e-06,1.1715960323139377e-06,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT10.CSV
0,11,full,1,0.014,1.4e-08,1.4e-08,75,1.4000000000000001e-08,4.154935791533002e-10,1.327117773561216e-08,1.4766939345282115e-08,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT11.CSV
0,12,full,2,0.002,2e-09,2e-09,82,2e-09,2.3477832665051615e-10,1.642812520852612e-09,2.512126655495212e-09,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT12.CSV
0,13,full,3,0.003,3e-09,3e-09,104,3e-09,1.08916971580209e-10,2.7296840539586425e-09,3.191014194454161e-09,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT13.CSV
0,14,full,4,0.018,1.8e-08,1.8e-08,76,1.8e-08,3.6539671327065004e-10,1.7349257452155013e-08,1.8534169000657973e-08,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT14.CSV
0,15,full,5,0.013,1.2999999999999999e-08,1.2999999999999999e-08,62,1.2999999999999999e-08,1.8016389338631125e-10,1.2638248984349267e-08,1.3351890282442311e-08,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT15.CSV
0,16,full,6,0.005,5e-09,5e-09,84,5e-09,1.3833616912862407e-10,4.723585095783761e-09,5.3403529361740485e-09,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT16.CSV
0,17,full,7,0.003,3e-09,3e-09,109,3e-09,3.317738309391051e-10,2.2984924143285135e-09,3.692041064829969e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT17.CSV
0,18,full,8,0.006,6e-09,6e-09,106,6e-09,1.470411134754864e-10,5.6944461147959206e-09,6.265003178813243e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=0\DAT18.CSV
1,1,calib,0,0.042,4.2e-08,4.2e-08,69,4.2e-08,6.239747783205469e-10,4.073264758713309e-08,4.303254815501453e-08,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT01.CSV
1,2,calib,1,38.9,3.89e-05,3.89e-05,68,3.89e-05,1.0020237241277868e-06,3.704291832370521e-05,4.0772883308588994e-05,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT02.CSV
1,3,calib,2,0.161,1.61e-07,1.61e-07,79,1.61e-07,1.5787303305086286e-09,1.5705463125123544e-07,1.6401689741862346e-07,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT03.CSV
1,4,calib,3,0.07,7e-08,7e-08,85,7e-08,3.464670560269411e-09,6.367167254121906e-08,7.825229074804919e-08,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT04.CSV
1,5,calib,4,0.003,3e-09,3e-09,66,3e-09,3.1694578000273067e-10,2.3512642714096454e-09,3.6007057037513443e-09,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT05.CSV
1,6,calib,5,0.0,0.0,2.9974226835871466e-10,70,2.9974226835871466e-10,3.2129231772601477e-11,2.424316088692482e-10,3.504316297579904e-10,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT06.CSV
1,7,calib,6,0.0,0.0,2.0275393495479486e-10,109,2.0275393495479486e-10,1.4248985059008838e-11,1.7655915982761914e-10,2.3326981431989713e-10,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT07.CSV
1,8,calib,7,0.0,0.0,1.366862888313145e-10,94,1.366862888313145e-10,9.002932824537104e-12,1.202555383722886e-10,1.555995978528254e-10,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT08.CSV
1,9,calib,8,0.0,0.0,1.3387451185079716e-10,101,1.3387451185079716e-10,5.888268711185926e-12,1.1974421972459683e-10,1.4616598056513515e-10,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT09.CSV
1,10,full,0,0.002,2e-09,2e-09,61,2e-09,1.3120883629583309e-10,1.754000765076215e-09,2.2430082399898853e-09,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT10.CSV
1,11,full,1,1.84,1.84e-06,1.84e-06,86,1.84e-06,3.5690018244763746e-08,1.7611562200265727e-06,1.906265439466862e-06,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT11.CSV
1,12,full,2,0.009,9e-09,9e-09,106,9e-09,2.2045374010873856e-10,8.567962894657345e-09,9.464725943621245e-09,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT12.CSV
1,13,full,3,0.001,1e-09,1e-09,91,1e-09,8.943879868894505e-11,8.463718513795019e-10,1.1820333545735928e-09,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT13.CSV
1,14,full,4,0.002,2e-09,2e-09,66,2e-09,9.354521605324951e-11,1.8777526963695143e-09,2.1912973976990607e-09,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT14.CSV
1,15,full,5,0.014,1.4e-08,1.4e-08,104,1.4e-08,4.734371732583862e-10,1.3130779401558861e-08,1.4817929614326528e-08,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT15.CSV
