l,pos_theory_2_over_9,pos_meas_merged,delta_pos_signed_fsr,delta_pos_abs_fsr,delta_pos_signed_percent_fsr,delta_pos_abs_percent_fsr,delta_nu_signed_mhz,delta_nu_abs_mhz,merged_lambda_nm,merged_nu_ghz,fwhm_mhz_mean,fwhm_mhz_std,finesse_mean,delta_over_fwhm_signed,delta_over_fwhm_abs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.9747644259032,377109.4019776808,309.0311274061933,3.9418178523106158,32.08829338444143,0.0,0.0
1,0.2222222222222222,0.2244236466137745,0.0022014243915523,0.0022014243915523,0.2201424391552353,0.22014243915523002,21.828168055637896,21.828168055637896,794.9909762884511,377101.7117699014,307.280180376206,0.09410461616123743,32.26851547157393,0.07103669370707043,0.07103669370707043
2,0.4444444444444444,0.4481640939563187,0.0037196495118743,0.0037196495118743,0.3719649511874312,0.37196495118743,36.88209096112082,36.88209096112082,794.9862993768953,377103.9302626664,304.24921354760056,1.022688084937286,32.59016084265849,0.12122329103523063,0.12122329103523063
3,0.6666666666666666,0.6684332880798076,0.0017666214131409,0.0017666214131409,0.1766621413140989,0.17666214131409,17.516890084758995,17.516890084758995,794.9816950797076,377106.1143363077,309.8757294395239,0.8778743027166891,31.998358172837918,0.05652875788769263,0.05652875788769263
4,0.8888888888888888,0.8914453379063796,0.0025564490174907,0.0025564490174907,0.2556449017490747,0.25564490174907,25.3484057838156,25.3484057838156,794.9770335028136,377108.3256066655,309.37781960333876,0.6326591023141946,32.0497944374888,0.08193349418622008,0.08193349418622008
5,0.1111111111111111,0.1145583572830378,0.0034472461719267,0.0034472461719267,0.344724617192671,0.34472461719267,34.18108251126876,34.18108251126876,794.993272854649,377100.6224033948,310.1927200592452,0.5691588840079914,31.965584101786263,0.11019305193474675,0.11019305193474675
6,0.3333333333333332,0.3367796623116403,0.0034463289783071,0.0034463289783071,0.34463289783071,0.34463289783071,34.17198810105635,34.17198810105635,794.9886276711429,377102.8258331425,307.1380529148699,0.9705954164685708,32.28360734112446,0.11125937596058107,0.11125937596058107
7,0.5555555555555554,0.5589473474607943,0.0033917919052389,0.0033917919052389,0.3391791905238972,0.33917919052389,33.631227127951,33.631227127951,794.9839836627393,377105.02873122366,308.03277728769007,0.957539707402601,32.18982987656773,0.10918067688796898,0.10918067688796898
8,0.7777777777777777,0.7803099454237139,0.0025321676459362,0.0025321676459362,0.2532167645936223,0.25321676459362,25.107644456309917,25.107644456309917,795.0002598891626,377097.3081716935,185.09965542290124,12.332932041757022,53.687474271957875,0.13564392866613356,0.13564392866613356
9,0.0,0.0023127439233467,0.0023127439233467,0.0023127439233467,0.2312743923346794,0.23127439233466998,22.93195406673524,22.93195406673524,794.9747160836354,377109.42490963486,307.76342636224297,7.121251662335738,32.22647340501704,0.07451162842118844,0.07451162842118844
