mode_index,branch_order_m_l,theory_pos,measured_pos,delta_pos,theory_nu_ghz,measured_nu_ghz,delta_nu_mhz
0,0,0.000000000000,0.000000000000,0.000000000000,377109.401977681,377109.401977681,0.000000
1,-1,0.222222222222,0.224423646620,0.002201424397,377101.689941733,377101.711769901,21.828168
2,-1,0.444444444444,0.448164093962,0.003719649518,377103.893380575,377103.930262666,36.882091
3,-1,0.666666666667,0.668433288092,0.001766621425,377106.096819418,377106.114336308,17.516890
4,-1,0.888888888889,0.891445337906,0.002556449017,377108.300258260,377108.325606665,25.348406
5,-2,0.111111111111,0.114558357289,0.003447246178,377100.588222312,377100.622403395,34.181083
6,-2,0.333333333333,0.336779662318,0.003446328984,377102.791661154,377102.825833143,34.171988
7,-2,0.555555555556,0.558947347467,0.003391791911,377104.995099996,377105.028731224,33.631227
8,-3,0.777777777778,0.780309945430,0.002532167652,377097.283064049,377097.308171694,25.107644
9,-2,0.000000000000,0.002312743929,0.002312743929,377109.401977681,377109.424909635,22.931954
