table,mode_index,output_field,source_file,source_field,source_value,transformation,role
table4,0,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377109.40197768074,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,0,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.000000000000,(l * 2/9) % 1,main
table4,0,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377109.401977681,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,1,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377101.7117699014,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,1,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.222222222222,(l * 2/9) % 1,main
table4,1,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377101.689941733,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,2,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377103.9302626664,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,2,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.444444444444,(l * 2/9) % 1,main
table4,2,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377103.893380575,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,3,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377106.11433630774,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,3,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.666666666667,(l * 2/9) % 1,main
table4,3,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377106.096819418,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,4,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377108.32560666546,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,4,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.888888888889,(l * 2/9) % 1,main
table4,4,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377108.300258260,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,5,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377100.6224033948,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,5,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.111111111111,(l * 2/9) % 1,main
table4,5,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377100.588222312,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,6,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377102.8258331425,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,6,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.333333333333,(l * 2/9) % 1,main
table4,6,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377102.791661154,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,7,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377105.02873122366,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,7,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.555555555556,(l * 2/9) % 1,main
table4,7,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377104.995099996,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
table4,8,measured_pos,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,merged_nu_ghz,377097.3081716935,((merged_nu_ghz - ref_l0_nu) / fsr_final_ghz) % 1,main
table4,8,theory_pos,D:\自制软件\1.thesis\My_nju_thesis-master\thesis\chapters\ch05_fp_design_and_validation.tex,k_theory=2/9,0.777777777778,(l * 2/9) % 1,main
table4,8,theory_nu_ghz,D:\自制软件\1.thesis\My_nju_thesis-master\My_nju_thesis-master\验证推演3.15\腔实际性能参数验算\outputs\0p88mm\原始数据分析结果\main_peak_positions_summary.csv,reference_nu + nearest_integer_shift,377097.283064049,ref_l0_nu + fsr_final_ghz * (theory_pos + round((measured_nu-ref_l0_nu)/fsr_final_ghz-theory_pos)),derived
